
	D.2.6.M COPD ohne Tumor mit FEV1 n.n.bez. (Alter >19), Mortalität // BPCO sans tumeur avec VEF1 non précisé (âge >19), mortalité // BPCO senza tumore con VEMS1 NAS (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2009	5	1	0	1	0	
	2009	5	2	0	3	0	
	2009	6	1	0	2	0	
	2009	6	2	0	1	0	
	2009	7	1	0	3	0	
	2009	7	2	0	2	0	
	2009	8	1	0	2	0	
	2009	8	2	0	2	0	
	2009	9	1	0	16	0	
	2009	9	2	0	18	0	
	2009	10	1	0	14	0	
	2009	10	2	0	19	0	
	2009	11	1	2	40	0.05	
	2009	11	2	0	40	0	
	2009	12	1	1	60	0.01666667	
	2009	12	2	1	60	0.01666667	
	2009	13	1	2	120	0.01666667	
	2009	13	2	3	75	0.04	
	2009	14	1	1	124	0.008064516	
	2009	14	2	3	120	0.025	
	2009	15	1	9	163	0.05521472	
	2009	15	2	4	129	0.03100775	
	2009	16	1	9	203	0.04433498	
	2009	16	2	10	155	0.06451613	
	2009	17	1	21	206	0.1019417	
	2009	17	2	6	129	0.04651163	
	2009	18	1	12	117	0.1025641	
	2009	18	2	11	103	0.1067961	
	2009	19	1	2	39	0.05128205	
	2009	19	2	2	28	0.07142857	
	2009	20	1	0	5	0	
	2009	20	2	2	6	0.3333333	
	2010	5	1	0	2	0	
	2010	6	2	0	4	0	
	2010	7	1	0	2	0	
	2010	8	1	0	9	0	
	2010	8	2	0	3	0	
	2010	9	1	0	5	0	
	2010	9	2	0	11	0	
	2010	10	1	0	23	0	
	2010	10	2	0	19	0	
	2010	11	1	0	56	0	
	2010	11	2	0	46	0	
	2010	12	1	1	74	0.01351351	
	2010	12	2	0	73	0	
	2010	13	1	4	119	0.03361345	
	2010	13	2	6	118	0.05084746	
	2010	14	1	3	184	0.01630435	
	2010	14	2	3	133	0.02255639	
	2010	15	1	7	176	0.03977273	
	2010	15	2	2	136	0.01470588	
	2010	16	1	12	243	0.04938272	
	2010	16	2	5	146	0.03424658	
	2010	17	1	14	245	0.05714286	
	2010	17	2	7	197	0.03553299	
	2010	18	1	13	153	0.08496732	
	2010	18	2	4	129	0.03100775	
	2010	19	1	7	37	0.1891892	
	2010	19	2	9	49	0.1836735	
	2010	20	1	0	7	0	
	2010	20	2	2	12	0.1666667	
	2011	5	1	0	3	0	
	2011	5	2	0	2	0	
	2011	6	2	0	5	0	
	2011	7	1	0	2	0	
	2011	7	2	0	2	0	
	2011	8	1	0	8	0	
	2011	8	2	0	8	0	
	2011	9	1	0	13	0	
	2011	9	2	0	19	0	
	2011	10	1	2	28	0.07142857	
	2011	10	2	0	13	0	
	2011	11	1	1	49	0.02040816	
	2011	11	2	1	51	0.01960784	
	2011	12	1	1	63	0.01587302	
	2011	12	2	1	59	0.01694915	
	2011	13	1	3	123	0.02439024	
	2011	13	2	1	84	0.01190476	
	2011	14	1	4	159	0.02515723	
	2011	14	2	2	111	0.01801802	
	2011	15	1	6	172	0.03488372	
	2011	15	2	3	145	0.02068966	
	2011	16	1	7	237	0.02953586	
	2011	16	2	6	180	0.03333333	
	2011	17	1	12	241	0.04979253	
	2011	17	2	4	195	0.02051282	
	2011	18	1	6	165	0.03636364	
	2011	18	2	10	144	0.06944444	
	2011	19	1	6	64	0.09375	
	2011	19	2	2	51	0.03921569	
	2011	20	1	0	6	0	
	2011	20	2	2	20	0.1	
	2012	5	2	0	2	0	
	2012	6	1	0	1	0	
	2012	7	1	0	2	0	
	2012	7	2	0	5	0	
	2012	8	1	0	6	0	
	2012	8	2	0	3	0	
	2012	9	1	0	14	0	
	2012	9	2	0	10	0	
	2012	10	1	0	31	0	
	2012	10	2	0	16	0	
	2012	11	1	0	52	0	
	2012	11	2	0	49	0	
	2012	12	1	0	71	0	
	2012	12	2	0	45	0	
	2012	13	1	1	89	0.01123596	
	2012	13	2	2	82	0.02439024	
	2012	14	1	2	142	0.01408451	
	2012	14	2	4	123	0.03252033	
	2012	15	1	6	151	0.0397351	
	2012	15	2	4	139	0.02877698	
	2012	16	1	9	170	0.05294118	
	2012	16	2	3	157	0.01910828	
	2012	17	1	6	225	0.02666667	
	2012	17	2	8	186	0.04301075	
	2012	18	1	12	142	0.08450704	
	2012	18	2	9	135	0.06666667	
	2012	19	1	8	60	0.1333333	
	2012	19	2	1	47	0.0212766	
	2012	20	1	0	7	0	
	2012	20	2	3	10	0.3	
	2013	6	1	0	4	0	
	2013	6	2	0	1	0	
	2013	7	2	0	4	0	
	2013	8	1	0	4	0	
	2013	8	2	0	10	0	
	2013	9	1	0	21	0	
	2013	9	2	0	6	0	
	2013	10	1	0	29	0	
	2013	10	2	0	16	0	
	2013	11	1	1	37	0.02702703	
	2013	11	2	1	41	0.02439024	
	2013	12	1	0	66	0	
	2013	12	2	0	60	0	
	2013	13	1	1	108	0.009259259	
	2013	13	2	0	90	0	
	2013	14	1	8	136	0.05882353	
	2013	14	2	2	122	0.01639344	
	2013	15	1	6	149	0.04026846	
	2013	15	2	7	146	0.04794521	
	2013	16	1	8	190	0.04210526	
	2013	16	2	7	154	0.04545455	
	2013	17	1	11	198	0.05555556	
	2013	17	2	16	193	0.08290155	
	2013	18	1	10	137	0.0729927	
	2013	18	2	7	129	0.05426357	
	2013	19	1	9	53	0.1698113	
	2013	19	2	6	62	0.09677419	
	2013	20	1	1	6	0.1666667	
	2013	20	2	0	11	0	

