
	D.4.1.M Grössere Resektionen von Lunge oder Bronchien insgesamt, Mortalität // Total des résections pulmonaires ou bronchiques majeures, mortalité // Resezioni maggiori di polmone o bronchi, totale, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	1	1	0	1	0	
	1998	1	2	0	2	0	
	1998	2	1	0	2	0	
	1998	2	2	0	2	0	
	1998	3	1	0	1	0	
	1998	3	2	0	2	0	
	1998	4	1	0	14	0	
	1998	4	2	0	1	0	
	1998	5	1	0	16	0	
	1998	5	2	0	5	0	
	1998	6	1	0	11	0	
	1998	6	2	0	2	0	
	1998	7	1	0	12	0	
	1998	7	2	0	10	0	
	1998	8	1	0	17	0	
	1998	8	2	0	13	0	
	1998	9	1	0	24	0	
	1998	9	2	1	19	0.05263158	
	1998	10	1	0	38	0	
	1998	10	2	0	21	0	
	1998	11	1	2	55	0.03636364	
	1998	11	2	1	35	0.02857143	
	1998	12	1	5	90	0.05555556	
	1998	12	2	1	28	0.03571429	
	1998	13	1	1	95	0.01052632	
	1998	13	2	0	27	0	
	1998	14	1	6	115	0.05217391	
	1998	14	2	3	52	0.05769231	
	1998	15	1	3	82	0.03658537	
	1998	15	2	0	31	0	
	1998	16	1	1	57	0.01754386	
	1998	16	2	0	15	0	
	1998	17	1	0	13	0	
	1998	17	2	0	2	0	
	1998	18	1	0	1	0	
	1998	18	2	0	1	0	
	1999	1	1	0	1	0	
	1999	1	2	1	3	0.3333333	
	1999	2	2	0	1	0	
	1999	3	1	0	3	0	
	1999	3	2	0	3	0	
	1999	4	1	0	15	0	
	1999	4	2	0	2	0	
	1999	5	1	0	17	0	
	1999	5	2	0	7	0	
	1999	6	1	0	7	0	
	1999	6	2	1	2	0.5	
	1999	7	1	1	18	0.05555556	
	1999	7	2	0	9	0	
	1999	8	1	1	12	0.08333333	
	1999	8	2	0	18	0	
	1999	9	1	0	18	0	
	1999	9	2	0	16	0	
	1999	10	1	0	42	0	
	1999	10	2	0	19	0	
	1999	11	1	1	55	0.01818182	
	1999	11	2	0	39	0	
	1999	12	1	2	78	0.02564103	
	1999	12	2	0	45	0	
	1999	13	1	4	115	0.03478261	
	1999	13	2	0	29	0	
	1999	14	1	5	130	0.03846154	
	1999	14	2	0	36	0	
	1999	15	1	7	110	0.06363636	
	1999	15	2	1	45	0.02222222	
	1999	16	1	3	63	0.04761905	
	1999	16	2	0	22	0	
	1999	17	1	1	14	0.07142857	
	1999	17	2	1	5	0.2	
	1999	18	2	0	1	0	
	2000	1	1	0	5	0	
	2000	2	1	0	2	0	
	2000	2	2	0	1	0	
	2000	3	1	0	2	0	
	2000	3	2	0	3	0	
	2000	4	1	0	15	0	
	2000	4	2	0	2	0	
	2000	5	1	0	23	0	
	2000	5	2	0	7	0	
	2000	6	1	0	17	0	
	2000	6	2	0	10	0	
	2000	7	1	0	13	0	
	2000	7	2	2	19	0.1052632	
	2000	8	1	0	17	0	
	2000	8	2	0	11	0	
	2000	9	1	1	30	0.03333333	
	2000	9	2	0	21	0	
	2000	10	1	0	37	0	
	2000	10	2	0	27	0	
	2000	11	1	2	84	0.02380952	
	2000	11	2	0	46	0	
	2000	12	1	6	110	0.05454545	
	2000	12	2	2	56	0.03571429	
	2000	13	1	3	119	0.02521008	
	2000	13	2	0	49	0	
	2000	14	1	3	126	0.02380952	
	2000	14	2	1	52	0.01923077	
	2000	15	1	7	120	0.05833333	
	2000	15	2	2	44	0.04545455	
	2000	16	1	3	72	0.04166667	
	2000	16	2	1	29	0.03448276	
	2000	17	1	1	22	0.04545455	
	2000	17	2	0	6	0	
	2000	18	1	1	2	0.5	
	2000	18	2	0	2	0	
	2001	1	1	1	5	0.2	
	2001	1	2	0	3	0	
	2001	2	1	0	1	0	
	2001	2	2	0	1	0	
	2001	3	1	0	2	0	
	2001	3	2	0	1	0	
	2001	4	1	0	16	0	
	2001	4	2	0	9	0	
	2001	5	1	2	14	0.1428571	
	2001	5	2	0	3	0	
	2001	6	1	0	16	0	
	2001	6	2	0	5	0	
	2001	7	1	0	15	0	
	2001	7	2	0	11	0	
	2001	8	1	0	20	0	
	2001	8	2	0	25	0	
	2001	9	1	0	17	0	
	2001	9	2	0	15	0	
	2001	10	1	0	56	0	
	2001	10	2	0	36	0	
	2001	11	1	0	89	0	
	2001	11	2	2	58	0.03448276	
	2001	12	1	1	105	0.00952381	
	2001	12	2	1	75	0.01333333	
	2001	13	1	10	124	0.08064516	
	2001	13	2	0	46	0	
	2001	14	1	4	126	0.03174603	
	2001	14	2	1	50	0.02	
	2001	15	1	11	112	0.09821429	
	2001	15	2	0	60	0	
	2001	16	1	5	81	0.0617284	
	2001	16	2	1	45	0.02222222	
	2001	17	1	0	12	0	
	2001	17	2	1	9	0.1111111	
	2001	18	1	0	2	0	
	2001	18	2	0	2	0	
	2002	1	2	0	2	0	
	2002	2	2	0	3	0	
	2002	3	1	0	5	0	
	2002	3	2	0	1	0	
	2002	4	1	0	12	0	
	2002	4	2	0	5	0	
	2002	5	1	0	31	0	
	2002	5	2	0	7	0	
	2002	6	1	0	28	0	
	2002	6	2	0	7	0	
	2002	7	1	0	23	0	
	2002	7	2	0	19	0	
	2002	8	1	0	29	0	
	2002	8	2	0	18	0	
	2002	9	1	1	42	0.02380952	
	2002	9	2	1	26	0.03846154	
	2002	10	1	5	63	0.07936508	
	2002	10	2	0	31	0	
	2002	11	1	1	86	0.01162791	
	2002	11	2	1	44	0.02272727	
	2002	12	1	1	117	0.008547009	
	2002	12	2	0	74	0	
	2002	13	1	4	156	0.02564103	
	2002	13	2	1	59	0.01694915	
	2002	14	1	6	142	0.04225352	
	2002	14	2	3	60	0.05	
	2002	15	1	9	134	0.06716418	
	2002	15	2	4	58	0.06896552	
	2002	16	1	8	86	0.09302326	
	2002	16	2	3	31	0.09677419	
	2002	17	1	2	30	0.06666667	
	2002	17	2	1	4	0.25	
	2002	18	1	1	4	0.25	
	2002	18	2	1	5	0.2	
	2002	19	2	0	1	0	
	2003	1	1	0	2	0	
	2003	1	2	0	6	0	
	2003	2	1	0	1	0	
	2003	2	2	0	1	0	
	2003	3	1	0	6	0	
	2003	3	2	0	2	0	
	2003	4	1	0	24	0	
