
	D.4.5.M Pleurektomie, Mortalität // Pleurectomie, mortalité // Pleurectomia, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	1	1	0	3	0	
	1998	1	2	0	1	0	
	1998	2	1	0	1	0	
	1998	3	1	0	1	0	
	1998	4	1	0	8	0	
	1998	5	1	0	9	0	
	1998	5	2	0	5	0	
	1998	6	1	0	7	0	
	1998	6	2	0	2	0	
	1998	7	1	0	11	0	
	1998	7	2	0	3	0	
	1998	8	1	0	7	0	
	1998	8	2	0	3	0	
	1998	9	1	0	7	0	
	1998	9	2	0	4	0	
	1998	10	1	0	6	0	
	1998	10	2	0	3	0	
	1998	11	1	0	10	0	
	1998	11	2	0	7	0	
	1998	12	1	2	14	0.1428571	
	1998	12	2	0	3	0	
	1998	13	1	0	17	0	
	1998	13	2	0	2	0	
	1998	14	1	2	15	0.1333333	
	1998	14	2	0	3	0	
	1998	15	1	0	9	0	
	1998	15	2	1	8	0.125	
	1998	16	1	0	7	0	
	1998	16	2	1	7	0.1428571	
	1998	17	1	0	4	0	
	1998	17	2	0	1	0	
	1998	18	2	2	3	0.6666667	
	1999	1	2	0	1	0	
	1999	2	1	0	1	0	
	1999	2	2	0	1	0	
	1999	3	2	0	1	0	
	1999	4	1	0	11	0	
	1999	4	2	0	3	0	
	1999	5	1	0	30	0	
	1999	5	2	0	5	0	
	1999	6	1	0	14	0	
	1999	6	2	0	3	0	
	1999	7	1	1	17	0.05882353	
	1999	7	2	0	7	0	
	1999	8	1	0	12	0	
	1999	8	2	0	8	0	
	1999	9	1	0	7	0	
	1999	9	2	0	7	0	
	1999	10	1	0	10	0	
	1999	10	2	1	6	0.1666667	
	1999	11	1	0	9	0	
	1999	11	2	0	2	0	
	1999	12	1	0	19	0	
	1999	12	2	0	7	0	
	1999	13	1	2	19	0.1052632	
	1999	13	2	0	4	0	
	1999	14	1	0	15	0	
	1999	14	2	0	6	0	
	1999	15	1	3	22	0.1363636	
	1999	15	2	0	2	0	
	1999	16	1	1	13	0.07692308	
	1999	16	2	0	6	0	
	1999	17	1	0	6	0	
	1999	17	2	0	3	0	
	1999	19	2	1	1	1	
	2000	1	1	0	1	0	
	2000	1	2	1	1	1	
	2000	3	1	0	1	0	
	2000	3	2	0	2	0	
	2000	4	1	0	14	0	
	2000	4	2	0	1	0	
	2000	5	1	0	21	0	
	2000	5	2	0	6	0	
	2000	6	1	0	17	0	
	2000	6	2	0	2	0	
	2000	7	1	0	15	0	
	2000	7	2	0	6	0	
	2000	8	1	0	17	0	
	2000	8	2	0	6	0	
	2000	9	1	0	10	0	
	2000	9	2	0	7	0	
	2000	10	1	0	17	0	
	2000	10	2	1	8	0.125	
	2000	11	1	0	18	0	
	2000	11	2	0	7	0	
	2000	12	1	2	28	0.07142857	
	2000	12	2	0	6	0	
	2000	13	1	3	19	0.1578947	
	2000	13	2	1	4	0.25	
	2000	14	1	1	18	0.05555556	
	2000	14	2	1	8	0.125	
	2000	15	1	4	17	0.2352941	
	2000	15	2	1	11	0.09090909	
	2000	16	1	0	12	0	
	2000	16	2	0	3	0	
	2000	17	1	1	5	0.2	
	2000	17	2	0	5	0	
	2000	18	1	2	3	0.6666667	
	2000	19	1	0	2	0	
	2001	1	2	0	2	0	
	2001	2	1	0	1	0	
	2001	4	1	0	15	0	
	2001	4	2	0	6	0	
	2001	5	1	0	16	0	
	2001	5	2	0	8	0	
	2001	6	1	0	23	0	
	2001	6	2	1	3	0.3333333	
	2001	7	1	0	14	0	
	2001	7	2	0	2	0	
	2001	8	1	0	20	0	
	2001	8	2	0	7	0	
	2001	9	1	1	16	0.0625	
	2001	9	2	0	16	0	
	2001	10	1	1	15	0.06666667	
	2001	10	2	0	12	0	
	2001	11	1	1	30	0.03333333	
	2001	11	2	1	8	0.125	
	2001	12	1	1	26	0.03846154	
	2001	12	2	1	9	0.1111111	
	2001	13	1	2	25	0.08	
	2001	13	2	0	7	0	
	2001	14	1	0	20	0	
	2001	14	2	2	12	0.1666667	
	2001	15	1	3	18	0.1666667	
	2001	15	2	1	5	0.2	
	2001	16	1	2	15	0.1333333	
	2001	16	2	1	9	0.1111111	
	2001	17	1	0	7	0	
	2001	17	2	3	6	0.5	
	2001	18	1	0	2	0	
	2001	18	2	0	2	0	
	2001	19	2	0	1	0	
	2002	1	1	0	2	0	
	2002	1	2	0	2	0	
	2002	3	1	0	1	0	
	2002	4	1	0	24	0	
	2002	4	2	0	5	0	
	2002	5	1	0	36	0	
	2002	5	2	0	10	0	
	2002	6	1	0	21	0	
	2002	6	2	0	4	0	
	2002	7	1	1	14	0.07142857	
	2002	7	2	0	13	0	
	2002	8	1	0	18	0	
	2002	8	2	0	13	0	
	2002	9	1	0	20	0	
	2002	9	2	2	11	0.1818182	
	2002	10	1	1	16	0.0625	
	2002	10	2	0	3	0	
	2002	11	1	0	23	0	
	2002	11	2	1	9	0.1111111	
	2002	12	1	0	24	0	
	2002	12	2	0	11	0	
	2002	13	1	0	26	0	
	2002	13	2	2	16	0.125	
	2002	14	1	2	17	0.1176471	
	2002	14	2	0	10	0	
	2002	15	1	2	33	0.06060606	
	2002	15	2	0	11	0	
	2002	16	1	1	22	0.04545455	
	2002	16	2	0	10	0	
	2002	17	1	2	9	0.2222222	
	2002	17	2	0	6	0	
	2002	18	1	0	1	0	
	2002	18	2	1	1	1	
	2002	19	1	0	2	0	
	2003	1	2	0	1	0	
	2003	2	1	0	2	0	
	2003	2	2	0	1	0	
	2003	3	1	0	2	0	
	2003	4	1	0	24	0	
	2003	4	2	0	7	0	
	2003	5	1	0	19	0	
	2003	5	2	0	9	0	
	2003	6	1	0	20	0	
	2003	6	2	0	6	0	
	2003	7	1	0	24	0	
	2003	7	2	0	4	0	
	2003	8	1	0	23	0	
	2003	8	2	0	9	0	
	2003	9	1	0	16	0	
	2003	9	2	0	10	0	
	2003	10	1	0	16	0	
	2003	10	2	1	10	0.1	
	2003	11	1	0	23	0	
	2003	11	2	0	7	0	
	2003	12	1	1	37	0.02702703	
	2003	12	2	1	6	0.1666667	
	2003	13	1	4	32	0.125	
	2003	13	2	1	11	0.09090909	
	2003	14	1	0	29	0	
	2003	14	2	0	9	0	
	2003	15	1	5	38	0.1315789	
	2003	15	2	2	10	0.2	
	2003	16	1	3	16	0.1875	
	2003	16	2	1	10	0.1	
	2003	17	1	3	8	0.375	
	2003	17	2	0	8	0	
	2003	18	1	1	3	0.3333333	
	2003	18	2	0	2	0	
	2003	19	2	0	1	0	
	2004	1	1	0	2	0	
	2004	1	2	0	3	0	
	2004	4	1	0	31	0	
	2004	4	2	0	5	0	
	2004	5	1	0	37	0	
	2004	5	2	0	5	0	
	2004	6	1	0	17	0	
	2004	6	2	0	9	0	
	2004	7	1	0	18	0	
	2004	7	2	0	8	0	
	2004	8	1	0	20	0	
	2004	8	2	0	10	0	
	2004	9	1	0	14	0	
	2004	9	2	0	13	0	
	2004	10	1	1	14	0.07142857	
	2004	10	2	1	14	0.07142857	
	2004	11	1	1	26	0.03846154	
	2004	11	2	1	8	0.125	
	2004	12	1	2	31	0.06451613	
	2004	12	2	1	15	0.06666667	
	2004	13	1	1	30	0.03333333	
	2004	13	2	1	14	0.07142857	
	2004	14	1	1	31	0.03225806	
	2004	14	2	0	11	0	
	2004	15	1	5	32	0.15625	
	2004	15	2	2	13	0.1538462	
	2004	16	1	3	18	0.1666667	
	2004	16	2	1	12	0.08333333	
	2004	17	1	3	16	0.1875	
	2004	17	2	0	9	0	
	2004	18	1	0	5	0	
	2004	18	2	0	3	0	
	2004	20	1	0	1	0	
	2005	1	2	0	1	0	
	2005	2	1	0	1	0	
	2005	2	2	0	2	0	
	2005	3	1	0	2	0	
	2005	4	1	0	19	0	
	2005	4	2	0	5	0	
	2005	5	1	0	32	0	
	2005	5	2	0	3	0	
	2005	6	1	0	18	0	
	2005	6	2	0	5	0	
	2005	7	1	0	27	0	
	2005	7	2	0	9	0	
	2005	8	1	2	18	0.1111111	
	2005	8	2	0	20	0	
	2005	9	1	0	19	0	
	2005	9	2	1	17	0.05882353	
	2005	10	1	1	26	0.03846154	
	2005	10	2	0	11	0	
	2005	11	1	1	23	0.04347826	
	2005	11	2	0	21	0	
	2005	12	1	1	25	0.04	
	2005	12	2	0	12	0	
	2005	13	1	2	37	0.05405405	
	2005	13	2	1	20	0.05	
	2005	14	1	4	36	0.1111111	
	2005	14	2	0	5	0	
	2005	15	1	2	25	0.08	
	2005	15	2	1	12	0.08333333	
	2005	16	1	0	17	0	
	2005	16	2	2	14	0.1428571	
	2005	17	1	3	12	0.25	
	2005	17	2	0	5	0	
	2005	18	1	0	2	0	
	2005	18	2	0	1	0	
	2005	19	1	1	1	1	
	2005	19	2	0	2	0	
	2006	1	1	0	3	0	
	2006	1	2	0	1	0	
	2006	2	1	0	3	0	
	2006	3	1	0	6	0	
	2006	3	2	0	3	0	
	2006	4	1	0	24	0	
	2006	4	2	0	5	0	
	2006	5	1	0	39	0	
	2006	5	2	0	10	0	
	2006	6	1	0	17	0	
	2006	6	2	1	9	0.1111111	
	2006	7	1	0	18	0	
	2006	7	2	0	11	0	
	2006	8	1	0	18	0	
	2006	8	2	0	8	0	
	2006	9	1	2	22	0.09090909	
	2006	9	2	0	9	0	
	2006	10	1	1	24	0.04166667	
	2006	10	2	1	15	0.06666667	
	2006	11	1	1	32	0.03125	
	2006	11	2	0	15	0	
	2006	12	1	2	32	0.0625	
	2006	12	2	0	9	0	
	2006	13	1	2	48	0.04166667	
	2006	13	2	1	22	0.04545455	
