
	D.4.5.M Pleurektomie, Mortalität // Pleurectomie, mortalité // Pleurectomia, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	DeathCH	CasesCH	pCH	
	1998	8	191	4.188482	
	1999	9	278	3.23741	
	2000	18	318	5.660377	
	2001	21	378	5.555556	
	2002	15	444	3.378378	
	2003	23	453	5.077263	
	2004	24	495	4.848485	
	2005	22	505	4.356436	
	2006	21	559	3.756708	
	2007	38	635	5.984252	
	2008	44	745	5.90604	
	2009	37	700	5.285714	
	2010	39	738	5.284553	
	2011	48	727	6.602476	
	2012	49	775	6.322581	
	2013	55	772	7.124352	

