
	E.1.1.M Cholezystektomie bei Gallensteinen und Cholezystitis, ohne Tumor, Mortalität // Cholécystectomie en cas de calculs biliaires et cholécystite, sans tumeur, mortalité // Colecistectomia in caso di calcoli biliari e colecistite, senza tumore, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	1	1	0	1	0	
	1998	1	2	0	2	0	
	1998	2	2	0	3	0	
	1998	3	1	0	1	0	
	1998	3	2	0	4	0	
	1998	4	1	0	4	0	
	1998	4	2	0	24	0	
	1998	5	1	0	17	0	
	1998	5	2	0	102	0	
	1998	6	1	0	37	0	
	1998	6	2	0	206	0	
	1998	7	1	0	64	0	
	1998	7	2	0	252	0	
	1998	8	1	0	114	0	
	1998	8	2	0	304	0	
	1998	9	1	0	160	0	
	1998	9	2	0	294	0	
	1998	10	1	1	205	0.004878049	
	1998	10	2	0	321	0	
	1998	11	1	0	228	0	
	1998	11	2	0	427	0	
	1998	12	1	0	215	0	
	1998	12	2	0	403	0	
	1998	13	1	0	223	0	
	1998	13	2	1	420	0.002380952	
	1998	14	1	0	241	0	
	1998	14	2	0	386	0	
	1998	15	1	0	177	0	
	1998	15	2	1	289	0.003460208	
	1998	16	1	0	162	0	
	1998	16	2	2	225	0.008888889	
	1998	17	1	2	92	0.02173913	
	1998	17	2	0	126	0	
	1998	18	1	2	44	0.04545455	
	1998	18	2	1	78	0.01282051	
	1998	19	1	1	9	0.1111111	
	1998	19	2	2	15	0.1333333	
	1998	20	1	0	1	0	
	1998	20	2	0	2	0	
	1999	2	1	0	1	0	
	1999	2	2	0	1	0	
	1999	3	1	0	4	0	
	1999	3	2	0	4	0	
	1999	4	1	0	11	0	
	1999	4	2	0	34	0	
	1999	5	1	0	19	0	
	1999	5	2	0	112	0	
	1999	6	1	0	40	0	
	1999	6	2	0	255	0	
	1999	7	1	0	89	0	
	1999	7	2	0	389	0	
	1999	8	1	0	156	0	
	1999	8	2	0	428	0	
	1999	9	1	0	203	0	
	1999	9	2	0	413	0	
	1999	10	1	0	227	0	
	1999	10	2	0	445	0	
	1999	11	1	0	281	0	
	1999	11	2	0	605	0	
	1999	12	1	0	293	0	
	1999	12	2	0	623	0	
	1999	13	1	1	297	0.003367003	
	1999	13	2	0	571	0	
	1999	14	1	1	290	0.003448276	
	1999	14	2	2	519	0.003853565	
	1999	15	1	1	279	0.003584229	
	1999	15	2	1	429	0.002331002	
	1999	16	1	2	235	0.008510638	
	1999	16	2	0	331	0	
	1999	17	1	5	112	0.04464286	
	1999	17	2	2	184	0.01086957	
	1999	18	1	3	53	0.05660377	
	1999	18	2	2	88	0.02272727	
	1999	19	1	0	14	0	
	1999	19	2	1	22	0.04545455	
	1999	20	2	0	1	0	
	2000	1	1	0	2	0	
	2000	2	1	0	1	0	
	2000	2	2	0	2	0	
	2000	3	1	0	1	0	
	2000	3	2	0	4	0	
	2000	4	1	0	11	0	
	2000	4	2	0	45	0	
	2000	5	1	0	12	0	
	2000	5	2	0	147	0	
	2000	6	1	0	47	0	
	2000	6	2	0	271	0	
	2000	7	1	1	112	0.008928571	
	2000	7	2	1	374	0.002673797	
	2000	8	1	0	161	0	
	2000	8	2	0	399	0	
	2000	9	1	0	217	0	
	2000	9	2	1	473	0.002114165	
	2000	10	1	0	225	0	
	2000	10	2	0	483	0	
	2000	11	1	0	314	0	
	2000	11	2	0	636	0	
	2000	12	1	0	302	0	
	2000	12	2	0	659	0	
	2000	13	1	0	300	0	
	2000	13	2	0	605	0	
	2000	14	1	1	335	0.002985075	
	2000	14	2	0	530	0	
	2000	15	1	1	306	0.003267974	
	2000	15	2	3	420	0.007142857	
	2000	16	1	2	256	0.0078125	
	2000	16	2	3	341	0.008797654	
	2000	17	1	0	139	0	
	2000	17	2	4	178	0.02247191	
	2000	18	1	1	60	0.01666667	
	2000	18	2	6	98	0.06122449	
	2000	19	1	0	11	0	
	2000	19	2	1	25	0.04	
	2000	20	1	1	4	0.25	
	2000	20	2	0	3	0	
	2001	2	1	0	1	0	
	2001	3	1	0	2	0	
	2001	3	2	0	5	0	
	2001	4	1	0	7	0	
	2001	4	2	0	56	0	
	2001	5	1	0	14	0	
	2001	5	2	0	149	0	
	2001	6	1	0	58	0	
	2001	6	2	0	300	0	
	2001	7	1	0	132	0	
	2001	7	2	0	428	0	
	2001	8	1	0	182	0	
	2001	8	2	0	508	0	
	2001	9	1	0	226	0	
	2001	9	2	0	472	0	
	2001	10	1	0	296	0	
	2001	10	2	0	534	0	
	2001	11	1	0	357	0	
	2001	11	2	0	685	0	
	2001	12	1	1	389	0.002570694	
	2001	12	2	0	669	0	
	2001	13	1	3	321	0.009345794	
	2001	13	2	2	641	0.003120125	
	2001	14	1	1	373	0.002680965	
	2001	14	2	0	583	0	
	2001	15	1	2	338	0.00591716	
	2001	15	2	1	525	0.001904762	
	2001	16	1	0	261	0	
	2001	16	2	2	367	0.005449591	
	2001	17	1	2	126	0.01587302	
	2001	17	2	4	213	0.01877934	
	2001	18	1	1	81	0.01234568	
	2001	18	2	2	104	0.01923077	
	2001	19	1	1	10	0.1	
	2001	19	2	0	31	0	
	2001	20	1	0	3	0	
	2001	20	2	0	5	0	
	2002	2	1	0	1	0	
	2002	2	2	0	3	0	
	2002	3	1	0	2	0	
	2002	3	2	0	11	0	
	2002	4	1	0	11	0	
	2002	4	2	0	55	0	
	2002	5	1	0	24	0	
	2002	5	2	0	164	0	
	2002	6	1	0	58	0	
	2002	6	2	0	296	0	
	2002	7	1	0	120	0	
	2002	7	2	0	451	0	
	2002	8	1	0	241	0	
	2002	8	2	0	538	0	
	2002	9	1	0	328	0	
	2002	9	2	0	587	0	
	2002	10	1	0	319	0	
	2002	10	2	0	597	0	
	2002	11	1	0	363	0	
	2002	11	2	1	765	0.00130719	
	2002	12	1	0	428	0	
	2002	12	2	0	775	0	
	2002	13	1	0	391	0	
	2002	13	2	0	714	0	
	2002	14	1	0	371	0	
	2002	14	2	0	639	0	
	2002	15	1	2	344	0.005813953	
	2002	15	2	0	550	0	
	2002	16	1	4	295	0.01355932	
	2002	16	2	1	376	0.002659574	
	2002	17	1	1	180	0.005555556	
	2002	17	2	3	234	0.01282051	
	2002	18	1	0	59	0	
