
	E.1.1.M Cholezystektomie bei Gallensteinen und Cholezystitis, ohne Tumor, Mortalität // Cholécystectomie en cas de calculs biliaires et cholécystite, sans tumeur, mortalité // Colecistectomia in caso di calcoli biliari e colecistite, senza tumore, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	DeathCH	CasesCH	pCH	
	1998	13	5878	0.2211637	
	1999	21	8058	0.2606106	
	2000	26	8509	0.3055588	
	2001	22	9452	0.232755	
	2002	16	10473	0.1527738	
	2003	32	10386	0.3081071	
	2004	31	10608	0.2922323	
	2005	34	11265	0.3018198	
	2006	32	10983	0.2913594	
	2007	29	11631	0.2493337	
	2008	38	12014	0.3162977	
	2009	36	12047	0.2988296	
	2010	24	12370	0.1940178	
	2011	29	12081	0.2400464	
	2012	30	12264	0.2446184	
	2013	20	12595	0.1587932	

