
	E.2.1.M Herniotomie ohne OP am Darm, Mortalität // Herniotomie sans OP de l’intestin, mortalité // Erniotomia senza OP all’intestino, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	1	1	0	155	0	
	1998	1	2	0	43	0	
	1998	2	1	0	110	0	
	1998	2	2	0	65	0	
	1998	3	1	0	46	0	
	1998	3	2	0	31	0	
	1998	4	1	0	136	0	
	1998	4	2	0	28	0	
	1998	5	1	0	210	0	
	1998	5	2	0	59	0	
	1998	6	1	0	277	0	
	1998	6	2	0	77	0	
	1998	7	1	0	405	0	
	1998	7	2	0	155	0	
	1998	8	1	0	503	0	
	1998	8	2	0	134	0	
	1998	9	1	0	591	0	
	1998	9	2	0	121	0	
	1998	10	1	0	704	0	
	1998	10	2	0	136	0	
	1998	11	1	0	976	0	
	1998	11	2	1	112	0.008928571	
	1998	12	1	0	939	0	
	1998	12	2	0	121	0	
	1998	13	1	0	944	0	
	1998	13	2	0	153	0	
	1998	14	1	0	825	0	
	1998	14	2	0	161	0	
	1998	15	1	2	799	0.002503129	
	1998	15	2	0	172	0	
	1998	16	1	3	627	0.004784689	
	1998	16	2	0	182	0	
	1998	17	1	2	375	0.005333333	
	1998	17	2	0	114	0	
	1998	18	1	1	164	0.006097561	
	1998	18	2	0	68	0	
	1998	19	1	0	37	0	
	1998	19	2	0	21	0	
	1998	20	1	0	5	0	
	1998	20	2	0	6	0	
	1999	1	1	0	130	0	
	1999	1	2	0	43	0	
	1999	2	1	1	91	0.01098901	
	1999	2	2	0	48	0	
	1999	3	1	0	62	0	
	1999	3	2	0	32	0	
	1999	4	1	0	169	0	
	1999	4	2	0	48	0	
	1999	5	1	0	323	0	
	1999	5	2	0	58	0	
	1999	6	1	0	408	0	
	1999	6	2	0	100	0	
	1999	7	1	0	473	0	
	1999	7	2	0	134	0	
	1999	8	1	0	729	0	
	1999	8	2	0	178	0	
	1999	9	1	0	846	0	
	1999	9	2	0	206	0	
	1999	10	1	0	965	0	
	1999	10	2	0	182	0	
	1999	11	1	0	1300	0	
	1999	11	2	0	236	0	
	1999	12	1	0	1398	0	
	1999	12	2	0	195	0	
	1999	13	1	2	1244	0.001607717	
	1999	13	2	0	211	0	
	1999	14	1	1	1116	0.0008960573	
	1999	14	2	0	227	0	
	1999	15	1	3	1027	0.00292113	
	1999	15	2	1	232	0.004310345	
	1999	16	1	5	911	0.005488474	
	1999	16	2	2	202	0.00990099	
	1999	17	1	3	444	0.006756757	
	1999	17	2	1	137	0.00729927	
	1999	18	1	1	237	0.004219409	
	1999	18	2	1	90	0.01111111	
	1999	19	1	1	55	0.01818182	
	1999	19	2	0	19	0	
	1999	20	1	1	7	0.1428571	
	1999	20	2	0	5	0	
	2000	1	1	0	113	0	
	2000	1	2	0	37	0	
	2000	2	1	0	66	0	
	2000	2	2	0	46	0	
	2000	3	1	0	61	0	
	2000	3	2	0	32	0	
	2000	4	1	0	190	0	
	2000	4	2	0	60	0	
	2000	5	1	0	329	0	
	2000	5	2	0	68	0	
	2000	6	1	0	437	0	
	2000	6	2	0	103	0	
	2000	7	1	0	560	0	
	2000	7	2	0	165	0	
	2000	8	1	2	808	0.002475248	
	2000	8	2	1	196	0.005102041	
	2000	9	1	1	873	0.001145475	
	2000	9	2	0	208	0	
	2000	10	1	0	1050	0	
	2000	10	2	0	233	0	
	2000	11	1	2	1421	0.00140746	
	2000	11	2	0	225	0	
	2000	12	1	1	1568	0.0006377551	
	2000	12	2	0	217	0	
	2000	13	1	3	1370	0.002189781	
	2000	13	2	0	203	0	
	2000	14	1	1	1310	0.0007633588	
	2000	14	2	1	252	0.003968254	
	2000	15	1	2	1118	0.001788909	
	2000	15	2	3	249	0.01204819	
