
	E.2.1.M Herniotomie ohne OP am Darm, Mortalität // Herniotomie sans OP de l’intestin, mortalité // Erniotomia senza OP all’intestino, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	DeathCH	CasesCH	pCH	
	1998	9	10787	0.08343376	
	1999	23	14518	0.158424	
	2000	30	15769	0.1902467	
	2001	16	16716	0.09571668	
	2002	20	18147	0.1102111	
	2003	15	19189	0.07816978	
	2004	18	20493	0.08783487	
	2005	19	20644	0.09203643	
	2006	22	20545	0.107082	
	2007	25	21300	0.1173709	
	2008	29	22349	0.1297597	
	2009	34	22424	0.1516233	
	2010	22	22368	0.09835479	
	2011	25	22830	0.109505	
	2012	33	23387	0.141104	
	2013	33	24017	0.1374027	

