
	E.2.4.P Anteil alloplastische OP bei Inguinalhernie, Alter >19 // OP alloplastique de hernie inguinale, âge >19, pourcentage // OP di alloplastica per ernia inguinale, età >19, percentuale
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	CasesCH	CasesCHDen	pCH	
	1998	3387	8268	40.96517	
	1999	5421	11294	47.99894	
	2000	6154	12442	49.4615	
	2001	6568	12945	50.73774	
	2002	7964	14105	56.46225	
	2003	9188	14702	62.4949	
	2004	10723	15754	68.06525	
	2005	11067	15596	70.9605	
	2006	11661	15394	75.75029	
	2007	12727	15759	80.7602	
	2008	13557	16148	83.95467	
	2009	13867	15930	87.04959	
	2010	14179	15758	89.97969	
	2011	14553	15966	91.14994	
	2012	14814	16157	91.68781	
	2013	15259	16477	92.60788	

