
	E.4.1.M Kolorektale Resektionen insgesamt, Mortalität // Total des résections colorectales, mortalité // Numero totale di resezioni colorettali, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	1	1	0	19	0	
	1998	1	2	0	10	0	
	1998	2	1	0	1	0	
	1998	2	2	0	2	0	
	1998	3	1	0	2	0	
	1998	3	2	0	1	0	
	1998	4	1	0	6	0	
	1998	4	2	0	8	0	
	1998	5	1	0	14	0	
	1998	5	2	0	14	0	
	1998	6	1	0	18	0	
	1998	6	2	0	22	0	
	1998	7	1	0	30	0	
	1998	7	2	0	30	0	
	1998	8	1	0	46	0	
	1998	8	2	0	45	0	
	1998	9	1	3	64	0.046875	
	1998	9	2	2	71	0.02816901	
	1998	10	1	3	112	0.02678571	
	1998	10	2	1	101	0.00990099	
	1998	11	1	3	185	0.01621622	
	1998	11	2	2	158	0.01265823	
	1998	12	1	2	214	0.009345794	
	1998	12	2	3	196	0.01530612	
	1998	13	1	8	276	0.02898551	
	1998	13	2	7	233	0.03004292	
	1998	14	1	5	288	0.01736111	
	1998	14	2	6	272	0.02205882	
	1998	15	1	11	271	0.04059041	
	1998	15	2	16	319	0.05015674	
	1998	16	1	22	269	0.08178439	
	1998	16	2	12	326	0.03680982	
	1998	17	1	12	144	0.08333333	
	1998	17	2	18	212	0.08490566	
	1998	18	1	12	98	0.122449	
	1998	18	2	12	153	0.07843137	
	1998	19	1	2	15	0.1333333	
	1998	19	2	6	36	0.1666667	
	1998	20	1	1	2	0.5	
	1998	20	2	0	3	0	
	1999	1	1	0	28	0	
	1999	1	2	1	12	0.08333333	
	1999	2	1	0	4	0	
	1999	3	1	0	4	0	
	1999	3	2	0	3	0	
	1999	4	1	0	13	0	
	1999	4	2	0	9	0	
	1999	5	1	0	19	0	
	1999	5	2	0	19	0	
	1999	6	1	0	23	0	
	1999	6	2	0	37	0	
	1999	7	1	0	39	0	
	1999	7	2	0	36	0	
	1999	8	1	0	69	0	
	1999	8	2	0	61	0	
	1999	9	1	1	103	0.009708738	
	1999	9	2	1	89	0.01123596	
	1999	10	1	0	134	0	
	1999	10	2	1	141	0.007092199	
	1999	11	1	2	235	0.008510638	
	1999	11	2	0	211	0	
	1999	12	1	5	262	0.01908397	
	1999	12	2	3	245	0.0122449	
	1999	13	1	6	302	0.01986755	
	1999	13	2	1	329	0.003039514	
	1999	14	1	13	373	0.03485255	
	1999	14	2	4	359	0.01114206	
	1999	15	1	17	373	0.04557641	
	1999	15	2	14	449	0.0311804	
	1999	16	1	20	364	0.05494505	
	1999	16	2	26	420	0.06190476	
	1999	17	1	14	217	0.06451613	
	1999	17	2	27	297	0.09090909	
	1999	18	1	13	78	0.1666667	
	1999	18	2	26	212	0.1226415	
	1999	19	1	6	23	0.2608696	
	1999	19	2	5	46	0.1086957	
	1999	20	1	1	2	0.5	
	1999	20	2	1	1	1	
	2000	1	1	1	31	0.03225806	
	2000	1	2	0	13	0	
	2000	2	1	0	1	0	
	2000	2	2	0	1	0	
	2000	3	1	0	4	0	
	2000	3	2	0	1	0	
	2000	4	1	0	12	0	
	2000	4	2	0	17	0	
	2000	5	1	0	18	0	
	2000	5	2	0	22	0	
	2000	6	1	0	24	0	
	2000	6	2	1	34	0.02941176	
	2000	7	1	1	40	0.025	
	2000	7	2	0	48	0	
	2000	8	1	0	83	0	
	2000	8	2	0	61	0	
	2000	9	1	1	119	0.008403361	
	2000	9	2	1	106	0.009433962	
	2000	10	1	3	150	0.02	
	2000	10	2	1	164	0.006097561	
	2000	11	1	4	276	0.01449275	
	2000	11	2	2	264	0.007575758	
	2000	12	1	2	351	0.005698006	
	2000	12	2	1	321	0.003115265	
	2000	13	1	13	352	0.03693182	
	2000	13	2	3	334	0.008982036	
	2000	14	1	9	398	0.02261307	
	2000	14	2	8	431	0.01856148	
	2000	15	1	28	410	0.06829268	
	2000	15	2	10	476	0.0210084	
	2000	16	1	30	374	0.0802139	
	2000	16	2	27	479	0.05636743	
	2000	17	1	24	234	0.1025641	
	2000	17	2	32	342	0.09356725	
	2000	18	1	17	105	0.1619048	
	2000	18	2	25	201	0.1243781	
	2000	19	1	6	28	0.2142857	
	2000	19	2	9	59	0.1525424	
