
	E.4.2.M Kolonresektionen bei kolorektalem Karzinom ohne komplizierende Diagnose, Mortalität // Résections du côlon pour cancer colorectal sans diagnostic compliquant, mortalité // Resezioni del colon per carcinoma colorettale senza diagnosi complicante, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	1	1	0	1	0	
	1998	5	1	0	2	0	
	1998	5	2	0	1	0	
	1998	6	2	0	1	0	
	1998	7	1	0	2	0	
	1998	7	2	0	6	0	
	1998	8	1	0	4	0	
	1998	8	2	0	8	0	
	1998	9	1	1	10	0.1	
	1998	9	2	1	14	0.07142857	
	1998	10	1	1	19	0.05263158	
	1998	10	2	0	11	0	
	1998	11	1	0	22	0	
	1998	11	2	0	35	0	
	1998	12	1	1	52	0.01923077	
	1998	12	2	0	37	0	
	1998	13	1	1	75	0.01333333	
	1998	13	2	2	41	0.04878049	
	1998	14	1	1	93	0.01075269	
	1998	14	2	1	74	0.01351351	
	1998	15	1	3	108	0.02777778	
	1998	15	2	2	69	0.02898551	
	1998	16	1	7	104	0.06730769	
	1998	16	2	2	95	0.02105263	
	1998	17	1	3	57	0.05263158	
	1998	17	2	1	65	0.01538462	
	1998	18	1	3	40	0.075	
	1998	18	2	2	59	0.03389831	
	1998	19	1	2	9	0.2222222	
	1998	19	2	0	9	0	
	1998	20	2	0	2	0	
	1999	5	2	0	2	0	
	1999	6	2	0	2	0	
	1999	7	1	0	3	0	
	1999	7	2	0	6	0	
	1999	8	1	0	9	0	
	1999	8	2	0	6	0	
	1999	9	1	0	11	0	
	1999	9	2	0	16	0	
	1999	10	1	0	16	0	
	1999	10	2	0	10	0	
	1999	11	1	0	34	0	
	1999	11	2	0	34	0	
	1999	12	1	1	62	0.01612903	
	1999	12	2	0	37	0	
	1999	13	1	1	90	0.01111111	
	1999	13	2	1	51	0.01960784	
	1999	14	1	3	118	0.02542373	
	1999	14	2	0	83	0	
	1999	15	1	2	119	0.01680672	
	1999	15	2	4	114	0.03508772	
	1999	16	1	4	152	0.02631579	
	1999	16	2	4	112	0.03571429	
	1999	17	1	4	88	0.04545455	
	1999	17	2	6	96	0.0625	
	1999	18	1	6	33	0.1818182	
	1999	18	2	5	65	0.07692308	
	1999	19	1	2	11	0.1818182	
	1999	19	2	0	12	0	
	2000	1	1	0	1	0	
	2000	4	1	0	1	0	
	2000	4	2	0	3	0	
	2000	6	1	0	4	0	
	2000	6	2	0	3	0	
	2000	7	1	0	2	0	
	2000	7	2	0	5	0	
	2000	8	1	0	10	0	
	2000	8	2	0	5	0	
	2000	9	1	1	7	0.1428571	
	2000	9	2	0	11	0	
	2000	10	1	1	23	0.04347826	
	2000	10	2	1	23	0.04347826	
	2000	11	1	1	47	0.0212766	
	2000	11	2	0	52	0	
	2000	12	1	2	77	0.02597403	
	2000	12	2	0	49	0	
	2000	13	1	3	85	0.03529412	
	2000	13	2	2	66	0.03030303	
	2000	14	1	4	113	0.03539823	
	2000	14	2	2	98	0.02040816	
	2000	15	1	8	143	0.05594406	
	2000	15	2	0	87	0	
	2000	16	1	8	138	0.05797101	
	2000	16	2	6	125	0.048	
	2000	17	1	7	89	0.07865169	
	2000	17	2	3	92	0.0326087	
	2000	18	1	3	38	0.07894737	
	2000	18	2	6	58	0.1034483	
	2000	19	1	1	11	0.09090909	
	2000	19	2	0	17	0	
	2000	20	1	0	1	0	
	2000	20	2	0	2	0	
	2001	4	2	0	2	0	
	2001	5	1	0	2	0	
	2001	5	2	0	2	0	
	2001	6	1	0	1	0	
	2001	6	2	0	2	0	
	2001	7	1	0	2	0	
	2001	7	2	0	6	0	
	2001	8	1	0	10	0	
	2001	8	2	0	6	0	
	2001	9	1	0	15	0	
	2001	9	2	0	13	0	
	2001	10	1	0	31	0	
	2001	10	2	1	27	0.03703704	
	2001	11	1	0	56	0	
	2001	11	2	0	38	0	
	2001	12	1	0	75	0	
	2001	12	2	1	55	0.01818182	
	2001	13	1	1	102	0.009803922	
	2001	13	2	0	60	0	
	2001	14	1	1	146	0.006849315	
	2001	14	2	2	96	0.02083333	
	2001	15	1	5	168	0.0297619	
	2001	15	2	3	132	0.02272727	
	2001	16	1	11	157	0.07006369	
	2001	16	2	4	151	0.02649007	
	2001	17	1	10	105	0.0952381	
	2001	17	2	7	114	0.06140351	
	2001	18	1	4	40	0.1	
	2001	18	2	4	81	0.04938272	
	2001	19	1	1	2	0.5	
	2001	19	2	4	32	0.125	
	2001	20	1	0	1	0	
	2001	20	2	0	1	0	
	2002	5	1	0	3	0	
	2002	5	2	0	1	0	
	2002	6	1	0	3	0	
	2002	6	2	0	3	0	
	2002	7	2	0	3	0	
	2002	8	1	0	11	0	
	2002	8	2	0	11	0	
	2002	9	1	0	8	0	
	2002	9	2	0	14	0	
	2002	10	1	0	28	0	
	2002	10	2	2	34	0.05882353	
	2002	11	1	0	49	0	
