
	E.4.3.M Kolonresektionen bei kolorektalem Karzinom mit komplizierender Diagnose, Mortalität // Résections du côlon pour cancer colorectal avec diagnostic compliquant, mortalité // Resezioni del colon per carcinoma colorettale con diagnosi complicante, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	9	1	0	1	0	
	1998	9	2	0	2	0	
	1998	11	1	0	1	0	
	1998	11	2	0	2	0	
	1998	12	1	0	2	0	
	1998	12	2	0	4	0	
	1998	13	1	0	3	0	
	1998	13	2	2	4	0.5	
	1998	14	1	0	6	0	
	1998	15	1	0	1	0	
	1998	15	2	0	4	0	
	1998	16	1	0	2	0	
	1998	16	2	1	3	0.3333333	
	1998	17	1	1	7	0.1428571	
	1998	17	2	0	8	0	
	1998	18	1	1	1	1	
	1998	18	2	0	5	0	
	1998	19	2	0	2	0	
	1998	20	1	0	1	0	
	1999	7	2	0	1	0	
	1999	9	1	0	1	0	
	1999	9	2	0	1	0	
	1999	10	1	0	1	0	
	1999	10	2	0	1	0	
	1999	11	1	0	1	0	
	1999	11	2	0	1	0	
	1999	12	1	0	3	0	
	1999	12	2	0	2	0	
	1999	13	1	0	5	0	
	1999	13	2	0	3	0	
	1999	14	1	0	3	0	
	1999	14	2	0	1	0	
	1999	15	1	0	6	0	
	1999	15	2	0	4	0	
	1999	16	1	1	7	0.1428571	
	1999	16	2	0	9	0	
	1999	17	1	1	9	0.1111111	
	1999	17	2	0	5	0	
	1999	18	1	0	2	0	
	1999	18	2	2	5	0.4	
	1999	19	1	1	2	0.5	
	1999	19	2	0	1	0	
	2000	8	2	0	1	0	
	2000	10	1	1	2	0.5	
	2000	11	1	1	6	0.1666667	
	2000	11	2	0	1	0	
	2000	12	1	0	2	0	
	2000	12	2	0	5	0	
	2000	13	1	1	4	0.25	
	2000	13	2	0	2	0	
	2000	14	1	0	8	0	
	2000	14	2	0	4	0	
	2000	15	1	1	9	0.1111111	
	2000	15	2	0	4	0	
	2000	16	1	0	4	0	
	2000	16	2	1	5	0.2	
	2000	17	1	1	9	0.1111111	
	2000	17	2	3	8	0.375	
	2000	18	1	0	3	0	
	2000	18	2	1	3	0.3333333	
	2000	19	1	1	2	0.5	
	2000	20	2	0	1	0	
	2001	10	1	0	1	0	
	2001	10	2	0	1	0	
	2001	11	1	0	2	0	
	2001	11	2	0	1	0	
	2001	12	1	0	3	0	
	2001	12	2	0	4	0	
	2001	13	1	1	8	0.125	
	2001	13	2	0	4	0	
	2001	14	1	0	5	0	
	2001	14	2	0	7	0	
	2001	15	1	0	14	0	
	2001	15	2	1	9	0.1111111	
	2001	16	1	2	20	0.1	
	2001	16	2	1	11	0.09090909	
	2001	17	1	1	4	0.25	
	2001	17	2	2	7	0.2857143	
	2001	18	1	2	8	0.25	
	2001	18	2	1	5	0.2	
	2001	19	1	1	2	0.5	
	2001	19	2	0	1	0	
	2001	20	2	0	1	0	
	2002	8	1	0	1	0	
	2002	10	1	0	2	0	
	2002	10	2	0	3	0	
	2002	11	1	0	3	0	
	2002	11	2	1	3	0.3333333	
	2002	12	1	1	10	0.1	
	2002	12	2	0	5	0	
	2002	13	1	0	4	0	
	2002	13	2	0	6	0	
	2002	14	1	0	12	0	
	2002	14	2	0	7	0	
	2002	15	1	1	9	0.1111111	
	2002	15	2	0	5	0	
	2002	16	1	1	18	0.05555556	
	2002	16	2	3	14	0.2142857	
	2002	17	1	3	8	0.375	
	2002	17	2	0	6	0	
	2002	18	1	1	5	0.2	
	2002	18	2	1	5	0.2	
	2002	19	1	0	3	0	
	2002	19	2	2	3	0.6666667	
	2003	7	1	0	1	0	
	2003	7	2	0	1	0	
	2003	9	1	0	1	0	
	2003	10	2	0	3	0	
	2003	11	1	0	5	0	
	2003	11	2	0	2	0	
	2003	12	1	0	7	0	
	2003	12	2	1	4	0.25	
	2003	13	1	1	9	0.1111111	
	2003	13	2	0	3	0	
	2003	14	1	0	12	0	
	2003	14	2	0	7	0	
	2003	15	1	1	13	0.07692308	
	2003	15	2	0	6	0	
	2003	16	1	1	7	0.1428571	
	2003	16	2	4	17	0.2352941	
	2003	17	1	3	12	0.25	
	2003	17	2	2	11	0.1818182	
	2003	18	1	1	2	0.5	
	2003	18	2	1	9	0.1111111	
	2003	19	1	1	3	0.3333333	
	2003	19	2	0	1	0	
	2004	5	2	0	1	0	
	2004	8	1	0	1	0	
	2004	9	1	0	2	0	
	2004	9	2	0	2	0	
	2004	10	1	0	3	0	
	2004	10	2	0	3	0	
	2004	11	1	0	6	0	
	2004	11	2	1	4	0.25	
	2004	12	1	0	12	0	
	2004	12	2	2	7	0.2857143	
	2004	13	1	2	13	0.1538462	
	2004	13	2	0	5	0	
	2004	14	1	0	9	0	
	2004	14	2	0	8	0	
	2004	15	1	0	18	0	
	2004	15	2	1	6	0.1666667	
	2004	16	1	2	17	0.1176471	
	2004	16	2	0	11	0	
	2004	17	1	2	10	0.2	
	2004	17	2	3	17	0.1764706	
	2004	18	1	3	6	0.5	
	2004	18	2	2	6	0.3333333	
	2004	19	1	1	2	0.5	
	2004	19	2	3	5	0.6	
	2004	20	2	0	1	0	
	2005	7	2	0	1	0	
	2005	9	1	0	1	0	
	2005	10	1	0	2	0	
	2005	11	1	0	4	0	
	2005	11	2	0	3	0	
	2005	12	1	0	11	0	
	2005	12	2	0	1	0	
	2005	13	1	1	15	0.06666667	
	2005	13	2	0	7	0	
	2005	14	1	0	8	0	
	2005	14	2	0	6	0	
	2005	15	1	3	20	0.15	
	2005	15	2	0	10	0	
	2005	16	1	4	16	0.25	
	2005	16	2	1	13	0.07692308	
	2005	17	1	2	16	0.125	
	2005	17	2	4	24	0.1666667	
	2005	18	1	4	14	0.2857143	
	2005	18	2	3	16	0.1875	
	2005	19	1	2	7	0.2857143	
	2005	19	2	0	5	0	
	2005	20	1	1	1	1	
	2005	20	2	0	1	0	
	2006	8	2	0	2	0	
	2006	9	2	0	2	0	
	2006	10	1	0	2	0	
	2006	10	2	0	3	0	
	2006	11	1	1	5	0.2	
	2006	11	2	0	6	0	
	2006	12	1	1	9	0.1111111	
	2006	12	2	1	9	0.1111111	
	2006	13	1	2	18	0.1111111	
	2006	13	2	0	13	0	
	2006	14	1	0	18	0	
	2006	14	2	0	13	0	
	2006	15	1	0	19	0	
	2006	15	2	2	14	0.1428571	
	2006	16	1	3	26	0.1153846	
	2006	16	2	4	19	0.2105263	
	2006	17	1	6	22	0.2727273	
	2006	17	2	4	16	0.25	
	2006	18	1	5	17	0.2941176	
	2006	18	2	3	12	0.25	
	2006	19	1	2	3	0.6666667	
	2006	19	2	1	7	0.1428571	
	2006	20	2	2	4	0.5	
	2007	4	1	0	1	0	
	2007	7	2	0	2	0	
	2007	8	1	0	1	0	
	2007	8	2	0	1	0	
	2007	9	1	1	3	0.3333333	
	2007	9	2	1	2	0.5	
	2007	10	1	0	4	0	
	2007	10	2	0	2	0	
	2007	11	1	0	5	0	
	2007	11	2	0	2	0	
	2007	12	1	1	14	0.07142857	
	2007	12	2	0	4	0	
	2007	13	1	0	14	0	
	2007	13	2	0	14	0	
	2007	14	1	1	19	0.05263158	
	2007	14	2	0	12	0	
	2007	15	1	2	21	0.0952381	
	2007	15	2	1	17	0.05882353	
	2007	16	1	3	23	0.1304348	
	2007	16	2	1	15	0.06666667	
	2007	17	1	3	21	0.1428571	
	2007	17	2	1	19	0.05263158	
	2007	18	1	0	16	0	
	2007	18	2	1	11	0.09090909	
	2007	19	1	2	2	1	
	2007	19	2	1	4	0.25	
	2008	6	2	0	1	0	
	2008	7	1	0	1	0	
	2008	8	1	0	1	0	
	2008	9	1	0	1	0	
	2008	10	1	0	2	0	
	2008	10	2	0	1	0	
	2008	11	1	0	6	0	
	2008	11	2	0	5	0	
	2008	12	1	0	15	0	
	2008	12	2	1	3	0.3333333	
	2008	13	1	0	10	0	
	2008	13	2	0	6	0	
	2008	14	1	1	17	0.05882353	
	2008	14	2	1	9	0.1111111	
	2008	15	1	1	24	0.04166667	
	2008	15	2	0	16	0	
	2008	16	1	5	21	0.2380952	
	2008	16	2	2	17	0.1176471	
	2008	17	1	2	22	0.09090909	
	2008	17	2	3	23	0.1304348	
	2008	18	1	4	16	0.25	
	2008	18	2	3	19	0.1578947	
	2008	19	2	1	5	0.2	
	2008	20	1	1	2	0.5	
	2009	5	2	0	1	0	
	2009	9	1	0	2	0	
	2009	10	1	0	9	0	
	2009	10	2	0	1	0	
	2009	11	1	0	5	0	
	2009	11	2	0	5	0	
	2009	12	1	0	11	0	
	2009	12	2	0	4	0	
	2009	13	1	0	18	0	
	2009	13	2	0	14	0	
	2009	14	1	2	22	0.09090909	
	2009	14	2	2	12	0.1666667	
	2009	15	1	4	15	0.2666667	
	2009	15	2	2	14	0.1428571	
	2009	16	1	2	27	0.07407407	
	2009	16	2	5	26	0.1923077	
	2009	17	1	7	24	0.2916667	
	2009	17	2	6	23	0.2608696	
	2009	18	1	7	17	0.4117647	
	2009	18	2	1	13	0.07692308	
	2009	19	1	1	5	0.2	
	2009	19	2	2	7	0.2857143	
	2009	20	2	0	1	0	
	2010	4	2	0	1	0	
	2010	6	1	0	1	0	
	2010	8	1	0	2	0	
	2010	8	2	0	4	0	
	2010	9	1	0	1	0	
	2010	10	1	0	1	0	
	2010	10	2	0	4	0	
	2010	11	1	0	5	0	
	2010	11	2	0	4	0	
	2010	12	1	1	13	0.07692308	
	2010	12	2	0	6	0	
	2010	13	1	0	12	0	
	2010	13	2	1	10	0.1	
	2010	14	1	2	20	0.1	
	2010	14	2	1	9	0.1111111	
	2010	15	1	1	30	0.03333333	
	2010	15	2	1	33	0.03030303	
	2010	16	1	1	21	0.04761905	
	2010	16	2	2	15	0.1333333	
	2010	17	1	3	22	0.1363636	
	2010	17	2	3	21	0.1428571	
	2010	18	1	6	15	0.4	
	2010	18	2	3	13	0.2307692	
	2010	19	1	0	4	0	
	2010	19	2	4	6	0.6666667	
	2010	20	1	0	2	0	
	2010	20	2	0	1	0	
	2011	5	2	0	2	0	
	2011	6	2	0	1	0	
	2011	7	1	0	3	0	
	2011	9	1	0	4	0	
	2011	9	2	0	3	0	
	2011	10	1	0	4	0	
	2011	10	2	0	5	0	
	2011	11	1	0	6	0	
	2011	11	2	1	7	0.1428571	
	2011	12	1	0	8	0	
	2011	12	2	1	9	0.1111111	
	2011	13	1	1	13	0.07692308	
	2011	13	2	0	10	0	
	2011	14	1	4	24	0.1666667	
	2011	14	2	0	4	0	
	2011	15	1	5	28	0.1785714	
	2011	15	2	2	17	0.1176471	
	2011	16	1	3	42	0.07142857	
	2011	16	2	1	13	0.07692308	
	2011	17	1	2	21	0.0952381	
	2011	17	2	1	18	0.05555556	
	2011	18	1	5	22	0.2272727	
	2011	18	2	4	17	0.2352941	
	2011	19	1	4	6	0.6666667	
	2011	19	2	2	5	0.4	
	2011	20	2	0	1	0	
	2012	5	2	0	1	0	
	2012	6	2	0	1	0	
	2012	7	1	0	1	0	
	2012	7	2	0	1	0	
	2012	8	1	0	2	0	
	2012	8	2	0	1	0	
	2012	9	1	0	2	0	
	2012	9	2	0	1	0	
	2012	10	1	1	5	0.2	
	2012	10	2	0	3	0	
	2012	11	1	0	6	0	
	2012	11	2	0	4	0	
	2012	12	1	0	10	0	
	2012	12	2	0	4	0	
	2012	13	1	0	17	0	
	2012	13	2	1	13	0.07692308	
	2012	14	1	0	23	0	
	2012	14	2	1	14	0.07142857	
	2012	15	1	2	23	0.08695652	
	2012	15	2	2	18	0.1111111	
	2012	16	1	2	27	0.07407407	
	2012	16	2	1	22	0.04545455	
	2012	17	1	3	20	0.15	
	2012	17	2	5	24	0.2083333	
	2012	18	1	3	14	0.2142857	
	2012	18	2	7	23	0.3043478	
	2012	19	1	2	7	0.2857143	
	2012	19	2	2	13	0.1538462	
	2013	6	2	0	1	0	
	2013	7	2	0	1	0	
	2013	8	1	0	1	0	
	2013	9	1	0	4	0	
	2013	9	2	0	1	0	
	2013	10	1	0	3	0	
	2013	10	2	1	1	1	
	2013	11	1	0	6	0	
	2013	11	2	0	4	0	
	2013	12	1	1	14	0.07142857	
	2013	12	2	0	10	0	
	2013	13	1	1	19	0.05263158	
	2013	13	2	0	12	0	
	2013	14	1	1	21	0.04761905	
	2013	14	2	1	27	0.03703704	
	2013	15	1	2	35	0.05714286	
	2013	15	2	1	20	0.05	
	2013	16	1	3	30	0.1	
	2013	16	2	2	21	0.0952381	
	2013	17	1	4	36	0.1111111	
	2013	17	2	1	17	0.05882353	
	2013	18	1	5	28	0.1785714	
	2013	18	2	1	24	0.04166667	
	2013	19	1	0	6	0	
	2013	19	2	2	8	0.25	
	2013	20	1	1	1	1	
	2013	20	2	1	2	0.5	

