
	E.4.4.M Rektumresektionen bei kolorektalem Karzinom, Mortalität // Résections du rectum pour cancer colorectal, mortalité // Resezioni del retto per carcinoma colorettale, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	6	1	0	3	0	
	1998	7	1	0	2	0	
	1998	8	1	0	3	0	
	1998	8	2	0	2	0	
	1998	9	1	0	6	0	
	1998	9	2	0	4	0	
	1998	10	1	1	13	0.07692308	
	1998	10	2	1	10	0.1	
	1998	11	1	0	26	0	
	1998	11	2	1	20	0.05	
	1998	12	1	0	28	0	
	1998	12	2	0	19	0	
	1998	13	1	1	55	0.01818182	
	1998	13	2	1	26	0.03846154	
	1998	14	1	0	51	0	
	1998	14	2	1	32	0.03125	
	1998	15	1	1	49	0.02040816	
	1998	15	2	3	37	0.08108108	
	1998	16	1	0	50	0	
	1998	16	2	1	35	0.02857143	
	1998	17	1	2	26	0.07692308	
	1998	17	2	2	23	0.08695652	
	1998	18	1	1	21	0.04761905	
	1998	18	2	0	17	0	
	1998	20	2	0	1	0	
	1999	5	1	0	1	0	
	1999	6	1	0	1	0	
	1999	6	2	0	1	0	
	1999	7	2	0	2	0	
	1999	8	1	0	4	0	
	1999	8	2	0	2	0	
	1999	9	1	0	7	0	
	1999	9	2	0	3	0	
	1999	10	1	0	16	0	
	1999	10	2	0	18	0	
	1999	11	1	0	38	0	
	1999	11	2	0	18	0	
	1999	12	1	0	55	0	
	1999	12	2	0	28	0	
	1999	13	1	1	61	0.01639344	
	1999	13	2	0	48	0	
	1999	14	1	0	93	0	
	1999	14	2	0	34	0	
	1999	15	1	1	67	0.01492537	
	1999	15	2	1	56	0.01785714	
	1999	16	1	2	81	0.02469136	
	1999	16	2	2	56	0.03571429	
	1999	17	1	3	43	0.06976744	
	1999	17	2	1	43	0.02325581	
	1999	18	1	0	12	0	
	1999	18	2	1	27	0.03703704	
	1999	19	1	0	3	0	
	1999	19	2	0	5	0	
	2000	6	1	0	4	0	
	2000	6	2	0	3	0	
	2000	7	1	0	1	0	
	2000	8	1	0	2	0	
	2000	8	2	0	2	0	
	2000	9	1	0	14	0	
	2000	9	2	0	3	0	
	2000	10	1	1	18	0.05555556	
	2000	10	2	0	17	0	
	2000	11	1	0	48	0	
	2000	11	2	1	23	0.04347826	
	2000	12	1	0	59	0	
	2000	12	2	0	47	0	
	2000	13	1	1	75	0.01333333	
	2000	13	2	0	41	0	
	2000	14	1	2	96	0.02083333	
	2000	14	2	0	57	0	
	2000	15	1	4	90	0.04444444	
	2000	15	2	0	48	0	
	2000	16	1	5	85	0.05882353	
	2000	16	2	3	62	0.0483871	
	2000	17	1	9	44	0.2045455	
	2000	17	2	3	53	0.05660377	
	2000	18	1	2	21	0.0952381	
	2000	18	2	0	24	0	
	2000	19	1	0	7	0	
	2000	19	2	1	6	0.1666667	
	2001	5	2	0	1	0	
	2001	6	1	0	3	0	
	2001	7	1	0	2	0	
	2001	7	2	0	2	0	
	2001	8	1	0	1	0	
	2001	8	2	0	1	0	
	2001	9	1	0	11	0	
	2001	9	2	0	10	0	
	2001	10	1	0	19	0	
	2001	10	2	0	18	0	
	2001	11	1	0	48	0	
	2001	11	2	0	38	0	
	2001	12	1	0	86	0	
	2001	12	2	0	46	0	
	2001	13	1	0	86	0	
	2001	13	2	3	51	0.05882353	
	2001	14	1	4	118	0.03389831	
	2001	14	2	0	73	0	
	2001	15	1	3	122	0.02459016	
	2001	15	2	1	71	0.01408451	
	2001	16	1	1	83	0.01204819	
	2001	16	2	1	74	0.01351351	
	2001	17	1	3	59	0.05084746	
	2001	17	2	2	54	0.03703704	
	2001	18	1	1	26	0.03846154	
	2001	18	2	3	22	0.1363636	
	2001	19	1	0	5	0	
	2001	19	2	1	4	0.25	
	2001	20	2	0	1	0	
	2002	6	1	0	1	0	
	2002	6	2	0	1	0	
	2002	7	1	0	1	0	
	2002	7	2	0	3	0	
	2002	8	1	1	8	0.125	
	2002	8	2	0	5	0	
	2002	9	1	0	9	0	
	2002	9	2	0	12	0	
	2002	10	1	0	28	0	
	2002	10	2	0	13	0	
	2002	11	1	0	44	0	
	2002	11	2	0	37	0	
	2002	12	1	0	83	0	
	2002	12	2	0	41	0	
	2002	13	1	1	95	0.01052632	
	2002	13	2	0	39	0	
	2002	14	1	3	102	0.02941176	
	2002	14	2	0	71	0	
	2002	15	1	2	120	0.01666667	
	2002	15	2	2	57	0.03508772	
	2002	16	1	4	113	0.03539823	
	2002	16	2	1	66	0.01515152	
	2002	17	1	3	53	0.05660377	
	2002	17	2	3	56	0.05357143	
	2002	18	1	3	22	0.1363636	
	2002	18	2	1	26	0.03846154	
	2002	19	1	1	4	0.25	
	2002	19	2	0	13	0	
	2002	20	1	0	1	0	
	2002	20	2	0	2	0	
	2003	6	1	0	1	0	
	2003	6	2	0	2	0	
	2003	7	1	0	4	0	
	2003	7	2	0	3	0	
	2003	8	1	0	5	0	
	2003	8	2	0	5	0	
	2003	9	1	0	15	0	
	2003	9	2	0	10	0	
	2003	10	1	1	19	0.05263158	
	2003	10	2	0	8	0	
	2003	11	1	0	47	0	
	2003	11	2	0	26	0	
	2003	12	1	0	83	0	
	2003	12	2	0	48	0	
	2003	13	1	2	93	0.02150538	
	2003	13	2	0	55	0	
	2003	14	1	1	112	0.008928571	
	2003	14	2	0	67	0	
	2003	15	1	4	121	0.03305785	
	2003	15	2	2	72	0.02777778	
	2003	16	1	3	95	0.03157895	
	2003	16	2	1	83	0.01204819	
	2003	17	1	6	57	0.1052632	
	2003	17	2	1	40	0.025	
	2003	18	1	5	24	0.2083333	
	2003	18	2	3	29	0.1034483	
	2003	19	1	0	5	0	
	2003	19	2	0	5	0	
	2003	20	1	0	1	0	
	2004	4	1	0	1	0	
	2004	6	1	0	2	0	
	2004	6	2	0	1	0	
	2004	7	1	0	4	0	
	2004	8	1	0	11	0	
	2004	8	2	0	5	0	
	2004	9	1	0	10	0	
	2004	9	2	0	14	0	
	2004	10	1	1	17	0.05882353	
	2004	10	2	1	19	0.05263158	
	2004	11	1	1	36	0.02777778	
	2004	11	2	0	32	0	
	2004	12	1	1	87	0.01149425	
	2004	12	2	0	53	0	
	2004	13	1	1	110	0.009090909	
	2004	13	2	2	63	0.03174603	
	2004	14	1	6	130	0.04615385	
	2004	14	2	0	57	0	
	2004	15	1	7	126	0.05555556	
	2004	15	2	3	73	0.04109589	
	2004	16	1	7	117	0.05982906	
	2004	16	2	2	70	0.02857143	
	2004	17	1	9	66	0.1363636	
	2004	17	2	2	62	0.03225806	
	2004	18	1	4	33	0.1212121	
	2004	18	2	3	28	0.1071429	
	2004	19	1	1	9	0.1111111	
	2004	19	2	1	10	0.1	
	2004	20	1	1	2	0.5	
	2005	5	2	0	2	0	
	2005	6	1	0	2	0	
	2005	6	2	0	3	0	
	2005	7	1	0	2	0	
	2005	7	2	0	2	0	
	2005	8	1	0	7	0	
	2005	8	2	0	2	0	
	2005	9	1	0	9	0	
	2005	9	2	0	15	0	
	2005	10	1	0	32	0	
	2005	10	2	0	13	0	
	2005	11	1	0	50	0	
	2005	11	2	0	27	0	
	2005	12	1	0	82	0	
	2005	12	2	0	45	0	
	2005	13	1	2	135	0.01481481	
	2005	13	2	0	68	0	
	2005	14	1	0	137	0	
	2005	14	2	0	64	0	
	2005	15	1	3	126	0.02380952	
	2005	15	2	2	80	0.025	
	2005	16	1	6	137	0.04379562	
	2005	16	2	4	70	0.05714286	
	2005	17	1	8	87	0.09195402	
	2005	17	2	2	74	0.02702703	
	2005	18	1	1	26	0.03846154	
	2005	18	2	2	25	0.08	
	2005	19	1	1	3	0.3333333	
	2005	19	2	0	5	0	
	2005	20	1	0	1	0	
	2005	20	2	1	2	0.5	
	2006	7	2	0	3	0	
	2006	8	1	0	8	0	
	2006	8	2	0	6	0	
	2006	9	1	0	13	0	
	2006	9	2	0	14	0	
	2006	10	1	1	26	0.03846154	
	2006	10	2	0	30	0	
	2006	11	1	1	45	0.02222222	
	2006	11	2	0	33	0	
	2006	12	1	1	93	0.01075269	
	2006	12	2	0	45	0	
	2006	13	1	3	106	0.02830189	
	2006	13	2	0	66	0	
	2006	14	1	3	143	0.02097902	
	2006	14	2	1	63	0.01587302	
	2006	15	1	5	140	0.03571429	
	2006	15	2	0	85	0	
	2006	16	1	6	114	0.05263158	
	2006	16	2	3	99	0.03030303	
	2006	17	1	4	72	0.05555556	
	2006	17	2	4	69	0.05797101	
	2006	18	1	2	29	0.06896552	
	2006	18	2	3	36	0.08333333	
	2006	19	1	0	4	0	
	2006	19	2	2	3	0.6666667	
	2006	20	1	0	2	0	
	2006	20	2	2	2	1	
	2007	4	2	0	1	0	
	2007	6	2	0	1	0	
	2007	7	1	0	2	0	
	2007	8	1	0	5	0	
	2007	8	2	0	4	0	
	2007	9	1	0	13	0	
	2007	9	2	0	13	0	
	2007	10	1	0	30	0	
	2007	10	2	0	31	0	
	2007	11	1	0	43	0	
	2007	11	2	0	36	0	
	2007	12	1	0	88	0	
	2007	12	2	1	52	0.01923077	
	2007	13	1	2	151	0.01324503	
	2007	13	2	1	77	0.01298701	
	2007	14	1	1	136	0.007352941	
	2007	14	2	0	77	0	
	2007	15	1	3	153	0.01960784	
	2007	15	2	2	80	0.025	
	2007	16	1	3	125	0.024	
	2007	16	2	1	96	0.01041667	
	2007	17	1	4	84	0.04761905	
	2007	17	2	3	67	0.04477612	
	2007	18	1	4	31	0.1290323	
	2007	18	2	3	37	0.08108108	
	2007	19	1	1	11	0.09090909	
	2007	19	2	0	7	0	
	2007	20	1	0	1	0	
	2007	20	2	1	3	0.3333333	
	2008	5	1	0	1	0	
	2008	5	2	0	1	0	
	2008	6	1	0	1	0	
	2008	6	2	0	2	0	
	2008	7	1	0	2	0	
	2008	7	2	0	4	0	
	2008	8	1	0	4	0	
	2008	8	2	0	6	0	
	2008	9	1	0	14	0	
	2008	9	2	0	17	0	
	2008	10	1	0	31	0	
	2008	10	2	0	27	0	
	2008	11	1	0	46	0	
	2008	11	2	0	38	0	
	2008	12	1	1	87	0.01149425	
	2008	12	2	2	58	0.03448276	
	2008	13	1	1	121	0.008264463	
	2008	13	2	2	69	0.02898551	
	2008	14	1	3	157	0.01910828	
	2008	14	2	2	80	0.025	
	2008	15	1	4	169	0.02366864	
	2008	15	2	1	72	0.01388889	
	2008	16	1	8	131	0.0610687	
	2008	16	2	6	73	0.08219178	
	2008	17	1	6	80	0.075	
	2008	17	2	2	72	0.02777778	
	2008	18	1	5	28	0.1785714	
	2008	18	2	3	37	0.08108108	
