
	E.4.5.M Kolorektale Resektionen bei Divertikel ohne Abszess/Perforation, Mortalität // Résections colorectales pour diverticule sans abcès/perforation, mortalité // Resezioni colorettali per diverticolo senza ascesso/perforazione, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	6	1	0	1	0	
	1998	7	1	0	4	0	
	1998	7	2	0	2	0	
	1998	8	1	0	7	0	
	1998	8	2	0	6	0	
	1998	9	1	0	11	0	
	1998	9	2	0	10	0	
	1998	10	1	0	25	0	
	1998	10	2	0	10	0	
	1998	11	1	0	54	0	
	1998	11	2	0	39	0	
	1998	12	1	0	44	0	
	1998	12	2	0	46	0	
	1998	13	1	0	41	0	
	1998	13	2	0	56	0	
	1998	14	1	0	35	0	
	1998	14	2	0	60	0	
	1998	15	1	0	28	0	
	1998	15	2	1	69	0.01449275	
	1998	16	1	0	22	0	
	1998	16	2	0	32	0	
	1998	17	1	0	8	0	
	1998	17	2	0	28	0	
	1998	18	1	0	1	0	
	1998	18	2	0	10	0	
	1998	19	1	0	1	0	
	1998	19	2	3	5	0.6	
	1999	4	1	0	1	0	
	1999	5	1	0	1	0	
	1999	6	1	0	5	0	
	1999	6	2	0	2	0	
	1999	7	1	0	9	0	
	1999	7	2	0	3	0	
	1999	8	1	0	18	0	
	1999	8	2	0	9	0	
	1999	9	1	0	33	0	
	1999	9	2	0	18	0	
	1999	10	1	0	56	0	
	1999	10	2	0	37	0	
	1999	11	1	0	70	0	
	1999	11	2	0	57	0	
	1999	12	1	0	52	0	
	1999	12	2	0	78	0	
	1999	13	1	1	56	0.01785714	
	1999	13	2	0	114	0	
	1999	14	1	1	47	0.0212766	
	1999	14	2	0	98	0	
	1999	15	1	0	49	0	
	1999	15	2	1	101	0.00990099	
	1999	16	1	0	30	0	
	1999	16	2	0	64	0	
	1999	17	1	0	9	0	
	1999	17	2	0	32	0	
