
	E.4.6.M Kolorektale Resektionen bei Divertikel mit Abszess/Perforation, Mortalität // Résections colorectales pour diverticule avec abcès/perforation, mortalité // Resezioni colorettali per diverticolo con ascesso/perforazione, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	6	1	0	1	0	
	1998	7	1	0	3	0	
	1998	7	2	0	3	0	
	1998	8	1	0	8	0	
	1998	8	2	0	9	0	
	1998	9	1	1	15	0.06666667	
	1998	9	2	0	6	0	
	1998	10	1	0	23	0	
	1998	10	2	0	10	0	
	1998	11	1	0	34	0	
	1998	11	2	1	12	0.08333333	
	1998	12	1	0	34	0	
	1998	12	2	1	18	0.05555556	
	1998	13	1	1	26	0.03846154	
	1998	13	2	0	24	0	
	1998	14	1	0	21	0	
	1998	14	2	1	24	0.04166667	
	1998	15	1	0	17	0	
	1998	15	2	3	44	0.06818182	
	1998	16	1	2	18	0.1111111	
	1998	16	2	3	47	0.06382979	
	1998	17	1	3	8	0.375	
	1998	17	2	7	28	0.25	
	1998	18	1	4	9	0.4444444	
	1998	18	2	5	16	0.3125	
	1998	19	1	0	2	0	
	1998	19	2	1	3	0.3333333	
	1998	20	1	1	1	1	
	1999	6	2	0	1	0	
	1999	7	1	0	3	0	
	1999	7	2	0	2	0	
	1999	8	1	0	10	0	
	1999	8	2	0	4	0	
	1999	9	1	0	15	0	
	1999	9	2	0	5	0	
	1999	10	1	0	18	0	
	1999	10	2	0	13	0	
	1999	11	1	0	30	0	
	1999	11	2	0	24	0	
	1999	12	1	0	34	0	
	1999	12	2	0	23	0	
	1999	13	1	0	23	0	
	1999	13	2	0	27	0	
	1999	14	1	1	24	0.04166667	
	1999	14	2	2	50	0.04	
	1999	15	1	4	26	0.1538462	
	1999	15	2	2	43	0.04651163	
	1999	16	1	2	20	0.1	
	1999	16	2	7	54	0.1296296	
	1999	17	1	0	9	0	
	1999	17	2	4	35	0.1142857	
	1999	18	1	0	8	0	
	1999	18	2	11	30	0.3666667	
	1999	19	1	1	3	0.3333333	
	1999	19	2	1	8	0.125	
