
	E.4.7.M Kolorektale Resektionen bei Darmischämie, Mortalität // Résections colorectales pour ischémie intestinale, mortalité // Resezione colorettale in caso d’ischemia intestinale, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	10	2	0	1	0	
	1998	11	1	0	1	0	
	1998	12	1	0	2	0	
	1998	13	2	0	1	0	
	1998	14	1	0	2	0	
	1998	14	2	1	1	1	
	1998	15	1	1	5	0.2	
	1998	16	1	1	5	0.2	
	1998	16	2	1	4	0.25	
	1998	17	2	0	1	0	
	1998	18	1	2	2	1	
	1998	18	2	0	3	0	
	1998	19	2	0	1	0	
	1999	1	2	0	1	0	
	1999	9	1	1	1	1	
	1999	11	1	0	1	0	
	1999	11	2	0	3	0	
	1999	12	1	1	4	0.25	
	1999	12	2	1	1	1	
	1999	13	1	0	3	0	
	1999	13	2	0	1	0	
	1999	14	1	3	5	0.6	
	1999	14	2	1	2	0.5	
	1999	15	1	2	6	0.3333333	
	1999	15	2	2	5	0.4	
	1999	16	1	3	4	0.75	
	1999	16	2	1	2	0.5	
	1999	17	1	1	5	0.2	
	1999	17	2	0	1	0	
	1999	18	1	2	2	1	
	1999	18	2	1	6	0.1666667	
	1999	19	2	0	2	0	
	1999	20	1	1	1	1	
	2000	1	1	1	1	1	
	2000	6	1	0	1	0	
	2000	7	1	1	1	1	
	2000	7	2	0	1	0	
	2000	8	1	0	2	0	
	2000	10	2	0	1	0	
	2000	11	1	0	1	0	
	2000	11	2	0	1	0	
	2000	13	1	1	2	0.5	
	2000	13	2	0	2	0	
	2000	14	1	0	4	0	
	2000	14	2	1	6	0.1666667	
	2000	15	1	3	6	0.5	
	2000	15	2	2	5	0.4	
	2000	16	1	0	3	0	
	2000	16	2	3	8	0.375	
	2000	17	1	2	3	0.6666667	
	2000	17	2	7	11	0.6363636	
	2000	18	1	2	3	0.6666667	
	2000	18	2	1	5	0.2	
	2000	19	2	1	1	1	
	2001	5	1	0	1	0	
	2001	7	1	0	1	0	
	2001	7	2	0	1	0	
	2001	8	2	0	3	0	
	2001	9	1	0	1	0	
	2001	10	1	0	1	0	
	2001	10	2	0	1	0	
	2001	11	1	1	2	0.5	
	2001	11	2	1	1	1	
	2001	12	1	0	3	0	
	2001	12	2	0	2	0	
	2001	13	1	0	3	0	
	2001	13	2	0	5	0	
	2001	14	1	2	4	0.5	
	2001	14	2	1	6	0.1666667	
	2001	15	1	4	12	0.3333333	
	2001	15	2	3	12	0.25	
	2001	16	1	2	9	0.2222222	
	2001	16	2	4	13	0.3076923	
	2001	17	1	0	4	0	
	2001	17	2	2	7	0.2857143	
	2001	18	1	0	3	0	
	2001	18	2	0	10	0	
	2002	1	1	0	1	0	
	2002	1	2	0	1	0	
	2002	8	1	0	1	0	
	2002	10	2	0	1	0	
	2002	11	1	0	1	0	
	2002	11	2	1	2	0.5	
	2002	12	1	3	8	0.375	
	2002	12	2	1	5	0.2	
	2002	13	1	2	7	0.2857143	
	2002	13	2	0	4	0	
	2002	14	1	1	3	0.3333333	
	2002	14	2	0	2	0	
	2002	15	1	2	3	0.6666667	
	2002	15	2	3	10	0.3	
	2002	16	1	5	8	0.625	
	2002	16	2	6	13	0.4615385	
	2002	17	1	3	7	0.4285714	
	2002	17	2	1	8	0.125	
	2002	18	1	1	4	0.25	
	2002	18	2	2	4	0.5	
	2002	19	2	1	1	1	
	2003	5	2	0	1	0	
	2003	9	1	1	1	1	
	2003	9	2	0	1	0	
	2003	10	1	1	1	1	
	2003	10	2	0	4	0	
	2003	11	1	1	4	0.25	
	2003	11	2	0	1	0	
	2003	12	1	5	9	0.5555556	
	2003	12	2	1	4	0.25	
	2003	13	1	5	11	0.4545455	
	2003	13	2	0	3	0	
	2003	14	1	2	11	0.1818182	
	2003	14	2	2	8	0.25	
	2003	15	1	7	15	0.4666667	
	2003	15	2	2	7	0.2857143	
	2003	16	1	2	8	0.25	
	2003	16	2	4	11	0.3636364	
	2003	17	1	5	10	0.5	
	2003	17	2	8	18	0.4444444	
	2003	18	1	2	2	1	
	2003	18	2	1	5	0.2	
	2003	19	2	2	4	0.5	
	2004	1	1	1	2	0.5	
	2004	6	1	0	1	0	
	2004	7	1	0	3	0	
	2004	7	2	0	3	0	
	2004	9	1	0	1	0	
	2004	9	2	0	1	0	
	2004	10	1	0	2	0	
	2004	10	2	0	3	0	
	2004	11	1	0	1	0	
	2004	11	2	2	7	0.2857143	
	2004	12	1	1	5	0.2	
	2004	13	1	2	4	0.5	
	2004	13	2	2	5	0.4	
	2004	14	1	8	17	0.4705882	
	2004	14	2	4	9	0.4444444	
	2004	15	1	3	9	0.3333333	
	2004	15	2	7	15	0.4666667	
	2004	16	1	5	13	0.3846154	
	2004	16	2	5	15	0.3333333	
	2004	17	1	3	8	0.375	
	2004	17	2	5	16	0.3125	
	2004	18	1	1	4	0.25	
	2004	18	2	3	8	0.375	
	2004	19	1	1	2	0.5	
	2004	19	2	0	5	0	
	2004	20	2	2	2	1	
	2005	2	2	0	1	0	
	2005	5	2	0	1	0	
	2005	6	1	0	1	0	
	2005	7	2	1	1	1	
	2005	8	1	1	3	0.3333333	
	2005	8	2	0	1	0	
	2005	9	2	0	4	0	
	2005	10	1	0	4	0	
	2005	10	2	0	3	0	
	2005	11	1	2	4	0.5	
	2005	12	1	0	6	0	
	2005	12	2	1	4	0.25	
	2005	13	1	2	9	0.2222222	
	2005	13	2	0	8	0	
	2005	14	1	5	13	0.3846154	
	2005	14	2	4	8	0.5	
	2005	15	1	3	15	0.2	
	2005	15	2	3	9	0.3333333	
	2005	16	1	6	12	0.5	
	2005	16	2	2	11	0.1818182	
