
	E.5.2.M Magenresektionen (ohne Ösophaguseingriff) bei Magenkarzinom, Mortalität // Gastrectomies (sans OP de l’œsophage) en cas de cancer de l’estomac, mortalité // Resezione gastrica senza intervento all’esofago in caso di carcinoma allo stomaco, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	6	2	0	1	0	
	1998	7	1	0	2	0	
	1998	7	2	0	1	0	
	1998	8	1	0	2	0	
	1998	9	1	0	7	0	
	1998	9	2	0	4	0	
	1998	10	1	0	8	0	
	1998	10	2	0	3	0	
	1998	11	1	0	11	0	
	1998	11	2	0	5	0	
	1998	12	1	0	14	0	
	1998	12	2	0	9	0	
	1998	13	1	0	14	0	
	1998	13	2	0	7	0	
	1998	14	1	0	19	0	
	1998	14	2	0	17	0	
	1998	15	1	2	29	0.06896552	
	1998	15	2	0	22	0	
	1998	16	1	2	27	0.07407407	
	1998	16	2	0	22	0	
	1998	17	1	0	15	0	
	1998	17	2	2	12	0.1666667	
	1998	18	1	0	9	0	
	1998	18	2	2	9	0.2222222	
	1998	19	2	0	2	0	
	1998	20	2	0	1	0	
	1999	6	2	0	1	0	
	1999	7	1	0	1	0	
	1999	7	2	0	1	0	
	1999	8	1	0	5	0	
	1999	8	2	0	2	0	
	1999	9	1	0	5	0	
	1999	9	2	0	6	0	
	1999	10	1	0	11	0	
	1999	10	2	0	5	0	
	1999	11	1	0	12	0	
	1999	11	2	1	3	0.3333333	
	1999	12	1	1	21	0.04761905	
	1999	12	2	0	8	0	
	1999	13	1	0	18	0	
	1999	13	2	0	11	0	
	1999	14	1	0	36	0	
	1999	14	2	0	14	0	
	1999	15	1	2	36	0.05555556	
	1999	15	2	1	10	0.1	
	1999	16	1	0	33	0	
	1999	16	2	2	20	0.1	
	1999	17	1	2	18	0.1111111	
	1999	17	2	1	14	0.07142857	
	1999	18	1	0	8	0	
	1999	18	2	1	16	0.0625	
	1999	19	1	0	3	0	
	1999	19	2	0	1	0	
	2000	7	1	0	2	0	
	2000	7	2	0	2	0	
	2000	8	1	0	2	0	
	2000	8	2	0	3	0	
	2000	9	1	0	3	0	
	2000	9	2	0	4	0	
	2000	10	1	0	11	0	
	2000	10	2	0	8	0	
	2000	11	1	0	10	0	
	2000	11	2	1	8	0.125	
	2000	12	1	0	16	0	
	2000	12	2	1	8	0.125	
	2000	13	1	2	30	0.06666667	
	2000	13	2	1	6	0.1666667	
	2000	14	1	1	16	0.0625	
	2000	14	2	0	10	0	
	2000	15	1	2	36	0.05555556	
	2000	15	2	0	14	0	
	2000	16	1	4	45	0.08888889	
	2000	16	2	1	21	0.04761905	
	2000	17	1	2	22	0.09090909	
	2000	17	2	1	21	0.04761905	
	2000	18	1	1	10	0.1	
	2000	18	2	0	4	0	
	2000	19	1	0	1	0	
	2000	19	2	0	1	0	
	2001	5	1	0	1	0	
	2001	7	1	0	4	0	
	2001	7	2	0	5	0	
	2001	8	1	1	5	0.2	
	2001	8	2	0	1	0	
	2001	9	1	0	5	0	
	2001	9	2	0	4	0	
	2001	10	1	0	15	0	
	2001	10	2	0	4	0	
	2001	11	1	0	11	0	
	2001	11	2	0	5	0	
	2001	12	1	3	19	0.1578947	
	2001	12	2	0	8	0	
	2001	13	1	1	18	0.05555556	
	2001	13	2	0	11	0	
	2001	14	1	3	30	0.1	
	2001	14	2	0	12	0	
	2001	15	1	1	34	0.02941176	
	2001	15	2	1	24	0.04166667	
	2001	16	1	3	39	0.07692308	
	2001	16	2	2	39	0.05128205	
	2001	17	1	3	18	0.1666667	
	2001	17	2	2	22	0.09090909	
	2001	18	1	0	8	0	
	2001	18	2	0	7	0	
	2001	19	1	0	1	0	
	2001	19	2	0	3	0	
	2002	5	1	0	3	0	
	2002	5	2	0	2	0	
	2002	6	1	0	1	0	
	2002	7	1	0	3	0	
	2002	7	2	0	1	0	
	2002	8	1	0	6	0	
	2002	8	2	0	4	0	
	2002	9	1	0	10	0	
	2002	9	2	0	2	0	
	2002	10	1	1	8	0.125	
	2002	10	2	0	6	0	
	2002	11	1	0	12	0	
	2002	11	2	0	6	0	
	2002	12	1	0	17	0	
	2002	12	2	0	9	0	
	2002	13	1	2	23	0.08695652	
	2002	13	2	2	15	0.1333333	
	2002	14	1	0	18	0	
	2002	14	2	0	22	0	
	2002	15	1	2	37	0.05405405	
	2002	15	2	0	21	0	
	2002	16	1	1	28	0.03571429	
	2002	16	2	0	26	0	
	2002	17	1	0	13	0	
	2002	17	2	2	19	0.1052632	
	2002	18	1	1	6	0.1666667	
	2002	18	2	0	9	0	
	2002	19	1	0	2	0	
	2002	19	2	0	1	0	
	2002	20	1	1	1	1	
	2003	7	1	0	3	0	
	2003	8	2	0	8	0	
	2003	9	1	0	6	0	
	2003	9	2	0	9	0	
	2003	10	1	1	7	0.1428571	
	2003	10	2	0	7	0	
	2003	11	1	0	12	0	
	2003	11	2	0	5	0	
	2003	12	1	0	16	0	
	2003	12	2	0	10	0	
	2003	13	1	1	17	0.05882353	
	2003	13	2	1	10	0.1	
	2003	14	1	0	32	0	
	2003	14	2	1	20	0.05	
	2003	15	1	4	37	0.1081081	
	2003	15	2	1	21	0.04761905	
	2003	16	1	3	32	0.09375	
	2003	16	2	2	22	0.09090909	
	2003	17	1	2	26	0.07692308	
	2003	17	2	1	18	0.05555556	
	2003	18	1	2	14	0.1428571	
	2003	18	2	0	9	0	
	2003	19	1	0	1	0	
	2003	19	2	1	4	0.25	
	2003	20	2	0	1	0	
	2004	6	2	0	1	0	
	2004	7	1	0	1	0	
	2004	7	2	0	3	0	
	2004	8	1	0	3	0	
	2004	8	2	0	3	0	
	2004	9	1	0	5	0	
	2004	9	2	0	5	0	
	2004	10	1	0	12	0	
	2004	10	2	0	9	0	
	2004	11	1	1	12	0.08333333	
	2004	11	2	0	8	0	
	2004	12	1	0	16	0	
	2004	12	2	1	12	0.08333333	
	2004	13	1	1	31	0.03225806	
	2004	13	2	0	8	0	
	2004	14	1	2	36	0.05555556	
	2004	14	2	2	20	0.1	
	2004	15	1	1	27	0.03703704	
	2004	15	2	0	16	0	
	2004	16	1	2	24	0.08333333	
	2004	16	2	2	33	0.06060606	
	2004	17	1	3	29	0.1034483	
	2004	17	2	1	23	0.04347826	
	2004	18	1	1	8	0.125	
	2004	18	2	0	5	0	
	2004	19	1	1	1	1	
	2004	19	2	0	4	0	
	2005	5	1	0	2	0	
	2005	6	1	0	1	0	
	2005	7	1	0	1	0	
	2005	7	2	0	1	0	
	2005	8	1	0	4	0	
	2005	8	2	0	3	0	
	2005	9	1	0	7	0	
	2005	9	2	0	7	0	
	2005	10	1	0	13	0	
	2005	10	2	0	7	0	
	2005	11	1	0	11	0	
	2005	11	2	0	5	0	
	2005	12	1	2	23	0.08695652	
	2005	12	2	0	12	0	
	2005	13	1	2	26	0.07692308	
	2005	13	2	0	16	0	
	2005	14	1	1	32	0.03125	
	2005	14	2	0	14	0	
	2005	15	1	7	41	0.1707317	
	2005	15	2	1	17	0.05882353	
	2005	16	1	2	28	0.07142857	
	2005	16	2	2	17	0.1176471	
	2005	17	1	3	20	0.15	
	2005	17	2	2	24	0.08333333	
	2005	18	1	2	4	0.5	
	2005	18	2	1	12	0.08333333	
	2005	19	1	1	2	0.5	
	2005	19	2	1	3	0.3333333	
	2005	20	2	0	1	0	
	2006	7	1	0	1	0	
	2006	8	1	0	2	0	
	2006	8	2	0	2	0	
	2006	9	1	0	7	0	
	2006	9	2	0	9	0	
	2006	10	1	0	10	0	
	2006	10	2	0	6	0	
	2006	11	1	0	10	0	
	2006	11	2	0	8	0	
	2006	12	1	0	23	0	
	2006	12	2	0	15	0	
	2006	13	1	0	15	0	
	2006	13	2	0	12	0	
	2006	14	1	1	37	0.02702703	
	2006	14	2	0	21	0	
	2006	15	1	0	28	0	
	2006	15	2	1	19	0.05263158	
	2006	16	1	1	38	0.02631579	
	2006	16	2	1	29	0.03448276	
	2006	17	1	2	20	0.1	
	2006	17	2	2	22	0.09090909	
	2006	18	1	4	14	0.2857143	
	2006	18	2	0	13	0	
	2006	19	1	0	1	0	
	2006	19	2	0	2	0	
	2007	6	1	0	1	0	
	2007	7	1	0	1	0	
	2007	8	1	0	3	0	
	2007	8	2	0	1	0	
	2007	9	1	0	12	0	
	2007	9	2	0	13	0	
	2007	10	1	0	7	0	
	2007	10	2	0	5	0	
	2007	11	1	2	20	0.1	
	2007	11	2	0	10	0	
	2007	12	1	0	14	0	
	2007	12	2	0	11	0	
	2007	13	1	2	24	0.08333333	
	2007	13	2	0	6	0	
	2007	14	1	3	26	0.1153846	
	2007	14	2	2	21	0.0952381	
	2007	15	1	1	26	0.03846154	
	2007	15	2	1	23	0.04347826	
	2007	16	1	1	34	0.02941176	
	2007	16	2	1	21	0.04761905	
	2007	17	1	1	21	0.04761905	
	2007	17	2	2	29	0.06896552	
	2007	18	1	0	10	0	
	2007	18	2	0	9	0	
	2007	19	2	0	5	0	
	2007	20	1	0	1	0	
	2008	5	2	0	1	0	
	2008	6	1	0	1	0	
	2008	7	1	0	2	0	
	2008	7	2	0	1	0	
	2008	8	1	0	5	0	
	2008	8	2	0	2	0	
	2008	9	1	0	8	0	
	2008	9	2	0	4	0	
	2008	10	1	0	11	0	
	2008	10	2	0	8	0	
	2008	11	1	1	12	0.08333333	
	2008	11	2	0	9	0	
	2008	12	1	1	18	0.05555556	
	2008	12	2	0	6	0	
	2008	13	1	0	20	0	
	2008	13	2	0	10	0	
	2008	14	1	2	32	0.0625	
	2008	14	2	0	17	0	
	2008	15	1	4	34	0.1176471	
	2008	15	2	1	19	0.05263158	
	2008	16	1	0	19	0	
	2008	16	2	4	29	0.137931	
	2008	17	1	2	25	0.08	
	2008	17	2	0	17	0	
	2008	18	1	3	12	0.25	
	2008	18	2	0	5	0	
	2008	19	1	0	1	0	
	2008	19	2	0	1	0	
	2009	5	2	0	1	0	
	2009	6	2	0	1	0	
	2009	7	2	0	1	0	
	2009	8	1	0	5	0	
	2009	8	2	0	2	0	
	2009	9	1	0	10	0	
	2009	9	2	0	3	0	
	2009	10	1	0	8	0	
	2009	10	2	0	11	0	
	2009	11	1	0	10	0	
	2009	11	2	0	14	0	
	2009	12	1	1	20	0.05	
	2009	12	2	0	12	0	
	2009	13	1	1	28	0.03571429	
	2009	13	2	0	14	0	
	2009	14	1	2	37	0.05405405	
	2009	14	2	0	19	0	
	2009	15	1	5	39	0.1282051	
	2009	15	2	2	24	0.08333333	
	2009	16	1	2	26	0.07692308	
	2009	16	2	0	10	0	
	2009	17	1	1	19	0.05263158	
	2009	17	2	2	17	0.1176471	
