
	E.5.3.M Magenresektionen mit komplexem Eingriff am Ösophagus, Mortalität // Gastrectomies avec OP complexe de l’œsophage, mortalité // Resezione gastrica con complesso intervento all’esofago, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	8	2	0	1	0	
	1998	9	1	0	2	0	
	1998	10	1	0	1	0	
	1998	11	1	0	2	0	
	1998	12	1	0	3	0	
	1998	13	1	0	2	0	
	1998	14	1	0	4	0	
	1998	14	2	0	1	0	
	1998	15	1	0	1	0	
	1998	15	2	0	1	0	
	1998	16	1	0	6	0	
	1998	17	1	0	1	0	
	1999	10	2	0	1	0	
	1999	11	1	0	3	0	
	1999	12	1	0	3	0	
	1999	13	1	0	3	0	
	1999	13	2	0	2	0	
	1999	14	2	0	1	0	
	1999	15	1	0	1	0	
	1999	15	2	0	1	0	
	1999	16	1	0	4	0	
	1999	17	2	0	1	0	
	2000	7	2	0	1	0	
	2000	8	1	0	1	0	
	2000	9	1	0	3	0	
	2000	9	2	0	1	0	
	2000	10	1	0	3	0	
	2000	10	2	0	1	0	
	2000	11	1	0	4	0	
	2000	11	2	0	2	0	
	2000	12	1	0	3	0	
	2000	12	2	0	2	0	
	2000	13	1	0	4	0	
	2000	13	2	0	3	0	
	2000	14	1	0	2	0	
	2000	14	2	0	2	0	
	2000	15	1	1	3	0.3333333	
	2000	15	2	0	1	0	
	2000	16	1	0	2	0	
	2000	16	2	0	1	0	
	2001	7	1	0	1	0	
	2001	7	2	0	1	0	
	2001	8	1	0	1	0	
	2001	9	1	0	2	0	
	2001	10	1	0	1	0	
	2001	11	1	0	2	0	
	2001	12	1	1	9	0.1111111	
	2001	12	2	0	2	0	
	2001	13	1	0	5	0	
	2001	13	2	1	2	0.5	
	2001	14	1	1	2	0.5	
	2001	14	2	1	5	0.2	
	2001	15	1	0	5	0	
	2001	15	2	0	2	0	
	2001	16	1	1	2	0.5	
	2001	16	2	0	1	0	
	2001	17	1	1	3	0.3333333	
	2002	7	2	0	1	0	
	2002	8	1	1	1	1	
	2002	9	2	0	1	0	
	2002	10	1	0	2	0	
	2002	10	2	0	1	0	
	2002	11	1	0	6	0	
	2002	11	2	0	3	0	
	2002	12	1	0	4	0	
	2002	12	2	0	1	0	
	2002	13	1	1	9	0.1111111	
	2002	13	2	0	2	0	
	2002	14	1	1	6	0.1666667	
	2002	14	2	0	4	0	
	2002	15	1	0	6	0	
	2002	15	2	0	2	0	
	2002	16	1	0	3	0	
	2002	16	2	0	2	0	
	2002	17	1	0	3	0	
	2002	17	2	0	2	0	
	2002	18	1	0	1	0	
	2003	7	1	0	1	0	
	2003	8	1	0	1	0	
	2003	8	2	0	2	0	
	2003	10	1	0	3	0	
	2003	10	2	0	1	0	
	2003	11	1	0	5	0	
	2003	11	2	0	3	0	
	2003	12	1	0	4	0	
	2003	13	1	0	9	0	
	2003	13	2	0	3	0	
	2003	14	1	1	3	0.3333333	
	2003	14	2	1	3	0.3333333	
	2003	15	1	1	6	0.1666667	
	2003	15	2	0	2	0	
	2003	16	1	1	6	0.1666667	
	2003	16	2	1	3	0.3333333	
	2003	17	1	0	6	0	
	2003	18	1	0	1	0	
	2004	7	1	0	1	0	
	2004	8	1	0	1	0	
	2004	10	1	0	3	0	
	2004	10	2	0	2	0	
	2004	11	1	1	3	0.3333333	
	2004	11	2	0	2	0	
	2004	12	1	0	9	0	
	2004	12	2	0	1	0	
	2004	13	1	1	7	0.1428571	
	2004	13	2	0	5	0	
	2004	14	1	0	8	0	
	2004	14	2	1	4	0.25	
	2004	15	1	2	7	0.2857143	
	2004	15	2	0	3	0	
	2004	16	1	1	9	0.1111111	
	2004	16	2	0	1	0	
	2004	17	1	1	3	0.3333333	
	2004	17	2	0	4	0	
	2004	18	1	0	1	0	
	2004	18	2	1	1	1	
	2004	19	1	0	1	0	
	2005	5	1	0	1	0	
	2005	9	1	0	1	0	
	2005	9	2	0	1	0	
	2005	10	1	1	2	0.5	
	2005	10	2	0	1	0	
	2005	11	1	1	4	0.25	
	2005	11	2	0	2	0	
	2005	12	1	0	4	0	
	2005	12	2	1	4	0.25	
	2005	13	1	2	10	0.2	
	2005	13	2	1	2	0.5	
	2005	14	1	2	11	0.1818182	
	2005	14	2	0	4	0	
	2005	15	1	0	4	0	
	2005	15	2	0	4	0	
	2005	16	1	2	6	0.3333333	
	2005	16	2	1	1	1	
	2005	17	1	1	6	0.1666667	
	2005	17	2	0	1	0	
	2006	9	1	0	2	0	
	2006	9	2	0	3	0	
	2006	10	1	2	2	1	
	2006	10	2	0	4	0	
	2006	11	1	0	2	0	
	2006	11	2	0	1	0	
	2006	12	1	0	5	0	
	2006	12	2	0	3	0	
	2006	13	1	0	11	0	
	2006	13	2	0	3	0	
	2006	14	1	0	13	0	
	2006	15	1	0	9	0	
	2006	15	2	1	2	0.5	
	2006	16	1	0	7	0	
	2006	16	2	0	4	0	
	2006	17	1	2	2	1	
	2006	17	2	0	3	0	
	2006	18	1	0	1	0	
	2007	7	1	0	1	0	
	2007	8	2	0	1	0	
	2007	9	1	0	1	0	
	2007	9	2	0	2	0	
	2007	10	1	0	3	0	
	2007	10	2	0	3	0	
	2007	11	1	0	5	0	
	2007	12	1	0	5	0	
	2007	13	1	0	11	0	
	2007	13	2	0	2	0	
	2007	14	1	1	8	0.125	
	2007	14	2	0	1	0	
	2007	15	1	0	5	0	
	2007	15	2	2	5	0.4	
	2007	16	1	0	4	0	
	2007	16	2	0	4	0	
	2007	17	1	2	6	0.3333333	
	2007	17	2	2	5	0.4	
	2007	18	1	1	1	1	
	2008	9	2	0	1	0	
	2008	10	1	1	4	0.25	
	2008	10	2	0	1	0	
	2008	11	1	0	8	0	
	2008	11	2	0	2	0	
	2008	12	1	0	8	0	
	2008	12	2	0	2	0	
	2008	13	1	1	13	0.07692308	
	2008	13	2	0	7	0	
	2008	14	1	0	12	0	
	2008	14	2	0	2	0	
	2008	15	1	2	6	0.3333333	
	2008	15	2	2	7	0.2857143	
	2008	16	1	1	8	0.125	
	2008	16	2	0	5	0	
	2008	17	1	0	2	0	
	2008	17	2	0	1	0	
	2008	18	1	0	2	0	
	2008	18	2	0	1	0	
	2009	7	1	0	1	0	
	2009	8	1	0	4	0	
	2009	9	1	0	2	0	
	2009	9	2	0	1	0	
	2009	10	1	1	6	0.1666667	
	2009	11	1	0	6	0	
	2009	11	2	0	1	0	
	2009	12	1	0	8	0	
	2009	13	1	0	10	0	
	2009	14	1	2	15	0.1333333	
	2009	14	2	0	5	0	
	2009	15	1	2	16	0.125	
	2009	15	2	0	4	0	
	2009	16	1	1	6	0.1666667	
	2009	16	2	0	3	0	
	2009	17	1	0	4	0	
	2009	17	2	0	2	0	
	2010	7	1	0	2	0	
	2010	8	1	0	2	0	
	2010	8	2	0	1	0	
	2010	9	1	0	3	0	
	2010	9	2	0	1	0	
	2010	10	1	1	4	0.25	
	2010	10	2	0	2	0	
	2010	11	1	0	6	0	
	2010	11	2	1	1	1	
	2010	12	1	1	15	0.06666667	
	2010	12	2	0	5	0	
	2010	13	1	0	22	0	
	2010	13	2	1	7	0.1428571	
	2010	14	1	0	11	0	
	2010	14	2	2	13	0.1538462	
	2010	15	1	0	11	0	
	2010	15	2	0	4	0	
	2010	16	1	0	6	0	
	2010	16	2	0	4	0	
	2010	17	1	2	6	0.3333333	
	2010	17	2	1	5	0.2	
	2010	18	1	0	1	0	
	2011	8	1	0	1	0	
	2011	8	2	0	1	0	
	2011	9	1	0	1	0	
	2011	10	1	1	7	0.1428571	
	2011	10	2	0	2	0	
	2011	11	1	0	12	0	
	2011	11	2	0	9	0	
	2011	12	1	0	14	0	
	2011	12	2	0	5	0	
	2011	13	1	0	25	0	
	2011	13	2	0	6	0	
	2011	14	1	3	32	0.09375	
	2011	14	2	0	1	0	
	2011	15	1	1	15	0.06666667	
	2011	15	2	0	4	0	
	2011	16	1	1	12	0.08333333	
	2011	16	2	1	2	0.5	
	2011	17	1	1	4	0.25	
	2011	17	2	0	1	0	
	2011	18	2	0	2	0	
	2012	5	2	0	1	0	
	2012	8	2	0	2	0	
	2012	9	1	0	3	0	
	2012	9	2	0	1	0	
	2012	10	1	0	11	0	
	2012	10	2	0	1	0	
	2012	11	1	0	7	0	
	2012	11	2	0	6	0	
	2012	12	1	0	13	0	
	2012	12	2	0	4	0	
	2012	13	1	1	22	0.04545455	
	2012	13	2	0	5	0	
	2012	14	1	1	17	0.05882353	
	2012	14	2	0	3	0	
	2012	15	1	1	16	0.0625	
	2012	15	2	1	7	0.1428571	
	2012	16	1	1	8	0.125	
	2012	16	2	1	6	0.1666667	
	2012	17	1	0	7	0	
	2012	17	2	0	1	0	
	2012	18	1	1	3	0.3333333	
	2012	18	2	0	1	0	
	2013	7	1	0	1	0	
	2013	8	1	0	1	0	
	2013	9	1	0	5	0	
	2013	9	2	0	4	0	
	2013	10	1	0	5	0	
	2013	10	2	0	2	0	
	2013	11	1	0	3	0	
	2013	11	2	0	3	0	
	2013	12	1	1	18	0.05555556	
	2013	12	2	0	7	0	
	2013	13	1	0	27	0	
	2013	13	2	2	7	0.2857143	
	2013	14	1	3	20	0.15	
	2013	14	2	1	7	0.1428571	
	2013	15	1	2	25	0.08	
	2013	15	2	1	3	0.3333333	
	2013	16	1	4	19	0.2105263	
	2013	16	2	0	3	0	
	2013	17	1	4	8	0.5	
	2013	17	2	1	6	0.1666667	
	2013	18	1	1	2	0.5	
	2013	18	2	1	3	0.3333333	
	2013	19	2	0	1	0	

