
	E.5.5.M HD Ulcus von Magen, Duodenum oder Jejunum, ohne Tumor, Mortalität // DP ulcère de l’estomac, du duodénum ou du jéjunum, sans tumeur, mortalité // DP ulcera gastrica, duodenale o digiunale, senza tumore, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	1	2	0	1	0	
	1998	2	2	0	2	0	
	1998	3	2	0	2	0	
	1998	4	1	0	4	0	
	1998	4	2	0	5	0	
	1998	5	1	0	16	0	
	1998	5	2	0	4	0	
	1998	6	1	0	19	0	
	1998	6	2	0	2	0	
	1998	7	1	0	31	0	
	1998	7	2	0	11	0	
	1998	8	1	0	34	0	
	1998	8	2	0	10	0	
	1998	9	1	1	54	0.01851852	
	1998	9	2	0	15	0	
	1998	10	1	0	55	0	
	1998	10	2	0	33	0	
	1998	11	1	1	70	0.01428571	
	1998	11	2	1	31	0.03225806	
	1998	12	1	2	76	0.02631579	
	1998	12	2	1	51	0.01960784	
	1998	13	1	3	81	0.03703704	
	1998	13	2	0	52	0	
	1998	14	1	0	74	0	
	1998	14	2	1	62	0.01612903	
	1998	15	1	1	92	0.01086957	
	1998	15	2	3	86	0.03488372	
	1998	16	1	9	119	0.07563025	
	1998	16	2	5	125	0.04	
	1998	17	1	4	79	0.05063291	
	1998	17	2	4	128	0.03125	
	1998	18	1	0	57	0	
	1998	18	2	10	117	0.08547009	
	1998	19	1	4	20	0.2	
	1998	19	2	5	53	0.09433962	
	1998	20	1	0	2	0	
	1998	20	2	0	5	0	
	1999	1	1	0	1	0	
	1999	2	1	0	2	0	
	1999	2	2	0	1	0	
	1999	3	1	0	2	0	
	1999	3	2	0	1	0	
	1999	4	1	0	6	0	
	1999	4	2	0	2	0	
	1999	5	1	0	21	0	
	1999	5	2	0	5	0	
	1999	6	1	0	30	0	
	1999	6	2	0	11	0	
	1999	7	1	0	42	0	
	1999	7	2	0	14	0	
	1999	8	1	0	60	0	
	1999	8	2	0	25	0	
	1999	9	1	0	65	0	
	1999	9	2	0	27	0	
	1999	10	1	0	71	0	
	1999	10	2	0	38	0	
	1999	11	1	0	99	0	
	1999	11	2	1	49	0.02040816	
	1999	12	1	1	81	0.01234568	
	1999	12	2	0	50	0	
	1999	13	1	4	102	0.03921569	
	1999	13	2	1	33	0.03030303	
	1999	14	1	2	83	0.02409639	
	1999	14	2	0	80	0	
	1999	15	1	7	119	0.05882353	
	1999	15	2	5	102	0.04901961	
	1999	16	1	5	130	0.03846154	
	1999	16	2	13	146	0.0890411	
	1999	17	1	11	116	0.09482759	
	1999	17	2	5	144	0.03472222	
	1999	18	1	6	66	0.09090909	
	1999	18	2	8	153	0.05228758	
	1999	19	1	4	26	0.1538462	
	1999	19	2	11	53	0.2075472	
	1999	20	1	2	5	0.4	
	1999	20	2	2	13	0.1538462	
	2000	1	1	0	2	0	
	2000	2	1	0	3	0	
	2000	2	2	0	2	0	
	2000	3	1	0	2	0	
	2000	3	2	0	3	0	
	2000	4	1	0	11	0	
	2000	4	2	0	4	0	
	2000	5	1	0	18	0	
	2000	5	2	0	7	0	
	2000	6	1	0	19	0	
	2000	6	2	0	13	0	
	2000	7	1	1	37	0.02702703	
	2000	7	2	0	21	0	
