
	E.6.1.M Komplexe Eingriffe am Ösophagus, Mortalität // Interventions complexes de l’œsophage, mortalité // Interventi complessi sull’esofago, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	1	1	0	14	0	
	1998	1	2	0	8	0	
	1998	2	1	0	4	0	
	1998	2	2	0	2	0	
	1998	3	1	0	2	0	
	1998	3	2	0	1	0	
	1998	4	2	0	1	0	
	1998	5	2	0	1	0	
	1998	8	1	0	1	0	
	1998	8	2	0	1	0	
	1998	9	1	0	5	0	
	1998	9	2	0	1	0	
	1998	10	1	0	7	0	
	1998	10	2	0	1	0	
	1998	11	1	0	17	0	
	1998	11	2	0	1	0	
	1998	12	1	1	14	0.07142857	
	1998	12	2	0	5	0	
	1998	13	1	0	19	0	
	1998	13	2	2	6	0.3333333	
	1998	14	1	1	32	0.03125	
	1998	14	2	0	3	0	
	1998	15	1	0	11	0	
	1998	15	2	0	6	0	
	1998	16	1	1	17	0.05882353	
	1998	16	2	0	7	0	
	1998	17	1	3	6	0.5	
	1998	17	2	0	1	0	
	1998	18	1	0	1	0	
	1999	1	1	0	6	0	
	1999	1	2	0	6	0	
	1999	2	1	0	5	0	
	1999	2	2	0	5	0	
	1999	4	1	0	1	0	
	1999	7	1	0	3	0	
	1999	8	1	0	1	0	
	1999	9	1	0	1	0	
	1999	9	2	0	2	0	
	1999	10	1	1	7	0.1428571	
	1999	10	2	0	3	0	
	1999	11	1	0	16	0	
	1999	11	2	0	4	0	
	1999	12	1	1	22	0.04545455	
	1999	12	2	0	2	0	
	1999	13	1	0	23	0	
	1999	13	2	0	7	0	
	1999	14	1	0	22	0	
	1999	14	2	0	11	0	
	1999	15	1	1	15	0.06666667	
	1999	15	2	0	6	0	
	1999	16	1	0	18	0	
	1999	16	2	0	1	0	
	1999	17	1	0	3	0	
	1999	17	2	0	2	0	
	1999	18	2	0	1	0	
	1999	19	2	0	1	0	
	2000	1	1	0	12	0	
	2000	1	2	0	11	0	
	2000	2	1	0	2	0	
	2000	2	2	0	1	0	
	2000	4	2	0	1	0	
	2000	5	2	0	2	0	
	2000	7	1	0	2	0	
	2000	7	2	0	1	0	
	2000	8	1	0	2	0	
	2000	9	1	0	11	0	
	2000	9	2	0	2	0	
	2000	10	1	0	10	0	
	2000	10	2	0	4	0	
	2000	11	1	0	24	0	
	2000	11	2	0	5	0	
	2000	12	1	1	24	0.04166667	
	2000	12	2	1	5	0.2	
	2000	13	1	1	23	0.04347826	
	2000	13	2	1	9	0.1111111	
	2000	14	1	3	22	0.1363636	
	2000	14	2	2	10	0.2	
	2000	15	1	4	17	0.2352941	
	2000	15	2	0	6	0	
	2000	16	1	1	12	0.08333333	
	2000	16	2	0	2	0	
	2000	17	1	2	5	0.4	
	2000	17	2	1	2	0.5	
	2000	18	2	0	1	0	
	2001	1	1	1	10	0.1	
	2001	1	2	0	6	0	
	2001	2	2	0	1	0	
	2001	3	1	0	1	0	
	2001	4	1	0	2	0	
	2001	7	1	1	2	0.5	
	2001	7	2	0	1	0	
	2001	8	1	0	3	0	
	2001	9	1	0	8	0	
	2001	9	2	0	2	0	
	2001	10	1	0	7	0	
	2001	10	2	0	1	0	
	2001	11	1	1	22	0.04545455	
	2001	11	2	0	4	0	
	2001	12	1	2	33	0.06060606	
	2001	12	2	0	9	0	
	2001	13	1	3	28	0.1071429	
	2001	13	2	1	11	0.09090909	
	2001	14	1	3	20	0.15	
	2001	14	2	1	8	0.125	
	2001	15	1	6	27	0.2222222	
	2001	15	2	0	5	0	
	2001	16	1	2	12	0.1666667	
	2001	16	2	1	7	0.1428571	
	2001	17	1	1	5	0.2	
	2001	18	2	1	1	1	
	2002	1	1	0	4	0	
	2002	1	2	0	4	0	
	2002	2	1	0	2	0	
	2002	2	2	0	2	0	
	2002	3	2	0	1	0	
	2002	7	2	0	1	0	
	2002	8	1	1	5	0.2	
	2002	8	2	0	1	0	
	2002	9	1	0	6	0	
	2002	9	2	0	1	0	
	2002	10	1	0	11	0	
	2002	10	2	0	3	0	
	2002	11	1	1	23	0.04347826	
	2002	11	2	0	12	0	
	2002	12	1	0	19	0	
	2002	12	2	1	6	0.1666667	
	2002	13	1	1	31	0.03225806	
	2002	13	2	1	5	0.2	
	2002	14	1	4	32	0.125	
	2002	14	2	1	8	0.125	
	2002	15	1	4	21	0.1904762	
	2002	15	2	1	16	0.0625	
	2002	16	1	3	10	0.3	
	2002	16	2	0	5	0	
	2002	17	1	1	6	0.1666667	
	2002	17	2	0	3	0	
	2002	18	1	0	3	0	
	2002	20	1	0	1	0	
	2003	1	1	1	12	0.08333333	
	2003	1	2	0	12	0	
	2003	2	1	0	1	0	
	2003	5	2	0	1	0	
	2003	7	1	0	2	0	
	2003	8	1	0	2	0	
	2003	8	2	0	3	0	
	2003	9	1	0	3	0	
	2003	9	2	0	3	0	
	2003	10	1	1	12	0.08333333	
	2003	10	2	0	4	0	
	2003	11	1	2	21	0.0952381	
	2003	11	2	0	7	0	
	2003	12	1	2	36	0.05555556	
	2003	12	2	0	5	0	
	2003	13	1	2	28	0.07142857	
	2003	13	2	1	7	0.1428571	
	2003	14	1	7	29	0.2413793	
	2003	14	2	2	7	0.2857143	
	2003	15	1	3	28	0.1071429	
	2003	15	2	0	8	0	
	2003	16	1	1	12	0.08333333	
	2003	16	2	2	13	0.1538462	
	2003	17	1	2	13	0.1538462	
	2003	17	2	1	4	0.25	
	2003	18	1	0	2	0	
	2004	1	1	0	10	0	
	2004	1	2	0	5	0	
	2004	2	2	0	2	0	
	2004	7	1	0	1	0	
	2004	7	2	0	1	0	
	2004	8	1	0	5	0	
	2004	9	1	0	2	0	
	2004	9	2	0	1	0	
	2004	10	1	0	11	0	
	2004	10	2	0	2	0	
	2004	11	1	3	24	0.125	
	2004	11	2	0	6	0	
	2004	12	1	1	28	0.03571429	
	2004	12	2	0	7	0	
	2004	13	1	1	26	0.03846154	
	2004	13	2	0	7	0	
	2004	14	1	0	24	0	
	2004	14	2	2	13	0.1538462	
	2004	15	1	4	19	0.2105263	
	2004	15	2	0	11	0	
	2004	16	1	1	19	0.05263158	
	2004	16	2	0	4	0	
	2004	17	1	1	4	0.25	
	2004	17	2	2	8	0.25	
	2004	18	1	1	4	0.25	
	2004	18	2	1	1	1	
	2004	19	1	0	1	0	
	2005	1	1	0	9	0	
	2005	1	2	0	6	0	
	2005	2	1	0	1	0	
	2005	2	2	0	1	0	
	2005	4	1	0	1	0	
	2005	5	1	0	2	0	
	2005	9	1	0	3	0	
	2005	9	2	0	1	0	
	2005	10	1	2	8	0.25	
	2005	10	2	0	4	0	
	2005	11	1	2	14	0.1428571	
	2005	11	2	1	11	0.09090909	
	2005	12	1	0	28	0	
	2005	12	2	1	8	0.125	
	2005	13	1	4	37	0.1081081	
	2005	13	2	3	9	0.3333333	
	2005	14	1	5	39	0.1282051	
	2005	14	2	1	7	0.1428571	
	2005	15	1	2	24	0.08333333	
	2005	15	2	1	8	0.125	
	2005	16	1	2	10	0.2	
	2005	16	2	1	4	0.25	
	2005	17	1	1	8	0.125	
	2005	17	2	0	2	0	
	2005	18	2	0	1	0	
	2006	1	1	0	11	0	
	2006	1	2	1	14	0.07142857	
	2006	2	1	0	2	0	
	2006	3	1	0	1	0	
	2006	3	2	0	1	0	
	2006	4	1	0	1	0	
	2006	7	1	0	2	0	
	2006	7	2	0	1	0	
	2006	8	1	0	2	0	
	2006	9	1	1	5	0.2	
	2006	9	2	0	6	0	
	2006	10	1	3	12	0.25	
	2006	10	2	0	6	0	
	2006	11	1	1	11	0.09090909	
	2006	11	2	0	6	0	
	2006	12	1	0	19	0	
	2006	12	2	1	7	0.1428571	
	2006	13	1	3	33	0.09090909	
	2006	13	2	0	8	0	
	2006	14	1	1	37	0.02702703	
	2006	14	2	0	4	0	
	2006	15	1	1	27	0.03703704	
	2006	15	2	1	8	0.125	
	2006	16	1	1	18	0.05555556	
	2006	16	2	1	6	0.1666667	
	2006	17	1	3	14	0.2142857	
	2006	17	2	0	4	0	
	2006	18	1	0	2	0	
	2006	18	2	1	1	1	
	2007	1	1	0	11	0	
	2007	1	2	0	7	0	
	2007	2	1	0	1	0	
	2007	2	2	0	1	0	
	2007	3	1	0	1	0	
	2007	4	1	0	1	0	
	2007	7	1	0	2	0	
	2007	7	2	0	1	0	
	2007	8	1	0	2	0	
	2007	8	2	0	3	0	
	2007	9	1	0	5	0	
	2007	9	2	0	3	0	
	2007	10	1	0	11	0	
	2007	10	2	0	4	0	
	2007	11	1	0	13	0	
	2007	11	2	0	3	0	
	2007	12	1	3	16	0.1875	
	2007	12	2	1	5	0.2	
	2007	13	1	2	37	0.05405405	
	2007	13	2	1	11	0.09090909	
	2007	14	1	2	24	0.08333333	
	2007	14	2	0	2	0	
	2007	15	1	2	17	0.1176471	
	2007	15	2	2	10	0.2	
	2007	16	1	0	12	0	
	2007	16	2	0	6	0	
	2007	17	1	4	10	0.4	
	2007	17	2	2	5	0.4	
	2007	18	1	1	1	1	
	2007	18	2	0	1	0	
	2008	1	1	0	12	0	
	2008	1	2	0	8	0	
	2008	2	1	0	1	0	
	2008	2	2	0	2	0	
	2008	6	1	0	1	0	
	2008	7	1	0	1	0	
	2008	7	2	0	1	0	
	2008	8	1	0	1	0	
	2008	9	1	0	2	0	
	2008	9	2	0	2	0	
	2008	10	1	2	10	0.2	
	2008	10	2	0	7	0	
	2008	11	1	0	11	0	
	2008	11	2	0	7	0	
	2008	12	1	1	25	0.04	
	2008	12	2	0	7	0	
	2008	13	1	1	40	0.025	
	2008	13	2	0	10	0	
	2008	14	1	1	28	0.03571429	
	2008	14	2	0	6	0	
	2008	15	1	2	22	0.09090909	
	2008	15	2	2	16	0.125	
	2008	16	1	1	20	0.05	
	2008	16	2	0	10	0	
	2008	17	1	0	7	0	
	2008	17	2	1	2	0.5	
	2008	18	1	0	2	0	
	2008	18	2	0	2	0	
	2009	1	1	1	15	0.06666667	
	2009	1	2	1	14	0.07142857	
	2009	2	1	0	2	0	
	2009	2	2	0	2	0	
	2009	5	2	0	1	0	
	2009	7	1	0	1	0	
	2009	8	1	0	5	0	
	2009	8	2	0	1	0	
	2009	9	1	0	8	0	
	2009	9	2	0	1	0	
	2009	10	1	1	11	0.09090909	
	2009	10	2	0	1	0	
	2009	11	1	2	18	0.1111111	
	2009	11	2	0	2	0	
	2009	12	1	0	18	0	
	2009	12	2	1	4	0.25	
	2009	13	1	1	30	0.03333333	
	2009	13	2	0	2	0	
	2009	14	1	3	37	0.08108108	
	2009	14	2	0	10	0	
	2009	15	1	5	33	0.1515152	
	2009	15	2	0	7	0	
	2009	16	1	3	22	0.1363636	
	2009	16	2	0	5	0	
	2009	17	1	1	6	0.1666667	
	2009	17	2	0	3	0	
	2009	19	1	0	1	0	
	2009	19	2	1	1	1	
	2010	1	1	0	20	0	
	2010	1	2	0	3	0	
	2010	2	2	0	1	0	
	2010	5	1	0	1	0	
	2010	7	1	0	3	0	
	2010	8	1	1	3	0.3333333	
	2010	8	2	0	1	0	
	2010	9	1	0	7	0	
	2010	9	2	0	1	0	
	2010	10	1	1	11	0.09090909	
	2010	10	2	0	5	0	
	2010	11	1	0	17	0	
	2010	11	2	2	3	0.6666667	
	2010	12	1	1	27	0.03703704	
	2010	12	2	0	7	0	
	2010	13	1	2	41	0.04878049	
	2010	13	2	1	12	0.08333333	
	2010	14	1	1	33	0.03030303	
	2010	14	2	2	18	0.1111111	
	2010	15	1	1	23	0.04347826	
	2010	15	2	0	11	0	
	2010	16	1	1	12	0.08333333	
	2010	16	2	1	7	0.1428571	
	2010	17	1	3	9	0.3333333	
	2010	17	2	1	5	0.2	
	2010	18	1	0	1	0	
	2011	1	1	1	14	0.07142857	
	2011	1	2	0	7	0	
	2011	3	2	0	1	0	
	2011	4	2	0	1	0	
	2011	6	2	0	3	0	
	2011	8	1	0	1	0	
	2011	8	2	0	1	0	
	2011	9	1	0	5	0	
	2011	9	2	0	2	0	
	2011	10	1	1	11	0.09090909	
	2011	10	2	0	2	0	
	2011	11	1	0	23	0	
	2011	11	2	1	12	0.08333333	
	2011	12	1	0	24	0	
	2011	12	2	0	9	0	
	2011	13	1	1	34	0.02941176	
	2011	13	2	0	9	0	
	2011	14	1	4	59	0.06779661	
	2011	14	2	1	7	0.1428571	
	2011	15	1	2	29	0.06896552	
	2011	15	2	0	6	0	
	2011	16	1	2	22	0.09090909	
	2011	16	2	1	3	0.3333333	
	2011	17	1	1	6	0.1666667	
	2011	17	2	0	4	0	
	2011	18	1	0	3	0	
	2011	18	2	0	2	0	
	2012	1	1	0	6	0	
	2012	1	2	0	9	0	
	2012	2	2	0	4	0	
	2012	3	2	0	1	0	
	2012	4	1	0	1	0	
	2012	5	2	0	1	0	
	2012	8	1	0	1	0	
	2012	8	2	0	2	0	
	2012	9	1	0	6	0	
	2012	9	2	0	3	0	
	2012	10	1	0	15	0	
	2012	10	2	0	3	0	
	2012	11	1	0	16	0	
	2012	11	2	0	6	0	
	2012	12	1	1	24	0.04166667	
	2012	12	2	1	9	0.1111111	
	2012	13	1	2	44	0.04545455	
	2012	13	2	1	11	0.09090909	
	2012	14	1	1	38	0.02631579	
	2012	14	2	0	12	0	
	2012	15	1	1	32	0.03125	
	2012	15	2	1	14	0.07142857	
	2012	16	1	2	14	0.1428571	
	2012	16	2	1	9	0.1111111	
	2012	17	1	0	9	0	
	2012	17	2	0	1	0	
	2012	18	1	1	3	0.3333333	
	2012	18	2	2	4	0.5	
	2013	1	1	0	6	0	
	2013	1	2	0	12	0	
	2013	2	1	0	1	0	
	2013	4	2	0	1	0	
	2013	6	1	0	1	0	
	2013	7	1	0	1	0	
	2013	8	1	0	1	0	
	2013	9	1	0	6	0	
	2013	9	2	0	7	0	
	2013	10	1	0	9	0	
	2013	10	2	0	2	0	
	2013	11	1	0	9	0	
	2013	11	2	0	8	0	
	2013	12	1	1	32	0.03125	
