
	E.7.1.M Pankreasresektionen insgesamt (ohne Transplantation, Alter >19), Mortalität // Total des résections du pancréas (sans transplantation, âge >19), mortalité // Numero totale di resezioni del pancreas (senza trapianto, età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	6	2	0	2	0	
	1998	7	1	0	3	0	
	1998	7	2	0	3	0	
	1998	8	1	0	5	0	
	1998	8	2	0	6	0	
	1998	9	1	0	10	0	
	1998	9	2	0	4	0	
	1998	10	1	0	14	0	
	1998	10	2	0	5	0	
	1998	11	1	1	16	0.0625	
	1998	11	2	0	10	0	
	1998	12	1	0	14	0	
	1998	12	2	0	16	0	
	1998	13	1	1	30	0.03333333	
	1998	13	2	1	10	0.1	
	1998	14	1	1	17	0.05882353	
	1998	14	2	3	24	0.125	
	1998	15	1	0	14	0	
	1998	15	2	1	13	0.07692308	
	1998	16	1	1	13	0.07692308	
	1998	16	2	3	16	0.1875	
	1998	17	1	0	6	0	
	1998	17	2	2	4	0.5	
	1999	5	1	0	2	0	
	1999	5	2	0	2	0	
	1999	6	1	1	5	0.2	
	1999	6	2	0	2	0	
	1999	7	1	0	6	0	
	1999	7	2	0	7	0	
	1999	8	1	0	11	0	
	1999	8	2	0	8	0	
	1999	9	1	1	18	0.05555556	
	1999	9	2	0	10	0	
	1999	10	1	0	19	0	
	1999	10	2	0	4	0	
	1999	11	1	1	20	0.05	
	1999	11	2	1	11	0.09090909	
	1999	12	1	0	26	0	
	1999	12	2	0	10	0	
	1999	13	1	4	28	0.1428571	
	1999	13	2	0	23	0	
	1999	14	1	1	32	0.03125	
	1999	14	2	1	18	0.05555556	
	1999	15	1	1	37	0.02702703	
	1999	15	2	2	30	0.06666667	
	1999	16	1	1	15	0.06666667	
	1999	16	2	4	34	0.1176471	
	1999	17	1	1	7	0.1428571	
	1999	17	2	0	8	0	
	1999	18	1	0	6	0	
	1999	18	2	0	4	0	
	1999	19	2	0	1	0	
	2000	5	1	0	1	0	
	2000	5	2	0	2	0	
	2000	6	1	0	1	0	
	2000	6	2	0	2	0	
	2000	7	1	1	2	0.5	
	2000	7	2	0	4	0	
	2000	8	1	2	15	0.1333333	
	2000	8	2	1	6	0.1666667	
	2000	9	1	0	24	0	
	2000	9	2	0	4	0	
	2000	10	1	0	22	0	
	2000	10	2	0	15	0	
	2000	11	1	0	26	0	
	2000	11	2	0	17	0	
	2000	12	1	2	25	0.08	
	2000	12	2	1	21	0.04761905	
	2000	13	1	1	31	0.03225806	
	2000	13	2	2	30	0.06666667	
	2000	14	1	3	34	0.08823529	
	2000	14	2	0	17	0	
	2000	15	1	3	27	0.1111111	
	2000	15	2	1	26	0.03846154	
	2000	16	1	1	25	0.04	
	2000	16	2	0	16	0	
	2000	17	1	1	3	0.3333333	
	2000	17	2	0	6	0	
	2000	18	2	1	3	0.3333333	
	2000	19	2	0	3	0	
	2001	5	1	1	4	0.25	
	2001	5	2	0	2	0	
	2001	6	1	1	4	0.25	
	2001	6	2	0	2	0	
	2001	7	1	0	1	0	
	2001	7	2	0	4	0	
	2001	8	1	0	15	0	
	2001	8	2	0	9	0	
	2001	9	1	0	11	0	
	2001	9	2	0	7	0	
	2001	10	1	0	24	0	
	2001	10	2	0	11	0	
	2001	11	1	0	25	0	
	2001	11	2	0	17	0	
	2001	12	1	1	33	0.03030303	
	2001	12	2	1	29	0.03448276	
	2001	13	1	0	21	0	
	2001	13	2	1	17	0.05882353	
	2001	14	1	1	25	0.04	
	2001	14	2	3	34	0.08823529	
	2001	15	1	2	28	0.07142857	
	2001	15	2	1	31	0.03225806	
	2001	16	1	5	23	0.2173913	
	2001	16	2	1	31	0.03225806	
	2001	17	1	0	5	0	
	2001	17	2	1	10	0.1	
	2001	18	2	2	3	0.6666667	
	2001	19	1	0	1	0	
	2002	5	1	0	2	0	
	2002	5	2	0	1	0	
	2002	6	1	0	2	0	
	2002	6	2	0	3	0	
	2002	7	1	0	6	0	
	2002	7	2	0	3	0	
	2002	8	1	0	8	0	
	2002	8	2	0	8	0	
	2002	9	1	0	14	0	
	2002	9	2	0	12	0	
	2002	10	1	0	21	0	
	2002	10	2	0	15	0	
	2002	11	1	0	19	0	
	2002	11	2	0	23	0	
	2002	12	1	4	36	0.1111111	
	2002	12	2	1	28	0.03571429	
	2002	13	1	1	34	0.02941176	
	2002	13	2	0	25	0	
	2002	14	1	3	39	0.07692308	
	2002	14	2	1	28	0.03571429	
	2002	15	1	2	32	0.0625	
	2002	15	2	2	27	0.07407407	
	2002	16	1	2	24	0.08333333	
	2002	16	2	0	21	0	
	2002	17	1	3	12	0.25	
	2002	17	2	1	9	0.1111111	
	2002	18	2	3	3	1	
	2003	5	1	0	1	0	
	2003	5	2	0	2	0	
	2003	6	2	0	2	0	
	2003	7	1	0	6	0	
	2003	7	2	0	8	0	
	2003	8	1	0	8	0	
	2003	8	2	1	5	0.2	
	2003	9	1	0	9	0	
	2003	9	2	1	7	0.1428571	
	2003	10	1	0	23	0	
	2003	10	2	0	13	0	
	2003	11	1	0	34	0	
	2003	11	2	1	31	0.03225806	
	2003	12	1	4	50	0.08	
	2003	12	2	1	27	0.03703704	
	2003	13	1	3	38	0.07894737	
	2003	13	2	4	31	0.1290323	
	2003	14	1	8	42	0.1904762	
	2003	14	2	1	48	0.02083333	
	2003	15	1	4	43	0.09302326	
	2003	15	2	1	29	0.03448276	
	2003	16	1	5	22	0.2272727	
	2003	16	2	3	33	0.09090909	
	2003	17	1	3	12	0.25	
	2003	17	2	2	12	0.1666667	
	2003	18	1	0	4	0	
	2003	18	2	0	2	0	
	2004	5	1	0	1	0	
	2004	5	2	0	3	0	
	2004	6	1	0	2	0	
	2004	6	2	0	3	0	
	2004	7	1	0	3	0	
	2004	7	2	0	7	0	
	2004	8	1	0	9	0	
	2004	8	2	0	2	0	
	2004	9	1	0	17	0	
	2004	9	2	0	6	0	
	2004	10	1	1	31	0.03225806	
	2004	10	2	0	16	0	
	2004	11	1	1	30	0.03333333	
	2004	11	2	0	23	0	
	2004	12	1	2	39	0.05128205	
	2004	12	2	1	26	0.03846154	
	2004	13	1	5	41	0.1219512	
	2004	13	2	0	32	0	
	2004	14	1	1	31	0.03225806	
	2004	14	2	2	38	0.05263158	
	2004	15	1	7	35	0.2	
	2004	15	2	4	45	0.08888889	
	2004	16	1	4	29	0.137931	
	2004	16	2	1	28	0.03571429	
	2004	17	1	2	17	0.1176471	
	2004	17	2	1	20	0.05	
	2004	18	1	0	1	0	
	2004	18	2	0	2	0	
	2005	5	1	0	2	0	
	2005	5	2	0	1	0	
	2005	6	1	0	1	0	
	2005	6	2	0	1	0	
	2005	7	1	0	4	0	
	2005	7	2	0	4	0	
	2005	8	1	1	8	0.125	
	2005	8	2	1	9	0.1111111	
	2005	9	1	0	19	0	
	2005	9	2	0	7	0	
	2005	10	1	0	18	0	
	2005	10	2	1	16	0.0625	
	2005	11	1	1	34	0.02941176	
	2005	11	2	1	14	0.07142857	
	2005	12	1	2	35	0.05714286	
	2005	12	2	1	29	0.03448276	
	2005	13	1	3	41	0.07317073	
	2005	13	2	2	44	0.04545455	
	2005	14	1	2	41	0.04878049	
	2005	14	2	0	39	0	
	2005	15	1	4	49	0.08163265	
	2005	15	2	1	43	0.02325581	
	2005	16	1	2	33	0.06060606	
	2005	16	2	6	48	0.125	
	2005	17	1	1	21	0.04761905	
	2005	17	2	0	16	0	
	2005	18	1	0	5	0	
	2005	18	2	0	2	0	
	2005	19	1	0	3	0	
	2006	5	1	0	1	0	
	2006	5	2	0	2	0	
	2006	6	1	0	4	0	
	2006	6	2	0	1	0	
	2006	7	1	0	3	0	
	2006	7	2	0	8	0	
	2006	8	1	0	6	0	
	2006	8	2	0	5	0	
	2006	9	1	1	17	0.05882353	
	2006	9	2	0	7	0	
	2006	10	1	0	25	0	
	2006	10	2	0	19	0	
	2006	11	1	0	30	0	
	2006	11	2	0	18	0	
	2006	12	1	1	36	0.02777778	
	2006	12	2	5	28	0.1785714	
	2006	13	1	2	70	0.02857143	
	2006	13	2	0	49	0	
	2006	14	1	5	53	0.09433962	
	2006	14	2	1	48	0.02083333	
	2006	15	1	1	41	0.02439024	
	2006	15	2	9	54	0.1666667	
	2006	16	1	3	35	0.08571429	
	2006	16	2	6	35	0.1714286	
	2006	17	1	1	11	0.09090909	
	2006	17	2	3	18	0.1666667	
	2006	18	1	1	3	0.3333333	
	2006	18	2	0	6	0	
	2007	5	1	0	1	0	
	2007	5	2	0	4	0	
	2007	6	1	0	3	0	
	2007	6	2	0	5	0	
	2007	7	1	0	2	0	
	2007	7	2	0	5	0	
	2007	8	1	1	10	0.1	
	2007	8	2	0	7	0	
	2007	9	1	1	14	0.07142857	
	2007	9	2	0	11	0	
	2007	10	1	0	32	0	
	2007	10	2	2	26	0.07692308	
	2007	11	1	1	31	0.03225806	
	2007	11	2	3	19	0.1578947	
	2007	12	1	3	30	0.1	
	2007	12	2	0	36	0	
	2007	13	1	7	58	0.1206897	
	2007	13	2	2	35	0.05714286	
	2007	14	1	1	36	0.02777778	
	2007	14	2	1	39	0.02564103	
	2007	15	1	4	48	0.08333333	
	2007	15	2	7	49	0.1428571	
	2007	16	1	4	32	0.125	
	2007	16	2	1	41	0.02439024	
	2007	17	1	3	22	0.1363636	
	2007	17	2	2	16	0.125	
	2007	18	1	1	2	0.5	
	2007	18	2	1	7	0.1428571	
	2008	5	1	1	5	0.2	
	2008	5	2	0	2	0	
	2008	6	1	0	4	0	
	2008	6	2	0	2	0	
