
	F.1.1.M Extrakranielle Gefäss­OP, Mortalität // OP des vaisseaux extra­crâniens, mortalité // Interventi sui vasi extracranici, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	8	1	0	1	0	
	1998	9	1	0	1	0	
	1998	10	1	0	3	0	
	1998	10	2	0	2	0	
	1998	11	1	0	12	0	
	1998	11	2	0	3	0	
	1998	12	1	0	22	0	
	1998	12	2	0	18	0	
	1998	13	1	1	39	0.02564103	
	1998	13	2	0	12	0	
	1998	14	1	0	48	0	
	1998	14	2	0	22	0	
	1998	15	1	0	56	0	
	1998	15	2	0	23	0	
	1998	16	1	0	41	0	
	1998	16	2	0	23	0	
	1998	17	1	0	16	0	
	1998	17	2	0	11	0	
	1998	18	1	0	1	0	
	1998	18	2	0	2	0	
	1998	19	1	0	1	0	
	1999	7	2	0	1	0	
	1999	8	2	0	1	0	
	1999	9	1	0	1	0	
	1999	10	1	0	3	0	
	1999	10	2	0	1	0	
	1999	11	1	0	17	0	
	1999	11	2	0	5	0	
	1999	12	1	1	36	0.02777778	
	1999	12	2	0	11	0	
	1999	13	1	1	50	0.02	
	1999	13	2	0	19	0	
	1999	14	1	0	94	0	
	1999	14	2	0	30	0	
	1999	15	1	1	98	0.01020408	
	1999	15	2	0	35	0	
	1999	16	1	0	74	0	
	1999	16	2	0	37	0	
	1999	17	1	0	28	0	
	1999	17	2	1	17	0.05882353	
	1999	18	1	0	5	0	
	1999	18	2	0	3	0	
	1999	19	2	0	2	0	
	2000	7	1	0	1	0	
	2000	8	2	0	1	0	
	2000	9	1	0	2	0	
	2000	9	2	0	1	0	
	2000	10	1	0	7	0	
	2000	10	2	0	4	0	
	2000	11	1	0	14	0	
	2000	11	2	0	7	0	
	2000	12	1	0	29	0	
	2000	12	2	0	13	0	
	2000	13	1	0	60	0	
	2000	13	2	0	15	0	
	2000	14	1	0	85	0	
	2000	14	2	0	38	0	
	2000	15	1	1	117	0.008547009	
	2000	15	2	0	61	0	
