
	F.1.2.M Perkutane Stentimplantation in extrakranielle Gefässe, Mortalität // Implantation percutanée de stents dans des vaisseaux extra­crâniens, mortalité // Impianto percutaneo di stent in vasi extracranici, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2005	17	2	0	2	0	
	2006	7	2	0	1	0	
	2006	8	1	0	1	0	
	2006	9	1	1	1	1	
	2006	10	1	0	2	0	
	2006	11	1	0	5	0	
	2006	11	2	0	1	0	
	2006	12	1	1	11	0.09090909	
	2006	12	2	0	2	0	
	2006	13	1	1	19	0.05263158	
	2006	13	2	0	6	0	
	2006	14	1	1	22	0.04545455	
	2006	14	2	0	7	0	
	2006	15	1	0	23	0	
	2006	15	2	0	11	0	
	2006	16	1	0	25	0	
	2006	16	2	2	17	0.1176471	
	2006	17	1	0	5	0	
	2006	17	2	0	7	0	
	2006	18	1	0	5	0	
	2006	18	2	0	2	0	
	2006	20	2	0	1	0	
	2007	6	1	0	1	0	
	2007	6	2	0	1	0	
	2007	8	1	1	2	0.5	
	2007	8	2	0	1	0	
	2007	9	2	0	1	0	
	2007	10	1	0	4	0	
	2007	11	1	0	4	0	
	2007	11	2	0	2	0	
	2007	12	1	0	10	0	
	2007	12	2	0	5	0	
	2007	13	1	0	13	0	
	2007	13	2	0	5	0	
	2007	14	1	0	30	0	
	2007	14	2	0	10	0	
	2007	15	1	1	19	0.05263158	
	2007	15	2	0	4	0	
	2007	16	1	1	20	0.05	
	2007	16	2	0	7	0	
	2007	17	1	0	16	0	
	2007	17	2	0	6	0	
	2007	18	1	0	4	0	
	2007	18	2	0	2	0	
	2007	19	1	0	2	0	
	2008	4	1	0	1	0	
	2008	5	1	1	1	1	
	2008	7	1	0	1	0	
	2008	7	2	0	3	0	
	2008	8	1	0	2	0	
	2008	8	2	0	2	0	
	2008	9	2	0	2	0	
	2008	10	1	0	3	0	
	2008	10	2	0	3	0	
	2008	11	1	0	11	0	
	2008	11	2	0	7	0	
	2008	12	1	0	14	0	
	2008	12	2	0	6	0	
	2008	13	1	1	21	0.04761905	
	2008	13	2	0	5	0	
	2008	14	1	0	39	0	
	2008	14	2	0	13	0	
	2008	15	1	3	24	0.125	
	2008	15	2	0	8	0	
	2008	16	1	0	35	0	
	2008	16	2	2	15	0.1333333	
	2008	17	1	0	23	0	
	2008	17	2	0	7	0	
	2008	18	1	0	5	0	
