
	F.2.2.M Offene abdominale OP bei Aortenaneurysma nicht rupturiert, Mortalität // OP abdominale à ciel ouvert en cas d’anévrisme de l’aorte sans rupture, mortalité // OP addominale a cielo aperto in caso di aneurisma aortico senza lacerazione, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	9	1	0	1	0	
	1998	11	1	0	5	0	
	1998	12	1	0	7	0	
	1998	13	1	0	17	0	
	1998	14	1	0	18	0	
	1998	14	2	0	4	0	
	1998	15	1	1	28	0.03571429	
	1998	15	2	0	2	0	
	1998	16	1	1	20	0.05	
	1998	16	2	0	6	0	
	1998	17	1	1	5	0.2	
	1998	17	2	0	1	0	
	1998	18	1	0	1	0	
	1999	7	2	0	1	0	
	1999	10	1	0	1	0	
	1999	10	2	0	1	0	
	1999	11	1	0	6	0	
	1999	11	2	0	1	0	
	1999	12	1	0	13	0	
	1999	13	1	1	24	0.04166667	
	1999	13	2	0	2	0	
	1999	14	1	0	31	0	
	1999	14	2	0	6	0	
	1999	15	1	2	41	0.04878049	
	1999	15	2	0	4	0	
	1999	16	1	0	42	0	
	1999	16	2	0	8	0	
	1999	17	1	0	12	0	
	1999	18	1	0	3	0	
	1999	18	2	0	1	0	
	1999	19	1	0	1	0	
	2000	1	1	0	1	0	
	2000	8	2	0	1	0	
	2000	9	1	0	1	0	
	2000	10	1	0	3	0	
	2000	10	2	0	1	0	
	2000	11	1	0	11	0	
	2000	11	2	0	1	0	
	2000	12	1	2	24	0.08333333	
	2000	12	2	0	1	0	
	2000	13	1	0	33	0	
	2000	13	2	0	4	0	
	2000	14	1	0	44	0	
	2000	14	2	1	6	0.1666667	
	2000	15	1	3	44	0.06818182	
	2000	15	2	0	11	0	
	2000	16	1	4	49	0.08163265	
	2000	16	2	1	4	0.25	
	2000	17	1	1	12	0.08333333	
	2000	17	2	0	2	0	
	2000	18	1	0	3	0	
	2001	6	1	0	1	0	
	2001	7	2	0	1	0	
	2001	8	1	0	1	0	
	2001	9	1	0	2	0	
	2001	10	1	0	3	0	
	2001	11	1	0	8	0	
	2001	12	1	0	32	0	
	2001	12	2	0	2	0	
	2001	13	1	0	44	0	
	2001	13	2	0	4	0	
	2001	14	1	1	56	0.01785714	
	2001	14	2	1	6	0.1666667	
	2001	15	1	4	51	0.07843137	
	2001	15	2	1	9	0.1111111	
	2001	16	1	3	50	0.06	
	2001	16	2	0	8	0	
	2001	17	1	2	15	0.1333333	
	2001	17	2	1	4	0.25	
	2001	18	1	0	5	0	
	2001	18	2	0	1	0	
	2002	4	1	0	1	0	
	2002	6	1	0	1	0	
	2002	10	1	0	3	0	
	2002	11	1	0	2	0	
	2002	11	2	0	2	0	
	2002	12	1	0	14	0	
	2002	12	2	0	2	0	
	2002	13	1	2	34	0.05882353	
	2002	13	2	0	1	0	
	2002	14	1	5	60	0.08333333	
	2002	14	2	0	5	0	
	2002	15	1	4	60	0.06666667	
	2002	15	2	0	5	0	
	2002	16	1	4	51	0.07843137	
	2002	16	2	0	4	0	
	2002	17	1	0	23	0	
	2002	17	2	1	5	0.2	
	2002	18	1	2	2	1	
	2003	4	2	0	1	0	
	2003	8	1	0	1	0	
	2003	9	1	0	1	0	
	2003	10	1	0	4	0	
	2003	11	1	0	10	0	
	2003	12	1	1	31	0.03225806	
	2003	12	2	0	2	0	
	2003	13	1	1	48	0.02083333	
	2003	13	2	0	5	0	
	2003	14	1	5	69	0.07246377	
	2003	14	2	0	4	0	
	2003	15	1	1	60	0.01666667	
	2003	15	2	1	7	0.1428571	
	2003	16	1	2	53	0.03773585	
	2003	16	2	0	14	0	
	2003	17	1	2	22	0.09090909	
	2003	17	2	0	7	0	
	2003	18	1	1	3	0.3333333	
	2003	18	2	0	1	0	
	2003	19	1	1	1	1	
	2004	5	1	0	1	0	
	2004	6	1	0	1	0	
	2004	8	2	0	1	0	
	2004	10	1	0	5	0	
	2004	11	1	0	6	0	
	2004	11	2	0	2	0	
	2004	12	1	2	26	0.07692308	
	2004	13	1	1	55	0.01818182	
	2004	13	2	0	2	0	
	2004	14	1	3	71	0.04225352	
	2004	14	2	0	7	0	
	2004	15	1	4	78	0.05128205	
	2004	15	2	1	14	0.07142857	
	2004	16	1	5	61	0.08196721	
	2004	16	2	3	13	0.2307692	
	2004	17	1	4	29	0.137931	
	2004	17	2	0	7	0	
	2004	18	1	0	5	0	
	2004	18	2	0	1	0	
	2005	7	1	0	1	0	
	2005	9	1	0	3	0	
	2005	10	1	0	3	0	
	2005	10	2	0	1	0	
	2005	11	1	1	10	0.1	
	2005	12	1	1	35	0.02857143	
	2005	12	2	0	4	0	
	2005	13	1	1	69	0.01449275	
	2005	13	2	1	4	0.25	
	2005	14	1	3	82	0.03658537	
	2005	14	2	0	10	0	
	2005	15	1	2	92	0.02173913	
	2005	15	2	1	13	0.07692308	
	2005	16	1	4	85	0.04705882	
	2005	16	2	0	16	0	
	2005	17	1	1	30	0.03333333	
	2005	17	2	0	4	0	
	2005	18	1	0	7	0	
	2006	7	1	0	1	0	
	2006	8	1	0	2	0	
	2006	9	1	0	2	0	
	2006	10	1	0	2	0	
	2006	11	1	1	14	0.07142857	
	2006	11	2	0	1	0	
	2006	12	1	0	28	0	
	2006	12	2	0	3	0	
	2006	13	1	0	58	0	
	2006	13	2	0	7	0	
	2006	14	1	1	77	0.01298701	
	2006	14	2	0	7	0	
	2006	15	1	3	91	0.03296703	
	2006	15	2	0	15	0	
