
	F.2.3.M Endovaskuläre abdominale OP bei Aortenaneurysma nicht rupturiert, Mortalität // OP abdominale endovasculaire en cas d’anévrisme de l’aorte sans rupture, mortalité // OP addominale endovascolare in caso di aneurisma aortico senza lacerazione, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2001	13	1	0	1	0	
	2001	16	1	0	1	0	
	2002	7	2	0	1	0	
	2002	8	1	0	1	0	
	2002	9	1	0	1	0	
	2002	11	1	0	1	0	
	2002	12	1	0	3	0	
	2002	14	1	0	8	0	
	2002	14	2	0	1	0	
	2002	15	1	0	14	0	
	2002	15	2	0	1	0	
	2002	16	1	0	11	0	
	2002	17	1	0	8	0	
	2002	18	1	0	1	0	
	2003	10	1	0	1	0	
	2003	12	1	1	7	0.1428571	
	2003	13	1	0	14	0	
	2003	13	2	0	1	0	
	2003	14	1	0	19	0	
	2003	14	2	0	1	0	
	2003	15	1	0	24	0	
	2003	15	2	0	2	0	
	2003	16	1	1	19	0.05263158	
	2003	16	2	0	1	0	
	2003	17	1	1	11	0.09090909	
	2003	17	2	0	3	0	
	2003	18	1	1	6	0.1666667	
	2004	11	1	0	1	0	
	2004	11	2	0	1	0	
	2004	12	1	0	3	0	
	2004	13	1	0	14	0	
	2004	14	1	1	18	0.05555556	
	2004	14	2	0	1	0	
	2004	15	1	0	32	0	
	2004	15	2	0	1	0	
	2004	16	1	1	24	0.04166667	
	2004	16	2	0	6	0	
	2004	17	1	0	15	0	
	2004	17	2	0	2	0	
	2004	18	1	0	7	0	
	2004	18	2	0	3	0	
	2004	19	1	0	1	0	
	2005	10	1	0	1	0	
	2005	11	1	0	1	0	
	2005	12	1	0	7	0	
	2005	12	2	0	1	0	
	2005	13	1	0	15	0	
	2005	13	2	0	2	0	
	2005	14	1	1	27	0.03703704	
	2005	14	2	0	6	0	
	2005	15	1	3	41	0.07317073	
	2005	15	2	0	4	0	
	2005	16	1	1	28	0.03571429	
	2005	16	2	0	8	0	
	2005	17	1	0	22	0	
	2005	17	2	0	3	0	
	2005	18	1	1	5	0.2	
	2006	10	1	0	1	0	
	2006	11	1	0	2	0	
	2006	12	1	0	5	0	
	2006	12	2	0	1	0	
	2006	13	1	0	16	0	
	2006	13	2	0	2	0	
	2006	14	1	0	35	0	
	2006	14	2	0	2	0	
	2006	15	1	0	37	0	
	2006	15	2	0	4	0	
	2006	16	1	4	52	0.07692308	
	2006	16	2	0	12	0	
	2006	17	1	0	20	0	
	2006	17	2	0	5	0	
	2006	18	1	0	3	0	
	2006	19	1	0	1	0	
	2007	10	1	0	3	0	
	2007	10	2	0	1	0	
	2007	11	1	0	1	0	
	2007	11	2	0	1	0	
	2007	12	1	0	8	0	
	2007	12	2	0	2	0	
	2007	13	1	0	28	0	
	2007	14	1	0	41	0	
	2007	14	2	0	1	0	
	2007	15	1	1	44	0.02272727	
	2007	15	2	0	6	0	
	2007	16	1	1	59	0.01694915	
	2007	16	2	0	6	0	
	2007	17	1	0	41	0	
	2007	17	2	1	8	0.125	
	2007	18	1	2	13	0.1538462	
	2007	18	2	0	3	0	
	2007	19	1	0	1	0	
	2008	11	1	0	2	0	
	2008	12	1	0	11	0	
	2008	13	1	0	22	0	
	2008	13	2	0	3	0	
	2008	14	1	1	56	0.01785714	
	2008	14	2	0	2	0	
	2008	15	1	2	61	0.03278689	
	2008	15	2	1	6	0.1666667	
	2008	16	1	0	60	0	
	2008	16	2	0	5	0	
	2008	17	1	1	49	0.02040816	
	2008	17	2	0	6	0	
	2008	18	1	2	16	0.125	
	2008	18	2	0	2	0	
	2009	11	1	1	6	0.1666667	
	2009	12	1	0	7	0	
	2009	13	1	1	35	0.02857143	
	2009	13	2	0	3	0	
	2009	14	1	0	53	0	
	2009	14	2	0	8	0	
	2009	15	1	0	71	0	
	2009	15	2	0	3	0	
	2009	16	1	3	68	0.04411765	
	2009	16	2	0	11	0	
	2009	17	1	1	45	0.02222222	
	2009	17	2	1	7	0.1428571	
	2009	18	1	1	23	0.04347826	
	2009	18	2	0	2	0	
	2009	19	1	0	1	0	
	2010	9	1	0	1	0	
	2010	10	1	0	1	0	
	2010	11	1	0	4	0	
	2010	12	1	0	20	0	
	2010	12	2	0	1	0	
	2010	13	1	0	39	0	
	2010	14	1	0	52	0	
	2010	14	2	0	4	0	
	2010	15	1	2	77	0.02597403	
	2010	15	2	1	9	0.1111111	
	2010	16	1	0	93	0	
	2010	16	2	1	9	0.1111111	
	2010	17	1	0	49	0	
	2010	17	2	0	8	0	
	2010	18	1	0	21	0	
	2010	18	2	0	3	0	
	2010	19	1	0	1	0	
	2010	19	2	0	1	0	
	2011	9	2	1	1	1	
	2011	10	1	0	3	0	
	2011	11	1	0	5	0	
	2011	12	1	0	22	0	
	2011	12	2	0	1	0	
	2011	13	1	1	37	0.02702703	
	2011	13	2	0	1	0	
	2011	14	1	0	64	0	
	2011	14	2	0	7	0	
	2011	15	1	0	64	0	
	2011	15	2	0	5	0	
	2011	16	1	1	89	0.01123596	
	2011	16	2	0	11	0	
	2011	17	1	2	49	0.04081633	
	2011	17	2	1	13	0.07692308	
	2011	18	1	0	28	0	
	2011	18	2	0	1	0	
	2011	19	1	0	1	0	
	2012	11	1	0	4	0	
	2012	12	1	0	13	0	
	2012	13	1	1	50	0.02	
	2012	13	2	0	1	0	
	2012	14	1	2	89	0.02247191	
	2012	14	2	0	4	0	
	2012	15	1	1	83	0.01204819	
	2012	15	2	0	9	0	
	2012	16	1	1	89	0.01123596	
	2012	16	2	1	11	0.09090909	
	2012	17	1	3	60	0.05	
	2012	17	2	0	11	0	
	2012	18	1	1	20	0.05	
	2012	18	2	0	1	0	
	2012	19	1	0	5	0	
	2013	11	1	0	3	0	
	2013	12	1	0	18	0	
	2013	12	2	1	1	1	
	2013	13	1	0	48	0	
	2013	13	2	0	3	0	
	2013	14	1	1	73	0.01369863	
	2013	14	2	0	7	0	
	2013	15	1	1	89	0.01123596	
	2013	15	2	0	6	0	
	2013	16	1	1	109	0.009174312	
	2013	16	2	1	18	0.05555556	
	2013	17	1	1	79	0.01265823	
	2013	17	2	0	12	0	
	2013	18	1	1	29	0.03448276	
	2013	18	2	0	6	0	
	2013	19	1	0	2	0	
	2013	19	2	0	1	0	
	2013	20	1	0	2	0	

