
	F.2.5.M Aortenaneurysma rupturiert, Mortalität // Anévrisme de l’aorte avec rupture, mortalité // Aneurisma aortico con lacerazione, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	3	1	1	1	1	
	1998	7	2	0	1	0	
	1998	8	1	0	1	0	
	1998	8	2	0	1	0	
	1998	9	2	0	1	0	
	1998	10	1	0	3	0	
	1998	11	1	0	5	0	
	1998	11	2	0	1	0	
	1998	12	1	2	12	0.1666667	
	1998	12	2	2	2	1	
	1998	13	1	5	30	0.1666667	
	1998	13	2	1	2	0.5	
	1998	14	1	7	34	0.2058824	
	1998	14	2	1	3	0.3333333	
	1998	15	1	13	44	0.2954545	
	1998	15	2	3	13	0.2307692	
	1998	16	1	15	46	0.326087	
	1998	16	2	8	14	0.5714286	
	1998	17	1	19	36	0.5277778	
	1998	17	2	5	10	0.5	
	1998	18	1	16	24	0.6666667	
	1998	18	2	4	7	0.5714286	
	1998	19	1	4	5	0.8	
	1998	19	2	3	3	1	
	1998	20	1	1	1	1	
	1998	20	2	1	1	1	
	1999	5	1	0	1	0	
	1999	7	1	0	1	0	
	1999	7	2	0	3	0	
	1999	8	1	0	2	0	
	1999	8	2	0	3	0	
	1999	9	1	0	2	0	
	1999	10	1	2	5	0.4	
	1999	11	1	5	16	0.3125	
	1999	11	2	0	1	0	
	1999	12	1	3	18	0.1666667	
	1999	12	2	1	4	0.25	
	1999	13	1	3	31	0.09677419	
	1999	13	2	2	11	0.1818182	
	1999	14	1	10	42	0.2380952	
	1999	14	2	0	5	0	
	1999	15	1	8	58	0.137931	
	1999	15	2	5	6	0.8333333	
	1999	16	1	20	62	0.3225806	
	1999	16	2	8	18	0.4444444	
	1999	17	1	20	40	0.5	
	1999	17	2	6	9	0.6666667	
	1999	18	1	11	16	0.6875	
	1999	18	2	12	16	0.75	
	1999	19	1	5	8	0.625	
	1999	19	2	1	3	0.3333333	
	1999	20	1	2	2	1	
	2000	6	2	0	1	0	
	2000	7	1	0	2	0	
	2000	8	1	0	1	0	
	2000	8	2	0	1	0	
	2000	9	1	0	3	0	
	2000	10	1	1	4	0.25	
	2000	10	2	0	2	0	
	2000	11	1	2	7	0.2857143	
	2000	11	2	0	1	0	
	2000	12	1	3	15	0.2	
	2000	13	1	15	39	0.3846154	
	2000	13	2	2	4	0.5	
	2000	14	1	14	43	0.3255814	
	2000	14	2	1	6	0.1666667	
	2000	15	1	14	59	0.2372881	
	2000	15	2	2	10	0.2	
	2000	16	1	28	71	0.3943662	
	2000	16	2	4	16	0.25	
	2000	17	1	19	35	0.5428571	
	2000	17	2	7	12	0.5833333	
	2000	18	1	16	22	0.7272727	
	2000	18	2	15	22	0.6818182	
	2000	19	1	1	2	0.5	
	2000	19	2	3	6	0.5	
	2000	20	1	1	2	0.5	
	2000	20	2	1	1	1	
	2001	6	2	0	1	0	
	2001	7	2	1	2	0.5	
	2001	8	1	1	5	0.2	
	2001	9	1	1	2	0.5	
	2001	10	1	0	1	0	
	2001	10	2	0	1	0	
	2001	11	1	2	8	0.25	
	2001	11	2	0	2	0	
	2001	12	1	4	17	0.2352941	
	2001	12	2	1	6	0.1666667	
	2001	13	1	5	36	0.1388889	
	2001	13	2	0	4	0	
	2001	14	1	6	40	0.15	
	2001	14	2	3	11	0.2727273	
	2001	15	1	15	46	0.326087	
	2001	15	2	8	18	0.4444444	
	2001	16	1	30	81	0.3703704	
	2001	16	2	11	23	0.4782609	
	2001	17	1	28	46	0.6086957	
	2001	17	2	10	22	0.4545455	
	2001	18	1	12	22	0.5454545	
	2001	18	2	9	12	0.75	
	2001	19	1	6	8	0.75	
	2001	19	2	5	7	0.7142857	
	2001	20	1	1	1	1	
	2001	20	2	1	1	1	
	2002	7	1	0	1	0	
	2002	7	2	0	1	0	
	2002	8	1	1	2	0.5	
	2002	8	2	0	1	0	
	2002	9	1	0	4	0	
	2002	10	1	0	2	0	
	2002	10	2	0	1	0	
	2002	11	1	1	3	0.3333333	
	2002	11	2	0	5	0	
	2002	12	1	3	21	0.1428571	
	2002	12	2	0	3	0	
	2002	13	1	3	30	0.1	
	2002	13	2	1	3	0.3333333	
	2002	14	1	10	41	0.2439024	
	2002	14	2	7	12	0.5833333	
	2002	15	1	17	66	0.2575758	
	2002	15	2	2	15	0.1333333	
	2002	16	1	31	71	0.4366197	
	2002	16	2	5	15	0.3333333	
	2002	17	1	35	51	0.6862745	
	2002	17	2	15	26	0.5769231	
	2002	18	1	18	28	0.6428571	
	2002	18	2	10	16	0.625	
	2002	19	1	4	6	0.6666667	
	2002	19	2	6	8	0.75	
	2002	20	2	1	2	0.5	
	2003	5	1	1	3	0.3333333	
	2003	5	2	0	1	0	
	2003	6	1	0	1	0	
	2003	6	2	0	2	0	
	2003	7	1	0	1	0	
	2003	7	2	0	1	0	
	2003	8	1	0	3	0	
	2003	8	2	0	2	0	
	2003	9	1	0	1	0	
	2003	9	2	0	1	0	
	2003	10	1	0	4	0	
	2003	10	2	0	1	0	
	2003	11	1	0	7	0	
	2003	11	2	0	2	0	
	2003	12	1	6	17	0.3529412	
	2003	12	2	0	6	0	
	2003	13	1	5	25	0.2	
	2003	14	1	11	39	0.2820513	
	2003	14	2	2	7	0.2857143	
	2003	15	1	15	55	0.2727273	
	2003	15	2	4	15	0.2666667	
	2003	16	1	27	61	0.442623	
	2003	16	2	11	27	0.4074074	
	2003	17	1	30	56	0.5357143	
	2003	17	2	8	17	0.4705882	
	2003	18	1	21	26	0.8076923	
	2003	18	2	7	9	0.7777778	
	2003	19	1	3	12	0.25	
	2003	19	2	2	2	1	
	2003	20	2	1	1	1	
	2004	4	1	1	1	1	
	2004	7	1	0	1	0	
	2004	8	2	1	2	0.5	
	2004	9	1	1	4	0.25	
	2004	10	1	1	5	0.2	
	2004	11	1	1	10	0.1	
	2004	11	2	0	1	0	
	2004	12	1	5	17	0.2941176	
	2004	12	2	0	1	0	
	2004	13	1	6	26	0.2307692	
	2004	13	2	1	3	0.3333333	
	2004	14	1	3	39	0.07692308	
	2004	14	2	4	13	0.3076923	
	2004	15	1	19	53	0.3584906	
	2004	15	2	5	7	0.7142857	
	2004	16	1	19	62	0.3064516	
	2004	16	2	10	18	0.5555556	
	2004	17	1	25	50	0.5	
	2004	17	2	9	19	0.4736842	
	2004	18	1	22	28	0.7857143	
	2004	18	2	7	13	0.5384615	
	2004	19	1	7	7	1	
	2004	19	2	1	1	1	
	2004	20	1	1	1	1	
	2004	20	2	4	4	1	
	2005	3	1	1	1	1	
	2005	5	1	0	1	0	
	2005	9	1	0	1	0	
	2005	10	1	1	4	0.25	
	2005	11	1	4	9	0.4444444	
	2005	11	2	0	1	0	
	2005	12	1	3	16	0.1875	
	2005	12	2	0	1	0	
	2005	13	1	9	35	0.2571429	
	2005	13	2	1	2	0.5	
	2005	14	1	9	40	0.225	
	2005	14	2	3	11	0.2727273	
	2005	15	1	23	56	0.4107143	
	2005	15	2	4	16	0.25	
	2005	16	1	26	52	0.5	
	2005	16	2	11	21	0.5238095	
	2005	17	1	33	53	0.6226415	
	2005	17	2	20	25	0.8	
	2005	18	1	22	29	0.7586207	
	2005	18	2	7	14	0.5	
	2005	19	1	10	13	0.7692308	
	2005	19	2	3	6	0.5	
	2005	20	1	1	1	1	
	2005	20	2	2	2	1	
	2006	8	1	0	1	0	
	2006	8	2	0	1	0	
	2006	9	1	1	4	0.25	
	2006	10	1	0	2	0	
	2006	11	1	1	3	0.3333333	
	2006	12	1	3	15	0.2	
	2006	12	2	1	3	0.3333333	
	2006	13	1	6	41	0.1463415	
	2006	14	1	10	47	0.212766	
	2006	14	2	2	5	0.4	
	2006	15	1	16	53	0.3018868	
	2006	15	2	6	12	0.5	
	2006	16	1	28	62	0.4516129	
	2006	16	2	9	17	0.5294118	
	2006	17	1	29	58	0.5	
	2006	17	2	14	33	0.4242424	
	2006	18	1	27	34	0.7941176	
	2006	18	2	16	22	0.7272727	
	2006	19	1	8	10	0.8	
	2006	19	2	4	4	1	
	2006	20	1	1	1	1	
	2007	6	1	0	1	0	
	2007	7	2	0	1	0	
	2007	8	1	0	1	0	
	2007	8	2	0	1	0	
	2007	9	1	0	2	0	
	2007	10	1	1	2	0.5	
	2007	10	2	0	1	0	
	2007	11	1	0	2	0	
	2007	11	2	1	3	0.3333333	
	2007	12	1	4	23	0.173913	
	2007	12	2	2	3	0.6666667	
	2007	13	1	4	28	0.1428571	
	2007	13	2	1	5	0.2	
	2007	14	1	17	50	0.34	
	2007	14	2	2	4	0.5	
	2007	15	1	20	72	0.2777778	
	2007	15	2	2	12	0.1666667	
	2007	16	1	29	64	0.453125	
	2007	16	2	8	23	0.3478261	
	2007	17	1	27	69	0.3913043	
	2007	17	2	9	20	0.45	
	2007	18	1	27	40	0.675	
	2007	18	2	11	16	0.6875	
	2007	19	1	4	5	0.8	
	2007	19	2	11	13	0.8461538	
	2007	20	1	1	1	1	
	2007	20	2	1	1	1	
	2008	8	1	0	4	0	
	2008	8	2	1	2	0.5	
	2008	9	1	0	2	0	
	2008	9	2	0	2	0	
	2008	10	1	1	4	0.25	
	2008	10	2	0	1	0	
	2008	11	1	3	6	0.5	
	2008	11	2	1	1	1	
	2008	12	1	5	16	0.3125	
	2008	13	1	4	27	0.1481481	
	2008	13	2	1	6	0.1666667	
	2008	14	1	10	29	0.3448276	
	2008	14	2	3	13	0.2307692	
	2008	15	1	15	49	0.3061224	
	2008	15	2	3	6	0.5	
	2008	16	1	19	57	0.3333333	
	2008	16	2	6	21	0.2857143	
	2008	17	1	32	61	0.5245902	
	2008	17	2	17	21	0.8095238	
	2008	18	1	23	28	0.8214286	
	2008	18	2	15	23	0.6521739	
	2008	19	1	8	11	0.7272727	
	2008	19	2	6	8	0.75	
	2008	20	2	1	1	1	
	2009	4	1	0	1	0	
	2009	7	1	0	1	0	
	2009	8	1	0	3	0	
	2009	9	1	0	4	0	
	2009	9	2	1	2	0.5	
	2009	10	1	3	8	0.375	
	2009	10	2	0	2	0	
	2009	11	1	1	6	0.1666667	
	2009	11	2	0	3	0	
	2009	12	1	5	26	0.1923077	
	2009	12	2	2	3	0.6666667	
	2009	13	1	6	33	0.1818182	
	2009	13	2	1	4	0.25	
	2009	14	1	9	52	0.1730769	
	2009	14	2	4	12	0.3333333	
	2009	15	1	17	45	0.3777778	
	2009	15	2	5	14	0.3571429	
	2009	16	1	24	68	0.3529412	
	2009	16	2	9	25	0.36	
	2009	17	1	36	60	0.6	
	2009	17	2	15	23	0.6521739	
	2009	18	1	28	35	0.8	
	2009	18	2	13	23	0.5652174	
	2009	19	1	8	9	0.8888889	
	2009	19	2	4	6	0.6666667	
	2009	20	2	2	4	0.5	
	2010	3	1	0	1	0	
	2010	6	2	0	2	0	
	2010	7	1	0	2	0	
	2010	9	1	0	2	0	
	2010	10	1	1	4	0.25	
	2010	10	2	3	4	0.75	
	2010	11	1	3	8	0.375	
	2010	11	2	0	4	0	
	2010	12	1	5	18	0.2777778	
	2010	12	2	0	3	0	
	2010	13	1	9	37	0.2432432	
	2010	13	2	3	7	0.4285714	
	2010	14	1	15	59	0.2542373	
	2010	14	2	3	7	0.4285714	
	2010	15	1	15	65	0.2307692	
	2010	15	2	1	14	0.07142857	
	2010	16	1	24	66	0.3636364	
	2010	16	2	8	17	0.4705882	
	2010	17	1	38	76	0.5	
	2010	17	2	21	26	0.8076923	
	2010	18	1	21	31	0.6774194	
	2010	18	2	18	23	0.7826087	
	2010	19	1	14	16	0.875	
	2010	19	2	6	7	0.8571429	
	2010	20	1	5	5	1	
	2011	7	1	0	2	0	
	2011	8	1	0	3	0	
	2011	9	2	0	1	0	
	2011	10	1	0	7	0	
	2011	11	1	4	8	0.5	
	2011	11	2	0	1	0	
	2011	12	1	2	19	0.1052632	
	2011	12	2	0	5	0	
	2011	13	1	6	21	0.2857143	
	2011	13	2	2	5	0.4	
	2011	14	1	9	57	0.1578947	
	2011	14	2	1	8	0.125	
	2011	15	1	16	43	0.372093	
	2011	15	2	7	14	0.5	
	2011	16	1	21	58	0.362069	
	2011	16	2	5	21	0.2380952	
	2011	17	1	25	44	0.5681818	
	2011	17	2	12	25	0.48	
	2011	18	1	33	56	0.5892857	
	2011	18	2	13	17	0.7647059	
	2011	19	1	5	8	0.625	
	2011	19	2	7	8	0.875	
	2011	20	1	2	2	1	
	2011	20	2	1	3	0.3333333	
	2012	4	1	0	1	0	
	2012	6	1	0	1	0	
	2012	7	2	0	1	0	
	2012	8	1	0	1	0	
	2012	8	2	1	2	0.5	
	2012	9	2	1	1	1	
	2012	10	1	3	7	0.4285714	
	2012	11	1	1	4	0.25	
	2012	11	2	1	3	0.3333333	
	2012	12	1	3	20	0.15	
	2012	12	2	3	5	0.6	
	2012	13	1	8	44	0.1818182	
	2012	13	2	0	2	0	
	2012	14	1	10	54	0.1851852	
	2012	14	2	2	10	0.2	
	2012	15	1	20	48	0.4166667	
	2012	15	2	7	17	0.4117647	
	2012	16	1	28	60	0.4666667	
	2012	16	2	6	24	0.25	
	2012	17	1	22	65	0.3384615	
	2012	17	2	19	29	0.6551724	
	2012	18	1	27	38	0.7105263	
	2012	18	2	16	25	0.64	
	2012	19	1	9	13	0.6923077	
	2012	19	2	8	9	0.8888889	
	2012	20	1	2	2	1	
	2012	20	2	2	3	0.6666667	
	2013	6	1	1	2	0.5	
	2013	7	2	0	1	0	
	2013	8	1	0	2	0	
	2013	9	1	1	1	1	
	2013	9	2	1	1	1	
	2013	10	1	1	4	0.25	
	2013	11	1	0	15	0	
	2013	11	2	1	2	0.5	
	2013	12	1	4	23	0.173913	
	2013	12	2	2	3	0.6666667	
	2013	13	1	5	29	0.1724138	
	2013	13	2	0	3	0	
	2013	14	1	14	42	0.3333333	
	2013	14	2	4	6	0.6666667	
	2013	15	1	13	53	0.245283	
	2013	15	2	6	14	0.4285714	
	2013	16	1	13	50	0.26	
	2013	16	2	11	26	0.4230769	
	2013	17	1	29	72	0.4027778	
	2013	17	2	10	26	0.3846154	
	2013	18	1	33	51	0.6470588	
	2013	18	2	12	14	0.8571429	
	2013	19	1	11	13	0.8461538	
	2013	19	2	13	16	0.8125	
	2013	20	1	1	1	1	
	2013	20	2	2	2	1	

