
	F.3.2.M OP an Becken­/Beinarterien bei Claudicatio, Mortalität // OP des artères du bassin/des jambes en cas de claudication, mortalité // OP alle arterie del bacino/delle gambe in caso di claudicatio, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2009	5	2	0	1	0	
	2009	9	1	0	3	0	
	2009	9	2	0	1	0	
	2009	10	1	0	8	0	
	2009	10	2	0	3	0	
	2009	11	1	0	22	0	
	2009	11	2	0	4	0	
	2009	12	1	1	27	0.03703704	
	2009	12	2	0	4	0	
	2009	13	1	0	51	0	
	2009	13	2	0	9	0	
	2009	14	1	0	41	0	
	2009	14	2	0	18	0	
	2009	15	1	0	46	0	
	2009	15	2	0	19	0	
	2009	16	1	2	35	0.05714286	
	2009	16	2	0	25	0	
	2009	17	1	1	16	0.0625	
	2009	17	2	1	21	0.04761905	
	2009	18	1	0	5	0	
	2009	18	2	0	11	0	
	2009	19	1	0	1	0	
	2009	19	2	0	1	0	
	2010	8	1	0	1	0	
	2010	9	1	0	3	0	
	2010	9	2	0	1	0	
	2010	10	1	0	7	0	
	2010	10	2	0	1	0	
	2010	11	1	0	19	0	
	2010	11	2	0	2	0	
	2010	12	1	0	50	0	
	2010	12	2	0	2	0	
	2010	13	1	0	64	0	
	2010	13	2	0	10	0	
	2010	14	1	2	73	0.02739726	
	2010	14	2	0	17	0	
	2010	15	1	1	65	0.01538462	
	2010	15	2	0	23	0	
	2010	16	1	0	43	0	
	2010	16	2	0	20	0	
	2010	17	1	0	15	0	
	2010	17	2	0	20	0	
	2010	18	1	1	12	0.08333333	
	2010	18	2	0	2	0	
	2010	19	1	0	1	0	
	2010	20	2	0	1	0	
	2011	4	1	0	1	0	
	2011	6	1	0	1	0	
	2011	7	1	0	1	0	
	2011	8	1	0	2	0	
	2011	8	2	0	1	0	
	2011	9	1	0	5	0	
	2011	9	2	0	3	0	
	2011	10	1	0	11	0	
	2011	10	2	0	2	0	
	2011	11	1	0	31	0	
	2011	11	2	0	8	0	
	2011	12	1	0	55	0	
	2011	12	2	0	15	0	
	2011	13	1	0	89	0	
	2011	13	2	0	20	0	
	2011	14	1	1	125	0.008	
	2011	14	2	0	23	0	
	2011	15	1	0	91	0	
	2011	15	2	0	33	0	
	2011	16	1	1	60	0.01666667	
	2011	16	2	1	47	0.0212766	
	2011	17	1	0	36	0	
	2011	17	2	0	29	0	
	2011	18	1	0	4	0	
	2011	18	2	0	16	0	
	2011	19	2	0	1	0	
	2012	9	1	0	5	0	
	2012	9	2	0	1	0	
	2012	10	1	0	9	0	
	2012	10	2	0	2	0	
	2012	11	1	1	25	0.04	
	2012	11	2	0	5	0	
	2012	12	1	2	48	0.04166667	
	2012	12	2	0	11	0	
	2012	13	1	0	87	0	
	2012	13	2	0	22	0	
	2012	14	1	0	104	0	
	2012	14	2	0	30	0	
	2012	15	1	0	106	0	
	2012	15	2	0	32	0	
	2012	16	1	0	84	0	
	2012	16	2	1	25	0.04	
	2012	17	1	0	20	0	
	2012	17	2	0	18	0	
	2012	18	1	0	4	0	
	2012	18	2	1	12	0.08333333	
	2012	19	1	0	2	0	
	2012	19	2	0	2	0	
	2012	20	2	0	1	0	
	2013	8	1	0	1	0	
	2013	9	1	0	2	0	
	2013	9	2	0	1	0	
	2013	10	1	0	9	0	
	2013	10	2	0	1	0	
	2013	11	1	0	26	0	
	2013	11	2	0	4	0	
	2013	12	1	0	60	0	
	2013	12	2	0	17	0	
	2013	13	1	0	78	0	
	2013	13	2	0	16	0	
	2013	14	1	0	115	0	
	2013	14	2	1	20	0.05	
	2013	15	1	0	90	0	
	2013	15	2	0	37	0	
	2013	16	1	2	68	0.02941176	
	2013	16	2	0	34	0	
	2013	17	1	1	36	0.02777778	
	2013	17	2	1	23	0.04347826	
	2013	18	1	0	11	0	
	2013	18	2	1	11	0.09090909	
	2013	19	1	0	2	0	
	2013	19	2	0	4	0	
	2013	20	2	0	1	0	

