
	F.3.4.M OP an Becken­/Beinarterien bei Ulzeration oder Gangrän, Mortalität // OP des artères du bassin/des jambes en cas d’ulcération ou de gangrène, mortalité // OP alle arterie del bacino/delle gambe in caso di ulcera o cancrena, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2009	10	2	0	1	0	
	2009	11	1	0	1	0	
	2009	12	1	0	3	0	
	2009	13	1	0	2	0	
	2009	13	2	0	1	0	
	2009	14	1	0	4	0	
	2009	14	2	0	5	0	
	2009	15	1	0	8	0	
	2009	16	1	0	11	0	
	2009	16	2	0	6	0	
	2009	17	1	0	9	0	
	2009	17	2	1	11	0.09090909	
	2009	18	1	1	3	0.3333333	
	2009	18	2	0	8	0	
	2009	19	1	0	1	0	
	2009	19	2	0	1	0	
	2010	8	2	0	1	0	
	2010	9	2	0	1	0	
	2010	10	1	0	1	0	
	2010	11	1	0	2	0	
	2010	12	1	0	5	0	
	2010	12	2	0	1	0	
	2010	13	1	0	12	0	
	2010	13	2	0	1	0	
	2010	14	1	1	13	0.07692308	
	2010	14	2	0	2	0	
	2010	15	1	0	10	0	
	2010	15	2	0	4	0	
	2010	16	1	0	16	0	
	2010	16	2	0	9	0	
	2010	17	1	0	9	0	
	2010	17	2	1	11	0.09090909	
	2010	18	1	1	5	0.2	
	2010	18	2	2	13	0.1538462	
	2010	19	1	1	4	0.25	
	2010	19	2	1	1	1	
	2011	11	1	0	5	0	
	2011	11	2	0	2	0	
	2011	12	1	0	6	0	
	2011	12	2	0	3	0	
	2011	13	1	0	18	0	
	2011	13	2	0	4	0	
	2011	14	1	1	16	0.0625	
	2011	14	2	0	9	0	
	2011	15	1	0	25	0	
	2011	15	2	0	11	0	
	2011	16	1	1	29	0.03448276	
	2011	16	2	2	24	0.08333333	
	2011	17	1	3	28	0.1071429	
	2011	17	2	1	26	0.03846154	
	2011	18	1	0	9	0	
	2011	18	2	1	17	0.05882353	
	2011	19	1	0	4	0	
	2011	19	2	0	11	0	
	2012	9	1	0	1	0	
	2012	11	1	0	4	0	
	2012	11	2	0	1	0	
	2012	12	1	0	12	0	
	2012	12	2	0	2	0	
	2012	13	1	0	14	0	
	2012	13	2	0	3	0	
	2012	14	1	0	25	0	
	2012	14	2	0	11	0	
	2012	15	1	3	29	0.1034483	
	2012	15	2	0	10	0	
	2012	16	1	0	27	0	
	2012	16	2	1	18	0.05555556	
	2012	17	1	2	26	0.07692308	
	2012	17	2	0	18	0	
	2012	18	1	0	19	0	
	2012	18	2	3	25	0.12	
	2012	19	1	0	4	0	
	2012	19	2	0	6	0	
	2012	20	1	0	3	0	
	2013	9	1	0	1	0	
	2013	10	1	0	3	0	
	2013	10	2	0	1	0	
	2013	11	1	0	1	0	
	2013	11	2	0	1	0	
	2013	12	1	0	5	0	
	2013	12	2	0	3	0	
	2013	13	1	1	13	0.07692308	
	2013	13	2	0	3	0	
	2013	14	1	2	18	0.1111111	
	2013	14	2	0	8	0	
	2013	15	1	3	24	0.125	
	2013	15	2	0	9	0	
	2013	16	1	2	32	0.0625	
	2013	16	2	0	12	0	
	2013	17	1	1	32	0.03125	
	2013	17	2	1	12	0.08333333	
	2013	18	1	0	10	0	
	2013	18	2	1	23	0.04347826	
	2013	19	1	0	1	0	
	2013	19	2	0	7	0	
	2013	20	2	0	1	0	

