
	F.3.6.M OP an Becken­/Beinarterien bei Komplikationen durch Prothesen/Implantate, Mortalität // OP des artères du bassin/des jambes en cas de complications dues à des prothèses/implants, mortalité // OP alle arterie del bacino/delle gambe in caso di complicanze duvute a protesi/impianti, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	10	1	0	1	0	
	1998	12	1	0	6	0	
	1998	13	1	0	2	0	
	1998	14	1	0	4	0	
	1998	14	2	0	1	0	
	1998	15	1	0	6	0	
	1998	15	2	0	3	0	
	1998	16	1	1	2	0.5	
	1998	17	1	0	1	0	
	1998	17	2	0	1	0	
	1999	8	2	0	1	0	
	1999	11	1	0	1	0	
	1999	11	2	0	1	0	
	1999	14	1	0	2	0	
	1999	15	2	0	1	0	
	1999	16	1	0	1	0	
	1999	17	1	0	1	0	
	1999	17	2	0	1	0	
	2000	9	1	0	2	0	
	2000	11	1	0	4	0	
	2000	11	2	0	1	0	
	2000	12	1	0	3	0	
	2000	13	1	0	2	0	
	2000	13	2	0	1	0	
	2000	14	1	0	3	0	
	2000	14	2	0	2	0	
	2000	15	1	0	5	0	
	2000	15	2	1	4	0.25	
	2000	16	1	0	4	0	
	2000	16	2	0	2	0	
	2000	18	2	0	2	0	
	2001	9	1	0	3	0	
	2001	10	1	1	2	0.5	
	2001	10	2	0	1	0	
	2001	11	1	0	1	0	
	2001	11	2	0	1	0	
	2001	12	1	1	2	0.5	
	2001	12	2	0	1	0	
	2001	13	1	1	4	0.25	
	2001	13	2	0	2	0	
	2001	14	1	0	3	0	
	2001	14	2	0	3	0	
	2001	15	1	1	5	0.2	
	2001	15	2	0	1	0	
	2001	16	1	1	8	0.125	
	2001	16	2	0	2	0	
	2001	17	1	1	7	0.1428571	
	2001	17	2	0	2	0	
	2001	18	1	0	1	0	
	2001	18	2	0	2	0	
	2002	5	1	0	1	0	
	2002	9	1	0	1	0	
	2002	10	1	0	3	0	
	2002	11	1	0	1	0	
	2002	12	1	0	2	0	
	2002	12	2	0	2	0	
	2002	13	1	2	9	0.2222222	
	2002	14	1	0	2	0	
	2002	14	2	0	1	0	
	2002	15	1	0	5	0	
	2002	16	1	0	7	0	
	2002	17	1	1	4	0.25	
	2002	17	2	1	2	0.5	
	2002	18	1	0	1	0	
	2002	19	1	0	2	0	
	2002	19	2	0	2	0	
	2003	7	1	0	1	0	
	2003	7	2	0	1	0	
	2003	8	1	0	1	0	
	2003	8	2	0	1	0	
	2003	10	1	0	4	0	
	2003	11	1	0	3	0	
	2003	12	1	0	14	0	
	2003	12	2	0	4	0	
	2003	13	1	1	11	0.09090909	
	2003	13	2	0	2	0	
	2003	14	1	0	7	0	
	2003	14	2	0	5	0	
	2003	15	1	1	7	0.1428571	
	2003	15	2	1	3	0.3333333	
	2003	16	1	1	12	0.08333333	
	2003	16	2	0	2	0	
	2003	17	1	0	9	0	
	2003	17	2	0	3	0	
	2003	18	1	0	1	0	
	2003	18	2	0	1	0	
	2003	19	2	0	1	0	
	2004	7	2	0	1	0	
	2004	8	2	0	2	0	
	2004	10	1	0	4	0	
	2004	11	1	0	3	0	
	2004	11	2	0	2	0	
	2004	12	1	0	8	0	
	2004	12	2	0	2	0	
	2004	13	1	0	7	0	
	2004	13	2	0	1	0	
	2004	14	1	1	9	0.1111111	
	2004	14	2	2	3	0.6666667	
	2004	15	1	0	8	0	
	2004	15	2	0	6	0	
	2004	16	1	0	18	0	
	2004	16	2	0	6	0	
	2004	17	1	0	6	0	
	2004	18	1	1	2	0.5	
	2005	6	1	0	2	0	
	2005	8	2	0	2	0	
	2005	9	1	0	2	0	
	2005	10	1	0	3	0	
	2005	11	1	0	5	0	
	2005	11	2	0	2	0	
	2005	12	1	0	10	0	
	2005	12	2	0	1	0	
	2005	13	1	0	9	0	
	2005	13	2	0	4	0	
	2005	14	1	0	12	0	
	2005	14	2	0	2	0	
	2005	15	1	1	10	0.1	
	2005	15	2	0	9	0	
	2005	16	1	0	9	0	
	2005	16	2	0	5	0	
	2005	17	1	0	2	0	
	2005	17	2	0	2	0	
	2005	18	2	0	2	0	
	2005	19	2	0	1	0	
	2006	4	1	0	1	0	
	2006	7	2	0	1	0	
	2006	8	1	1	2	0.5	
	2006	9	1	0	1	0	
	2006	10	1	0	4	0	
	2006	10	2	0	2	0	
	2006	11	1	0	7	0	
	2006	11	2	0	1	0	
	2006	12	1	0	6	0	
	2006	12	2	0	1	0	
	2006	13	1	0	13	0	
	2006	13	2	0	1	0	
	2006	14	1	0	11	0	
	2006	14	2	0	5	0	
	2006	15	1	0	13	0	
	2006	15	2	0	7	0	
	2006	16	1	2	14	0.1428571	
	2006	16	2	0	3	0	
	2006	17	1	0	5	0	
	2006	17	2	1	6	0.1666667	
	2006	18	1	1	5	0.2	
	2006	18	2	0	2	0	
	2007	4	2	0	1	0	
	2007	8	1	0	1	0	
	2007	10	1	0	2	0	
	2007	10	2	0	1	0	
	2007	11	1	0	4	0	
	2007	11	2	0	2	0	
	2007	12	1	0	6	0	
	2007	12	2	1	3	0.3333333	
	2007	13	1	2	13	0.1538462	
	2007	13	2	0	1	0	
	2007	14	1	1	11	0.09090909	
	2007	14	2	0	6	0	
	2007	15	1	0	10	0	
	2007	15	2	1	6	0.1666667	
	2007	16	1	1	10	0.1	
	2007	16	2	0	3	0	
	2007	17	1	0	10	0	
	2007	17	2	1	3	0.3333333	
	2007	18	1	0	2	0	
	2007	18	2	0	4	0	
	2008	9	2	0	1	0	
	2008	10	1	0	1	0	
	2008	11	1	0	2	0	
	2008	11	2	0	2	0	
	2008	12	1	0	9	0	
	2008	12	2	0	1	0	
	2008	13	1	1	8	0.125	
	2008	13	2	0	3	0	
	2008	14	1	0	12	0	
	2008	14	2	0	5	0	
	2008	15	1	0	16	0	
	2008	15	2	1	10	0.1	
	2008	16	1	1	13	0.07692308	
	2008	16	2	1	7	0.1428571	
	2008	17	1	1	10	0.1	
	2008	17	2	0	3	0	
	2008	18	1	1	2	0.5	
	2008	18	2	0	6	0	
	2009	5	1	0	1	0	
	2009	7	1	1	2	0.5	
	2009	8	1	0	1	0	
	2009	8	2	0	1	0	
	2009	9	1	0	1	0	
	2009	10	2	0	1	0	
	2009	11	1	0	4	0	
	2009	12	1	0	4	0	
	2009	12	2	0	1	0	
	2009	13	1	0	18	0	
	2009	13	2	0	5	0	
	2009	14	1	1	18	0.05555556	
	2009	14	2	0	3	0	
	2009	15	1	0	9	0	
	2009	15	2	0	6	0	
	2009	16	1	2	11	0.1818182	
	2009	16	2	0	1	0	
	2009	17	1	0	9	0	
	2009	17	2	1	7	0.1428571	
	2009	18	1	1	5	0.2	
	2009	18	2	1	4	0.25	
	2010	8	1	0	1	0	
	2010	9	1	0	2	0	
	2010	9	2	0	1	0	
	2010	10	1	0	4	0	
	2010	11	1	0	4	0	
	2010	12	1	0	3	0	
	2010	12	2	0	1	0	
	2010	13	1	1	8	0.125	
	2010	14	1	0	14	0	
	2010	14	2	0	6	0	
	2010	15	1	1	14	0.07142857	
	2010	15	2	0	6	0	
	2010	16	1	0	10	0	
	2010	16	2	0	5	0	
	2010	17	1	0	3	0	
	2010	17	2	1	5	0.2	
	2010	18	1	1	3	0.3333333	
	2010	18	2	0	1	0	
	2011	4	2	0	1	0	
	2011	6	1	0	1	0	
	2011	8	1	0	1	0	
	2011	9	1	0	5	0	
	2011	10	1	0	5	0	
	2011	11	1	0	9	0	
	2011	11	2	0	1	0	
	2011	12	1	0	9	0	
	2011	12	2	0	3	0	
	2011	13	1	0	23	0	
	2011	13	2	0	6	0	
	2011	14	1	0	29	0	
	2011	14	2	0	10	0	
	2011	15	1	2	21	0.0952381	
	2011	15	2	0	7	0	
	2011	16	1	1	16	0.0625	
	2011	16	2	1	21	0.04761905	
	2011	17	1	1	11	0.09090909	
	2011	17	2	1	4	0.25	
	2011	18	1	1	7	0.1428571	
	2011	18	2	0	9	0	
	2011	19	1	0	2	0	
	2011	19	2	0	2	0	
	2012	7	1	0	1	0	
	2012	8	1	0	2	0	
	2012	9	1	0	1	0	
	2012	10	1	0	1	0	
	2012	10	2	0	1	0	
	2012	11	1	0	6	0	
	2012	11	2	0	2	0	
	2012	12	1	0	9	0	
	2012	12	2	0	6	0	
	2012	13	1	1	16	0.0625	
	2012	13	2	0	2	0	
	2012	14	1	0	35	0	
	2012	14	2	0	14	0	
	2012	15	1	2	23	0.08695652	
	2012	15	2	0	18	0	
	2012	16	1	1	19	0.05263158	
	2012	16	2	2	14	0.1428571	
	2012	17	1	1	12	0.08333333	
	2012	17	2	1	13	0.07692308	
	2012	18	1	1	6	0.1666667	
	2012	18	2	0	8	0	
	2012	19	1	0	1	0	
	2012	19	2	0	3	0	
	2012	20	2	0	1	0	
	2013	5	1	0	1	0	
	2013	7	1	0	1	0	
	2013	9	1	0	1	0	
	2013	9	2	0	1	0	
	2013	10	1	0	7	0	
	2013	11	1	0	2	0	
	2013	11	2	0	2	0	
	2013	12	1	0	20	0	
	2013	12	2	0	4	0	
	2013	13	1	0	26	0	
	2013	13	2	0	3	0	
	2013	14	1	1	30	0.03333333	
	2013	14	2	0	15	0	
	2013	15	1	1	35	0.02857143	
	2013	15	2	0	5	0	
	2013	16	1	3	30	0.1	
	2013	16	2	2	10	0.2	
	2013	17	1	2	16	0.125	
	2013	17	2	1	13	0.07692308	
	2013	18	1	0	4	0	
	2013	18	2	0	3	0	
	2013	19	1	0	3	0	
	2013	19	2	1	3	0.3333333	
	2013	20	1	0	1	0	
	2013	20	2	0	1	0	

