
	F.3.7.M OP an Becken­/Beinarterien bei Aneurysma/Dissektion, Mortalität // OP des artères du bassin/des jambes en cas d’anévrisme/de dissection, mortalité // OP alle arterie del bacino/delle gambe in caso di aneurisma/dissecazione, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	11	1	0	3	0	
	1998	12	1	0	7	0	
	1998	12	2	0	1	0	
	1998	13	1	0	7	0	
	1998	14	1	0	8	0	
	1998	14	2	0	3	0	
	1998	15	1	0	18	0	
	1998	16	1	0	8	0	
	1998	17	1	1	2	0.5	
	1998	18	1	0	1	0	
	1998	18	2	0	1	0	
	1999	8	1	0	2	0	
	1999	10	1	0	4	0	
	1999	10	2	0	1	0	
	1999	11	1	0	3	0	
	1999	12	1	0	11	0	
	1999	12	2	0	2	0	
	1999	13	1	0	2	0	
	1999	14	1	0	8	0	
	1999	14	2	0	2	0	
	1999	15	1	1	17	0.05882353	
	1999	15	2	0	2	0	
	1999	16	1	1	14	0.07142857	
	1999	16	2	0	2	0	
	1999	17	1	0	5	0	
	1999	17	2	0	1	0	
	1999	18	1	0	5	0	
	1999	18	2	0	1	0	
	2000	7	2	0	1	0	
	2000	10	1	0	2	0	
	2000	11	1	0	4	0	
	2000	11	2	0	1	0	
	2000	12	1	0	8	0	
	2000	12	2	0	2	0	
	2000	13	1	0	11	0	
	2000	14	1	0	16	0	
	2000	15	1	2	23	0.08695652	
	2000	15	2	0	1	0	
	2000	16	1	1	16	0.0625	
	2000	16	2	1	3	0.3333333	
	2000	17	1	0	8	0	
	2000	18	1	0	1	0	
	2000	18	2	0	1	0	
	2001	7	2	0	1	0	
	2001	9	1	0	3	0	
	2001	10	1	0	1	0	
	2001	11	1	0	2	0	
	2001	12	1	0	8	0	
	2001	12	2	0	1	0	
	2001	13	1	0	10	0	
	2001	14	1	0	24	0	
	2001	14	2	0	3	0	
	2001	15	1	0	15	0	
	2001	15	2	0	1	0	
