
	F.4.1.M Amputation im Fussbereich, kein Trauma, Mortalität // Amputation non traumatique au niveau du pied, mortalité // Amputazione non traumatica nella regione del piede, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	1	1	0	4	0	
	1998	1	2	0	4	0	
	1998	3	1	0	2	0	
	1998	4	1	0	1	0	
	1998	4	2	0	2	0	
	1998	6	2	0	1	0	
	1998	7	1	0	4	0	
	1998	7	2	0	1	0	
	1998	8	1	0	2	0	
	1998	8	2	0	4	0	
	1998	9	1	0	4	0	
	1998	9	2	0	2	0	
	1998	10	1	0	16	0	
	1998	10	2	0	4	0	
	1998	11	1	2	29	0.06896552	
	1998	11	2	0	8	0	
	1998	12	1	0	45	0	
	1998	12	2	0	17	0	
	1998	13	1	0	57	0	
	1998	13	2	1	24	0.04166667	
	1998	14	1	4	73	0.05479452	
	1998	14	2	0	46	0	
	1998	15	1	3	86	0.03488372	
	1998	15	2	0	39	0	
	1998	16	1	2	73	0.02739726	
	1998	16	2	3	53	0.05660377	
	1998	17	1	5	50	0.1	
	1998	17	2	1	50	0.02	
	1998	18	1	3	24	0.125	
	1998	18	2	2	41	0.04878049	
	1998	19	1	2	10	0.2	
	1998	19	2	0	14	0	
	1998	20	1	0	1	0	
	1999	1	1	0	2	0	
	1999	1	2	0	2	0	
	1999	3	1	0	1	0	
	1999	4	1	0	1	0	
	1999	5	2	0	1	0	
	1999	6	1	0	4	0	
	1999	6	2	0	1	0	
	1999	7	1	0	3	0	
	1999	8	1	0	4	0	
	1999	8	2	0	5	0	
	1999	9	1	0	13	0	
	1999	9	2	0	5	0	
	1999	10	1	0	16	0	
	1999	10	2	0	4	0	
	1999	11	1	0	40	0	
	1999	11	2	0	13	0	
	1999	12	1	1	43	0.02325581	
	1999	12	2	0	15	0	
	1999	13	1	1	63	0.01587302	
	1999	13	2	0	22	0	
	1999	14	1	4	83	0.04819277	
	1999	14	2	2	36	0.05555556	
	1999	15	1	7	130	0.05384615	
	1999	15	2	1	65	0.01538462	
	1999	16	1	2	94	0.0212766	
	1999	16	2	1	72	0.01388889	
	1999	17	1	3	60	0.05	
	1999	17	2	2	75	0.02666667	
	1999	18	1	3	38	0.07894737	
	1999	18	2	1	56	0.01785714	
	1999	19	1	1	11	0.09090909	
	1999	19	2	2	13	0.1538462	
	1999	20	1	0	2	0	
	1999	20	2	0	4	0	
	2000	1	1	0	6	0	
	2000	1	2	0	3	0	
	2000	2	1	0	3	0	
	2000	2	2	0	2	0	
	2000	3	2	0	2	0	
	2000	4	1	0	1	0	
	2000	5	1	0	1	0	
	2000	6	1	0	2	0	
	2000	6	2	0	2	0	
	2000	7	1	0	3	0	
	2000	7	2	0	2	0	
	2000	8	1	0	5	0	
	2000	8	2	0	1	0	
	2000	9	1	0	12	0	
	2000	9	2	1	5	0.2	
	2000	10	1	0	27	0	
	2000	10	2	0	2	0	
	2000	11	1	0	50	0	
	2000	11	2	0	12	0	
	2000	12	1	0	65	0	
	2000	12	2	1	10	0.1	
	2000	13	1	1	75	0.01333333	
	2000	13	2	0	17	0	
	2000	14	1	3	87	0.03448276	
	2000	14	2	0	58	0	
	2000	15	1	2	143	0.01398601	
	2000	15	2	0	57	0	
	2000	16	1	6	135	0.04444444	
	2000	16	2	1	52	0.01923077	
	2000	17	1	4	68	0.05882353	
	2000	17	2	1	67	0.01492537	
	2000	18	1	0	37	0	
	2000	18	2	3	48	0.0625	
	2000	19	1	2	8	0.25	
	2000	19	2	1	25	0.04	
	2000	20	1	0	1	0	
	2000	20	2	0	2	0	
	2001	1	1	0	8	0	
	2001	1	2	0	1	0	
	2001	2	1	0	1	0	
	2001	2	2	0	1	0	
	2001	3	1	0	1	0	
	2001	5	1	0	4	0	
	2001	5	2	0	2	0	
	2001	7	1	0	1	0	
	2001	7	2	0	2	0	
	2001	8	1	0	9	0	
	2001	8	2	0	4	0	
	2001	9	1	0	8	0	
	2001	9	2	0	2	0	
	2001	10	1	0	31	0	
	2001	10	2	0	5	0	
	2001	11	1	1	60	0.01666667	
	2001	11	2	0	15	0	
	2001	12	1	0	52	0	
	2001	12	2	0	8	0	
	2001	13	1	2	57	0.03508772	
	2001	13	2	1	29	0.03448276	
	2001	14	1	1	127	0.007874016	
	2001	14	2	0	47	0	
	2001	15	1	2	139	0.01438849	
	2001	15	2	1	56	0.01785714	
	2001	16	1	6	117	0.05128205	
	2001	16	2	1	72	0.01388889	
	2001	17	1	3	80	0.0375	
	2001	17	2	4	77	0.05194805	
	2001	18	1	0	42	0	
	2001	18	2	2	63	0.03174603	
	2001	19	1	2	13	0.1538462	
	2001	19	2	1	33	0.03030303	
	2001	20	1	2	2	1	
	2001	20	2	0	4	0	
	2002	1	1	0	3	0	
	2002	1	2	0	1	0	
	2002	2	1	0	2	0	
	2002	4	2	0	1	0	
	2002	5	1	0	1	0	
	2002	6	1	0	1	0	
	2002	6	2	0	1	0	
	2002	7	1	0	2	0	
	2002	7	2	0	3	0	
	2002	8	1	0	6	0	
	2002	8	2	0	3	0	
	2002	9	1	0	12	0	
	2002	9	2	0	15	0	
	2002	10	1	0	30	0	
	2002	10	2	0	5	0	
	2002	11	1	0	55	0	
	2002	11	2	0	16	0	
	2002	12	1	0	64	0	
	2002	12	2	0	18	0	
	2002	13	1	2	92	0.02173913	
	2002	13	2	0	21	0	
	2002	14	1	1	121	0.008264463	
	2002	14	2	1	46	0.02173913	
	2002	15	1	6	128	0.046875	
	2002	15	2	0	64	0	
	2002	16	1	6	131	0.04580153	
	2002	16	2	0	94	0	
	2002	17	1	8	92	0.08695652	
	2002	17	2	3	97	0.03092784	
	2002	18	1	3	60	0.05	
	2002	18	2	1	65	0.01538462	
	2002	19	1	1	16	0.0625	
	2002	19	2	5	38	0.1315789	
	2002	20	1	1	4	0.25	
	2002	20	2	1	2	0.5	
	2003	1	1	0	3	0	
	2003	1	2	0	3	0	
	2003	3	1	0	3	0	
	2003	3	2	0	2	0	
	2003	4	1	0	1	0	
	2003	5	1	0	4	0	
	2003	5	2	0	1	0	
	2003	6	2	0	1	0	
	2003	7	1	0	5	0	
	2003	7	2	0	3	0	
	2003	8	1	0	10	0	
	2003	8	2	0	2	0	
	2003	9	1	0	8	0	
	2003	9	2	0	4	0	
	2003	10	1	0	14	0	
	2003	10	2	0	3	0	
	2003	11	1	1	47	0.0212766	
	2003	11	2	0	12	0	
	2003	12	1	2	80	0.025	
	2003	12	2	1	19	0.05263158	
	2003	13	1	0	109	0	
	2003	13	2	0	30	0	
	2003	14	1	2	150	0.01333333	
	2003	14	2	0	44	0	
	2003	15	1	7	159	0.04402516	
	2003	15	2	3	60	0.05	
	2003	16	1	5	139	0.03597122	
	2003	16	2	6	93	0.06451613	
	2003	17	1	3	92	0.0326087	
	2003	17	2	4	96	0.04166667	
	2003	18	1	2	44	0.04545455	
	2003	18	2	3	74	0.04054054	
	2003	19	1	2	19	0.1052632	
	2003	19	2	2	37	0.05405405	
	2003	20	1	0	4	0	
	2003	20	2	1	4	0.25	
	2004	1	1	0	1	0	
	2004	1	2	0	3	0	
	2004	2	1	0	2	0	
	2004	2	2	0	1	0	
	2004	3	1	0	1	0	
	2004	4	1	0	2	0	
	2004	5	2	0	2	0	
	2004	6	1	0	3	0	
	2004	6	2	0	1	0	
	2004	8	1	0	9	0	
	2004	8	2	0	5	0	
	2004	9	1	0	11	0	
	2004	9	2	0	13	0	
	2004	10	1	0	19	0	
	2004	10	2	0	7	0	
	2004	11	1	0	57	0	
	2004	11	2	0	7	0	
	2004	12	1	1	83	0.01204819	
	2004	12	2	1	21	0.04761905	
	2004	13	1	1	120	0.008333333	
	2004	13	2	0	32	0	
	2004	14	1	4	134	0.02985075	
	2004	14	2	2	34	0.05882353	
	2004	15	1	6	172	0.03488372	
	2004	15	2	1	62	0.01612903	
	2004	16	1	4	178	0.02247191	
	2004	16	2	3	97	0.03092784	
	2004	17	1	9	110	0.08181818	
	2004	17	2	2	103	0.01941748	
	2004	18	1	1	57	0.01754386	
	2004	18	2	4	68	0.05882353	
	2004	19	1	1	22	0.04545455	
	2004	19	2	0	22	0	
	2004	20	1	0	7	0	
