
	F.4.2.M Amputation untere Extremität, kein Trauma, Mortalität // Amputation non traumatique de membre inférieur, mortalité // Amputazione non traumatica delle estremità inferiori, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	4	1	0	1	0	
	1998	4	2	0	1	0	
	1998	6	1	0	1	0	
	1998	6	2	0	1	0	
	1998	7	2	1	2	0.5	
	1998	8	1	0	3	0	
	1998	9	1	0	5	0	
	1998	9	2	0	1	0	
	1998	10	1	0	7	0	
	1998	10	2	0	1	0	
	1998	11	1	0	12	0	
	1998	11	2	0	2	0	
	1998	12	1	1	17	0.05882353	
	1998	12	2	0	7	0	
	1998	13	1	2	28	0.07142857	
	1998	13	2	0	5	0	
	1998	14	1	2	36	0.05555556	
	1998	14	2	1	8	0.125	
	1998	15	1	4	50	0.08	
	1998	15	2	8	28	0.2857143	
	1998	16	1	5	44	0.1136364	
	1998	16	2	4	26	0.1538462	
	1998	17	1	7	35	0.2	
	1998	17	2	1	30	0.03333333	
	1998	18	1	1	23	0.04347826	
	1998	18	2	6	25	0.24	
	1998	19	1	0	2	0	
	1998	19	2	1	14	0.07142857	
	1998	20	1	0	3	0	
	1998	20	2	0	3	0	
	1999	2	2	0	1	0	
	1999	3	1	0	1	0	
	1999	4	1	0	2	0	
	1999	5	1	0	1	0	
	1999	5	2	0	2	0	
	1999	6	2	0	1	0	
	1999	7	1	0	3	0	
	1999	7	2	0	1	0	
	1999	9	1	0	1	0	
	1999	9	2	0	2	0	
	1999	10	1	0	9	0	
	1999	11	1	0	12	0	
	1999	11	2	0	4	0	
	1999	12	1	1	15	0.06666667	
	1999	12	2	0	7	0	
	1999	13	1	3	28	0.1071429	
	1999	13	2	1	9	0.1111111	
	1999	14	1	7	53	0.1320755	
	1999	14	2	4	23	0.173913	
	1999	15	1	10	54	0.1851852	
	1999	15	2	3	30	0.1	
	1999	16	1	4	58	0.06896552	
	1999	16	2	6	43	0.1395349	
	1999	17	1	4	36	0.1111111	
	1999	17	2	7	41	0.1707317	
	1999	18	1	4	35	0.1142857	
	1999	18	2	7	50	0.14	
	1999	19	1	3	10	0.3	
	1999	19	2	4	19	0.2105263	
	1999	20	1	0	2	0	
	1999	20	2	0	3	0	
	2000	1	2	0	1	0	
	2000	2	1	0	1	0	
	2000	3	2	0	1	0	
	2000	4	1	0	1	0	
	2000	4	2	0	1	0	
	2000	6	2	0	1	0	
	2000	7	2	0	2	0	
	2000	8	1	0	2	0	
	2000	9	1	1	7	0.1428571	
	2000	9	2	0	1	0	
	2000	10	1	0	13	0	
	2000	10	2	0	2	0	
	2000	11	1	0	13	0	
	2000	11	2	0	5	0	
	2000	12	1	3	29	0.1034483	
	2000	12	2	0	2	0	
	2000	13	1	0	33	0	
	2000	13	2	2	10	0.2	
	2000	14	1	7	46	0.1521739	
	2000	14	2	2	17	0.1176471	
	2000	15	1	8	59	0.1355932	
	2000	15	2	2	28	0.07142857	
	2000	16	1	11	82	0.1341463	
	2000	16	2	5	33	0.1515152	
	2000	17	1	3	57	0.05263158	
	2000	17	2	8	49	0.1632653	
	2000	18	1	1	33	0.03030303	
