
	G.1.3.P Anteil vaginale Geburten mit Episiotomie // Accouchements par voie vaginale avec épisiotomie, pourcentage // Parti vaginali con episiotomia, percentuale
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	CasesCH	CasesCHDen	pCH	
	1998	13635	31933	42.69878	
	1999	16579	41803	39.65983	
	2000	17556	45313	38.74385	
	2001	17584	49038	35.85791	
	2002	16894	50833	33.23432	
	2003	15522	49817	31.15804	
	2004	15471	51147	30.24811	
	2005	14994	51084	29.35166	
	2006	14226	50329	28.26601	
	2007	14704	49936	29.44569	
	2008	14883	51150	29.09677	
	2009	15103	52318	28.86769	
	2010	15072	53950	27.93698	
	2011	14223	53820	26.42698	
	2012	13521	54876	24.63919	
	2013	12688	55360	22.91908	

