
	G.1.4.P Anteil Kaiserschnitt (Sectio) // Césariennes, pourcentage // Parti cesarei, percentuale
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	CasesCH	CasesCHDen	pCH	
	1998	8752	40685	21.51161	
	1999	12773	54576	23.40406	
	2000	14546	59859	24.30044	
	2001	16826	65864	25.54658	
	2002	18368	69201	26.54297	
	2003	19728	69545	28.36724	
	2004	20299	71446	28.41167	
	2005	21141	72225	29.27103	
	2006	22500	72829	30.89429	
	2007	23483	73419	31.98491	
	2008	24914	76064	32.754	
	2009	25158	77476	32.47199	
	2010	26041	79991	32.55491	
	2011	26515	80335	33.00554	
	2012	27112	81988	33.06825	
	2013	27316	82676	33.03982	

