
	G.3.1.M Hysterektomie bei gutartigen Erkrankungen (Alter >14), Mortalität // Hystérectomie pour affections bénignes (âge >14), mortalité // Isterectomia per malattie benigne (età >14), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	5	2	0	5	0	
	1998	6	2	0	35	0	
	1998	7	2	0	259	0	
	1998	8	1	0	2	0	
	1998	8	2	0	773	0	
	1998	9	1	0	1	0	
	1998	9	2	0	1279	0	
	1998	10	1	0	1	0	
	1998	10	2	0	1417	0	
	1998	11	1	0	1	0	
	1998	11	2	0	1005	0	
	1998	12	1	0	1	0	
	1998	12	2	0	510	0	
	1998	13	2	0	341	0	
	1998	14	1	0	1	0	
	1998	14	2	0	332	0	
	1998	15	2	0	270	0	
	1998	16	1	0	2	0	
	1998	16	2	1	196	0.005102041	
	1998	17	2	2	103	0.01941748	
	1998	18	1	1	1	1	
	1998	18	2	0	28	0	
	1998	19	2	0	3	0	
	1999	4	2	0	3	0	
	1999	5	2	0	4	0	
	1999	6	2	0	48	0	
	1999	7	1	0	2	0	
	1999	7	2	0	332	0	
	1999	8	2	0	1011	0	
	1999	9	1	0	4	0	
	1999	9	2	1	1723	0.0005803831	
	1999	10	2	0	1857	0	
	1999	11	1	0	4	0	
	1999	11	2	1	1347	0.0007423905	
	1999	12	1	0	1	0	
	1999	12	2	0	750	0	
	1999	13	1	0	4	0	
	1999	13	2	0	479	0	
	1999	14	1	0	2	0	
	1999	14	2	0	414	0	
	1999	15	2	1	333	0.003003003	
	1999	16	2	0	257	0	
	1999	17	2	0	107	0	
	1999	18	2	2	53	0.03773585	
	1999	19	2	0	3	0	
	2000	4	2	0	4	0	
	2000	5	2	0	2	0	
	2000	6	1	0	1	0	
	2000	6	2	0	42	0	
	2000	7	2	0	330	0	
	2000	8	2	1	1046	0.0009560229	
	2000	9	1	0	1	0	
	2000	9	2	0	1846	0	
	2000	10	1	0	1	0	
	2000	10	2	2	2003	0.0009985022	
	2000	11	2	1	1378	0.0007256894	
	2000	12	1	0	2	0	
	2000	12	2	1	800	0.00125	
	2000	13	2	2	554	0.003610108	
	2000	14	2	1	452	0.002212389	
	2000	15	2	0	403	0	
	2000	16	1	0	1	0	
	2000	16	2	0	298	0	
	2000	17	2	0	130	0	
	2000	18	1	0	1	0	
	2000	18	2	0	51	0	
	2000	19	2	1	8	0.125	
	2000	20	2	1	2	0.5	
	2001	5	2	0	3	0	
	2001	6	1	0	1	0	
	2001	6	2	0	64	0	
	2001	7	2	0	356	0	
	2001	8	1	0	3	0	
	2001	8	2	0	1180	0	
	2001	9	1	0	2	0	
	2001	9	2	0	2096	0	
	2001	10	2	0	2166	0	
	2001	11	1	0	1	0	
	2001	11	2	1	1482	0.0006747638	
	2001	12	1	0	3	0	
	2001	12	2	0	817	0	
	2001	13	2	0	583	0	
	2001	14	2	1	469	0.002132196	
	2001	15	2	0	411	0	
	2001	16	2	1	313	0.003194888	
	2001	17	2	1	143	0.006993007	
	2001	18	2	0	47	0	
	2001	19	2	0	9	0	
	2002	4	2	0	2	0	
	2002	5	2	0	7	0	
	2002	6	2	0	50	0	
	2002	7	1	0	1	0	
	2002	7	2	0	358	0	
	2002	8	2	1	1182	0.0008460237	
	2002	9	1	0	1	0	
	2002	9	2	1	2172	0.0004604052	
	2002	10	1	0	1	0	
	2002	10	2	0	2399	0	
	2002	11	1	0	1	0	
	2002	11	2	0	1524	0	
	2002	12	2	0	816	0	
	2002	13	2	1	573	0.001745201	
	2002	14	1	0	1	0	
	2002	14	2	0	559	0	
	2002	15	2	0	468	0	
	2002	16	1	0	1	0	
	2002	16	2	0	358	0	
	2002	17	2	1	164	0.006097561	
	2002	18	2	1	62	0.01612903	
	2002	19	2	0	12	0	
	2003	4	2	0	1	0	
	2003	5	2	0	10	0	
	2003	6	2	0	59	0	
	2003	7	2	0	302	0	
	2003	8	1	0	1	0	
	2003	8	2	0	1174	0	
	2003	9	2	0	2120	0	
	2003	10	1	0	1	0	
	2003	10	2	0	2219	0	
	2003	11	1	0	1	0	
	2003	11	2	0	1342	0	
	2003	12	1	0	2	0	
	2003	12	2	0	763	0	
	2003	13	2	1	572	0.001748252	
	2003	14	2	0	492	0	
	2003	15	1	0	1	0	
	2003	15	2	2	455	0.004395604	
	2003	16	2	2	365	0.005479452	
	2003	17	2	1	168	0.005952381	
	2003	18	2	0	48	0	
	2003	19	2	2	11	0.1818182	
	2003	20	2	0	1	0	
	2004	4	2	0	2	0	
	2004	5	1	0	1	0	
	2004	5	2	0	5	0	
	2004	6	2	0	51	0	
	2004	7	2	2	284	0.007042254	
	2004	8	1	0	2	0	
	2004	8	2	0	1142	0	
	2004	9	2	0	2265	0	
	2004	10	2	0	2471	0	
	2004	11	2	0	1459	0	
	2004	12	2	0	750	0	
	2004	13	1	0	1	0	
	2004	13	2	0	493	0	
	2004	14	2	0	500	0	
	2004	15	1	0	1	0	
	2004	15	2	1	466	0.002145923	
	2004	16	2	0	346	0	
	2004	17	2	2	183	0.01092896	
	2004	18	2	0	60	0	
	2004	19	2	0	14	0	
	2004	20	2	0	1	0	
	2005	5	2	0	17	0	
	2005	6	2	0	59	0	
	2005	7	2	0	251	0	
	2005	8	2	1	995	0.001005025	
	2005	9	2	0	2209	0	
	2005	10	2	1	2452	0.0004078303	
	2005	11	2	2	1364	0.001466276	
	2005	12	2	0	691	0	
	2005	13	2	0	565	0	
	2005	14	2	1	481	0.002079002	
	2005	15	2	0	416	0	
	2005	16	2	0	320	0	
	2005	17	2	1	183	0.005464481	
	2005	18	2	2	55	0.03636364	
