
	H.1.1.M Vollständige Nephrektomie, Mortalität // Néphrectomie totale, mortalité // Nefrectomia completa, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	1	1	0	11	0	
	1998	1	2	0	5	0	
	1998	2	1	0	5	0	
	1998	3	1	0	1	0	
	1998	4	1	0	3	0	
	1998	4	2	0	3	0	
	1998	5	1	0	2	0	
	1998	5	2	0	6	0	
	1998	6	1	0	3	0	
	1998	6	2	0	6	0	
	1998	7	1	0	2	0	
	1998	7	2	0	8	0	
	1998	8	1	0	10	0	
	1998	8	2	0	10	0	
	1998	9	1	0	12	0	
	1998	9	2	0	14	0	
	1998	10	1	0	16	0	
	1998	10	2	0	13	0	
	1998	11	1	0	29	0	
	1998	11	2	0	22	0	
	1998	12	1	0	41	0	
	1998	12	2	0	23	0	
	1998	13	1	0	42	0	
	1998	13	2	0	28	0	
	1998	14	1	1	65	0.01538462	
	1998	14	2	0	29	0	
	1998	15	1	0	43	0	
	1998	15	2	0	40	0	
	1998	16	1	0	37	0	
	1998	16	2	0	33	0	
	1998	17	1	0	21	0	
	1998	17	2	0	13	0	
	1998	18	1	0	10	0	
	1998	18	2	2	9	0.2222222	
	1998	19	1	0	1	0	
	1999	1	1	1	13	0.07692308	
	1999	1	2	0	5	0	
	1999	2	1	0	1	0	
	1999	2	2	0	1	0	
	1999	4	1	0	2	0	
	1999	4	2	0	3	0	
	1999	5	1	0	4	0	
	1999	5	2	0	4	0	
	1999	6	1	0	4	0	
	1999	6	2	0	8	0	
	1999	7	1	0	9	0	
	1999	7	2	0	11	0	
	1999	8	1	0	7	0	
	1999	8	2	0	9	0	
	1999	9	1	0	6	0	
	1999	9	2	1	14	0.07142857	
	1999	10	1	1	24	0.04166667	
	1999	10	2	0	17	0	
	1999	11	1	1	29	0.03448276	
	1999	11	2	2	18	0.1111111	
