
	H.1.1.M Vollständige Nephrektomie, Mortalität // Néphrectomie totale, mortalité // Nefrectomia completa, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	DeathCH	CasesCH	pCH	
	1998	3	616	0.487013	
	1999	14	684	2.046784	
	2000	17	740	2.297297	
	2001	8	887	0.9019166	
	2002	11	954	1.15304	
	2003	16	931	1.718582	
	2004	6	940	0.6382979	
	2005	11	1037	1.060752	
	2006	13	1060	1.226415	
	2007	17	1069	1.590271	
	2008	17	1092	1.556777	
	2009	19	894	2.12528	
	2010	16	989	1.617796	
	2011	8	984	0.8130081	
	2012	16	971	1.647786	
	2013	20	950	2.105263	

