
	H.3.5.M Entfernung der Harnblase (Zystektomie), Mortalität // Ablation de la vessie (cystectomie), mortalité // Asportazione della vescica (cistectomia), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	1	2	0	1	0	
	1998	2	1	0	1	0	
	1998	6	2	0	1	0	
	1998	7	2	0	1	0	
	1998	8	2	0	2	0	
	1998	9	2	0	1	0	
	1998	10	1	0	6	0	
	1998	10	2	0	2	0	
	1998	11	1	0	8	0	
	1998	11	2	0	4	0	
	1998	12	1	0	8	0	
	1998	12	2	0	6	0	
	1998	13	1	0	25	0	
	1998	13	2	1	6	0.1666667	
	1998	14	1	1	35	0.02857143	
	1998	14	2	0	9	0	
	1998	15	1	0	30	0	
	1998	15	2	0	14	0	
	1998	16	1	0	27	0	
	1998	16	2	0	8	0	
	1998	17	1	1	9	0.1111111	
	1998	17	2	0	2	0	
	1998	18	1	0	1	0	
	1999	2	1	0	2	0	
	1999	5	2	0	1	0	
	1999	7	2	0	1	0	
	1999	8	1	0	1	0	
	1999	8	2	0	1	0	
	1999	10	1	0	4	0	
	1999	10	2	0	2	0	
	1999	11	1	0	12	0	
	1999	11	2	0	4	0	
	1999	12	1	0	20	0	
	1999	12	2	0	2	0	
	1999	13	1	1	31	0.03225806	
	1999	13	2	0	6	0	
	1999	14	1	0	38	0	
	1999	14	2	0	7	0	
	1999	15	1	1	43	0.02325581	
	1999	15	2	1	7	0.1428571	
	1999	16	1	1	23	0.04347826	
	1999	16	2	1	12	0.08333333	
	1999	17	1	0	4	0	
	1999	17	2	0	5	0	
	1999	18	1	0	1	0	
	2000	4	1	0	1	0	
	2000	5	1	0	1	0	
	2000	6	2	0	1	0	
	2000	7	1	0	1	0	
	2000	9	1	0	2	0	
	2000	9	2	0	5	0	
	2000	10	1	0	1	0	
	2000	10	2	0	2	0	
	2000	11	1	0	14	0	
	2000	11	2	0	4	0	
	2000	12	1	0	18	0	
	2000	12	2	0	3	0	
	2000	13	1	0	28	0	
	2000	13	2	0	5	0	
	2000	14	1	0	36	0	
	2000	14	2	0	12	0	
	2000	15	1	0	33	0	
	2000	15	2	0	18	0	
	2000	16	1	2	34	0.05882353	
	2000	16	2	0	7	0	
	2000	17	1	0	14	0	
	2000	17	2	2	5	0.4	
	2000	18	1	0	2	0	
	2000	19	1	0	2	0	
	2001	1	1	0	1	0	
	2001	3	1	0	1	0	
	2001	4	1	0	1	0	
	2001	5	2	1	2	0.5	
	2001	6	1	0	1	0	
	2001	6	2	0	3	0	
	2001	7	1	0	3	0	
	2001	7	2	0	1	0	
	2001	8	1	0	2	0	
	2001	9	1	0	3	0	
	2001	9	2	0	2	0	
	2001	10	1	0	7	0	
	2001	10	2	0	5	0	
	2001	11	1	1	12	0.08333333	
	2001	11	2	0	5	0	
	2001	12	1	2	33	0.06060606	
	2001	12	2	0	14	0	
	2001	13	1	0	33	0	
	2001	13	2	0	4	0	
	2001	14	1	1	34	0.02941176	
	2001	14	2	0	14	0	
	2001	15	1	3	53	0.05660377	
	2001	15	2	1	18	0.05555556	
	2001	16	1	0	38	0	
	2001	16	2	2	14	0.1428571	
	2001	17	1	0	13	0	
	2001	17	2	0	5	0	
	2001	18	1	0	3	0	
	2001	18	2	0	3	0	
	2001	19	2	0	1	0	
	2002	3	2	0	1	0	
	2002	4	1	0	1	0	
	2002	4	2	0	1	0	
	2002	6	1	0	1	0	
	2002	7	2	0	1	0	
	2002	8	1	0	2	0	
	2002	8	2	0	1	0	
	2002	9	1	0	4	0	
	2002	9	2	0	1	0	
	2002	10	1	1	7	0.1428571	
	2002	10	2	0	5	0	
	2002	11	1	0	13	0	
	2002	11	2	0	1	0	
	2002	12	1	0	34	0	
	2002	12	2	0	8	0	
	2002	13	1	1	34	0.02941176	
	2002	13	2	0	13	0	
	2002	14	1	1	30	0.03333333	
	2002	14	2	0	12	0	
	2002	15	1	2	45	0.04444444	
	2002	15	2	0	17	0	
	2002	16	1	4	32	0.125	
	2002	16	2	0	8	0	
	2002	17	1	0	7	0	
	2002	17	2	0	5	0	
	2002	18	1	0	6	0	
	2002	18	2	0	2	0	
	2002	19	2	0	1	0	
	2003	1	1	0	1	0	
	2003	5	1	0	1	0	
	2003	5	2	0	1	0	
	2003	6	1	0	1	0	
	2003	6	2	0	1	0	
	2003	8	1	0	1	0	
	2003	8	2	0	1	0	
	2003	9	1	0	3	0	
	2003	9	2	0	2	0	
	2003	10	1	0	10	0	
	2003	10	2	0	2	0	
	2003	11	1	0	15	0	
	2003	11	2	0	9	0	
	2003	12	1	0	32	0	
	2003	12	2	0	5	0	
	2003	13	1	1	38	0.02631579	
	2003	13	2	0	14	0	
	2003	14	1	1	41	0.02439024	
	2003	14	2	0	14	0	
	2003	15	1	2	45	0.04444444	
	2003	15	2	1	17	0.05882353	
	2003	16	1	1	28	0.03571429	
	2003	16	2	0	12	0	
	2003	17	1	0	16	0	
	2003	17	2	1	14	0.07142857	
	2003	18	1	0	6	0	
	2003	18	2	0	1	0	
	2003	19	1	0	1	0	
	2004	5	2	0	1	0	
	2004	7	2	0	2	0	
	2004	8	1	0	4	0	
	2004	8	2	0	1	0	
	2004	9	1	0	3	0	
	2004	9	2	0	1	0	
	2004	10	1	0	9	0	
	2004	10	2	0	5	0	
	2004	11	1	0	23	0	
	2004	11	2	0	7	0	
	2004	12	1	0	29	0	
	2004	12	2	0	9	0	
	2004	13	1	0	30	0	
	2004	13	2	0	11	0	
	2004	14	1	1	39	0.02564103	
	2004	14	2	0	9	0	
