
	H.3.6.M Eviszeration des Beckens bei Mann oder Frau, Mortalität // Eviscération pelvienne chez l’homme ou la femme, mortalité // Eviscerazione pelvica nell'uomo o nella donna, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	7	2	0	1	0	
	1998	9	2	0	2	0	
	1998	11	2	0	3	0	
	1998	14	2	0	5	0	
	1998	16	2	0	3	0	
	1998	17	2	0	1	0	
	1999	7	2	0	3	0	
	1999	8	2	0	2	0	
	1999	9	2	0	1	0	
	1999	10	2	0	1	0	
	1999	11	2	0	4	0	
	1999	13	2	0	2	0	
	1999	14	2	0	2	0	
	1999	15	2	0	3	0	
	1999	18	2	0	1	0	
	1999	19	2	0	1	0	
	2000	7	2	0	1	0	
	2000	8	2	0	2	0	
	2000	9	2	0	2	0	
	2000	10	2	0	1	0	
	2000	11	2	0	1	0	
	2000	12	2	0	5	0	
	2000	13	2	0	1	0	
	2000	14	2	0	1	0	
	2000	15	2	1	2	0.5	
	2000	16	2	0	2	0	
	2000	17	2	0	1	0	
	2001	5	2	0	2	0	
	2001	6	2	0	2	0	
	2001	7	2	0	1	0	
	2001	8	2	0	2	0	
	2001	9	2	0	1	0	
	2001	10	2	0	1	0	
	2001	11	2	1	2	0.5	
	2001	14	2	0	2	0	
	2001	15	2	0	1	0	
	2001	16	2	0	1	0	
	2001	17	2	0	1	0	
	2002	5	2	0	1	0	
	2002	6	2	0	3	0	
	2002	7	2	0	3	0	
	2002	8	2	0	3	0	
	2002	9	2	0	1	0	
	2002	10	2	0	2	0	
	2002	11	2	0	1	0	
	2002	12	2	0	1	0	
	2002	15	2	0	3	0	
	2002	16	2	0	2	0	
	2003	7	2	0	2	0	
	2003	8	2	0	2	0	
	2003	9	2	0	3	0	
	2003	11	2	0	1	0	
	2003	13	2	0	2	0	
	2003	14	2	0	1	0	
	2003	15	2	0	1	0	
	2003	17	2	0	1	0	
	2004	6	2	0	2	0	
	2004	7	2	0	5	0	
	2004	11	2	0	3	0	
	2004	12	2	1	4	0.25	
	2004	13	2	0	1	0	
	2004	14	2	1	5	0.2	
	2004	15	2	0	2	0	
	2004	16	2	0	3	0	
	2004	18	2	1	2	0.5	
	2005	6	2	0	1	0	
	2005	7	2	0	3	0	
	2005	8	2	0	5	0	
	2005	10	2	0	4	0	
	2005	11	2	0	2	0	
	2005	13	2	0	1	0	
	2005	14	2	0	3	0	
	2005	15	2	0	3	0	
	2005	16	2	0	4	0	
	2005	17	2	1	1	1	
	2006	6	2	0	1	0	
	2006	7	2	0	1	0	
	2006	8	2	0	3	0	
	2006	11	2	0	5	0	
	2006	12	2	0	1	0	
	2006	13	2	0	1	0	
	2006	14	2	0	2	0	
	2006	15	2	0	2	0	
	2006	16	2	0	2	0	
	2006	17	2	0	1	0	
	2007	5	2	0	1	0	
	2007	7	2	0	2	0	
	2007	9	2	0	2	0	
	2007	10	2	0	2	0	
	2007	12	2	0	2	0	
	2007	13	2	1	8	0.125	
	2007	14	2	0	2	0	
	2007	15	2	1	4	0.25	
	2007	16	2	0	1	0	
	2007	17	2	0	1	0	
	2007	18	2	0	1	0	
	2008	10	2	0	3	0	
	2008	11	2	0	3	0	
	2008	12	2	0	4	0	
	2008	13	2	0	2	0	
	2008	14	2	0	1	0	
	2008	15	2	0	8	0	
	2008	16	2	0	2	0	
	2008	17	2	0	3	0	
	2009	6	2	0	1	0	
	2009	8	2	0	2	0	
	2009	11	2	0	4	0	
	2009	12	2	0	4	0	
	2009	13	2	0	3	0	
	2009	14	2	0	3	0	
	2009	15	2	1	1	1	
	2009	16	2	0	3	0	
	2009	17	2	0	1	0	
	2010	10	2	0	1	0	
	2010	11	2	0	1	0	
	2010	12	2	0	2	0	
	2010	13	2	0	3	0	
	2010	14	2	0	4	0	
	2010	15	2	0	5	0	
	2010	16	2	0	5	0	
	2010	17	2	0	2	0	
	2010	18	2	0	1	0	
	2011	7	2	0	3	0	
	2011	8	2	0	1	0	
	2011	9	2	0	1	0	
	2011	10	2	0	1	0	
	2011	11	1	0	1	0	
	2011	11	2	0	3	0	
	2011	12	1	0	1	0	
	2011	12	2	0	2	0	
	2011	13	1	0	1	0	
	2011	13	2	0	7	0	
	2011	14	1	0	1	0	
	2011	14	2	1	3	0.3333333	
	2011	15	2	1	1	1	
	2011	16	1	0	4	0	
	2011	16	2	0	1	0	
	2011	17	1	1	2	0.5	
	2011	17	2	1	2	0.5	
	2011	18	2	0	1	0	
	2012	8	2	0	1	0	
	2012	9	2	0	1	0	
	2012	11	1	0	1	0	
	2012	12	1	0	1	0	
	2012	12	2	0	2	0	
	2012	13	1	0	4	0	
	2012	13	2	0	5	0	
	2012	14	1	0	4	0	
	2012	14	2	0	9	0	
	2012	15	1	0	3	0	
	2012	15	2	0	5	0	
	2012	16	1	1	5	0.2	
	2012	16	2	0	3	0	
	2012	17	1	1	6	0.1666667	
	2012	17	2	0	5	0	
	2012	18	2	0	1	0	
	2013	7	2	0	1	0	
	2013	8	1	0	1	0	
	2013	9	2	1	2	0.5	
	2013	10	1	0	2	0	
	2013	10	2	0	5	0	
	2013	11	2	0	3	0	
	2013	12	1	0	2	0	
	2013	12	2	0	6	0	
	2013	13	1	0	2	0	
	2013	13	2	0	3	0	
	2013	14	1	0	5	0	
	2013	14	2	0	10	0	
	2013	15	1	0	3	0	
	2013	15	2	0	9	0	
	2013	16	1	0	2	0	
	2013	16	2	0	9	0	
	2013	17	1	0	1	0	
	2013	17	2	0	5	0	
	2013	18	2	0	1	0	

