
	H.4.1.M Prostata­TUR, Mortalität // RTU de prostate, mortalité // TUR della prostata, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	7	1	0	2	0	
	1998	7	2	0	1	0	
	1998	8	1	0	8	0	
	1998	9	1	0	3	0	
	1998	10	1	0	31	0	
	1998	11	1	0	180	0	
	1998	12	1	0	393	0	
	1998	12	2	0	1	0	
	1998	13	1	0	700	0	
	1998	13	2	0	2	0	
	1998	14	1	0	1061	0	
	1998	14	2	0	2	0	
	1998	15	1	1	1073	0.0009319664	
	1998	15	2	0	4	0	
	1998	16	1	6	1049	0.005719733	
	1998	16	2	0	3	0	
	1998	17	1	5	660	0.007575758	
	1998	17	2	0	5	0	
	1998	18	1	3	305	0.009836066	
	1998	19	1	0	42	0	
	1998	20	1	0	3	0	
	1999	1	1	0	1	0	
	1999	1	2	0	1	0	
	1999	4	2	0	1	0	
	1999	6	1	0	3	0	
	1999	6	2	0	1	0	
	1999	7	2	0	1	0	
	1999	8	1	0	8	0	
	1999	9	1	0	10	0	
	1999	9	2	0	1	0	
	1999	10	1	0	43	0	
	1999	11	1	0	199	0	
	1999	11	2	0	2	0	
	1999	12	1	0	480	0	
	1999	12	2	0	4	0	
	1999	13	1	0	843	0	
	1999	13	2	1	3	0.3333333	
	1999	14	1	2	1238	0.001615509	
	1999	14	2	0	3	0	
	1999	15	1	3	1333	0.002250563	
	1999	15	2	0	6	0	
	1999	16	1	5	1207	0.004142502	
	1999	16	2	1	4	0.25	
	1999	17	1	1	783	0.001277139	
	1999	17	2	0	1	0	
	1999	18	1	0	356	0	
	1999	19	1	0	86	0	
	1999	20	1	0	8	0	
	2000	1	1	0	1	0	
	2000	1	2	0	1	0	
	2000	6	1	0	1	0	
	2000	7	1	0	2	0	
	2000	7	2	0	2	0	
	2000	8	1	0	9	0	
	2000	9	1	0	13	0	
	2000	10	1	0	43	0	
	2000	11	1	2	186	0.01075269	
	2000	12	1	0	543	0	
	2000	12	2	0	1	0	
	2000	13	1	0	846	0	
	2000	13	2	0	1	0	
	2000	14	1	2	1131	0.001768347	
	2000	14	2	0	3	0	
	2000	15	1	2	1389	0.001439885	
	2000	15	2	0	3	0	
	2000	16	1	3	1222	0.002454992	
	2000	16	2	0	5	0	
	2000	17	1	1	741	0.001349528	
	2000	17	2	0	1	0	
	2000	18	1	1	346	0.002890173	
	2000	18	2	0	1	0	
	2000	19	1	2	72	0.02777778	
	2000	20	1	0	5	0	
	2001	5	1	0	1	0	
	2001	7	1	0	2	0	
	2001	8	1	0	9	0	
	2001	9	1	0	13	0	
	2001	10	1	0	44	0	
	2001	10	2	0	1	0	
	2001	11	1	0	181	0	
	2001	12	1	0	574	0	
	2001	12	2	0	1	0	
	2001	13	1	0	902	0	
	2001	14	1	1	1281	0.0007806401	
	2001	14	2	0	2	0	
	2001	15	1	2	1431	0.001397624	
	2001	15	2	0	1	0	
	2001	16	1	5	1332	0.003753754	
	2001	16	2	0	3	0	
	2001	17	1	6	850	0.007058824	
	2001	17	2	0	1	0	
	2001	18	1	0	350	0	
	2001	19	1	1	70	0.01428571	
	2001	20	1	0	10	0	
	2002	6	1	0	2	0	
	2002	7	1	0	1	0	
	2002	8	1	0	1	0	
	2002	9	1	0	14	0	
	2002	9	2	0	1	0	
	2002	10	1	0	55	0	
	2002	11	1	0	185	0	
	2002	12	1	0	624	0	
	2002	13	1	0	967	0	
	2002	13	2	0	1	0	
	2002	14	1	2	1311	0.001525553	
	2002	14	2	0	1	0	
	2002	15	1	1	1560	0.0006410256	
	2002	15	2	0	2	0	
	2002	16	1	7	1395	0.005017921	
	2002	16	2	0	1	0	
	2002	17	1	2	900	0.002222222	
	2002	18	1	2	370	0.005405405	
	2002	19	1	0	74	0	
	2002	20	1	0	10	0	
	2003	4	1	0	1	0	
	2003	5	1	0	2	0	
	2003	5	2	0	1	0	
	2003	6	1	0	4	0	
	2003	7	1	0	4	0	
	2003	8	1	0	6	0	
	2003	9	1	0	8	0	
	2003	10	1	0	63	0	
	2003	10	2	0	1	0	
	2003	11	1	0	196	0	
	2003	12	1	0	589	0	
	2003	12	2	0	4	0	
	2003	13	1	0	1025	0	
	2003	14	1	3	1377	0.002178649	
	2003	14	2	0	2	0	
	2003	15	1	4	1521	0.002629849	
	2003	15	2	0	3	0	
	2003	16	1	1	1443	0.0006930007	
	2003	16	2	0	1	0	
	2003	17	1	3	986	0.003042596	
	2003	17	2	0	1	0	
	2003	18	1	5	357	0.0140056	
	2003	19	1	1	110	0.009090909	
	2003	20	1	0	5	0	
	2004	5	1	0	1	0	
	2004	6	1	0	1	0	
	2004	7	1	0	2	0	
	2004	8	1	0	5	0	
	2004	9	1	0	11	0	
	2004	10	1	0	50	0	
	2004	10	2	0	1	0	
	2004	11	1	0	184	0	
	2004	11	2	0	1	0	
	2004	12	1	0	671	0	
	2004	13	1	1	1082	0.0009242144	
	2004	14	1	1	1339	0.000746826	
	2004	14	2	0	2	0	
	2004	15	1	0	1524	0	
	2004	15	2	0	1	0	
	2004	16	1	3	1402	0.0021398	
	2004	16	2	0	2	0	
	2004	17	1	5	955	0.005235602	
	2004	18	1	1	389	0.002570694	
	2004	19	1	0	105	0	
	2004	20	1	0	8	0	
	2005	1	1	0	1	0	
	2005	6	1	0	1	0	
	2005	7	1	0	2	0	
	2005	8	1	0	5	0	
	2005	9	1	0	17	0	
	2005	10	1	0	57	0	
	2005	11	1	0	258	0	
	2005	12	1	0	690	0	
	2005	13	1	2	1254	0.001594896	
	2005	14	1	1	1511	0.0006618134	
	2005	15	1	2	1732	0.001154734	
	2005	15	2	0	2	0	
	2005	16	1	6	1574	0.003811944	
	2005	16	2	0	2	0	
	2005	17	1	3	1092	0.002747253	
	2005	18	1	1	421	0.002375297	
	2005	19	1	1	108	0.009259259	
	2005	20	1	0	9	0	
	2006	6	1	0	1	0	
	2006	7	1	0	1	0	
	2006	8	1	0	5	0	
	2006	9	1	0	21	0	
	2006	10	1	0	73	0	
	2006	10	2	0	1	0	
	2006	11	1	0	250	0	
	2006	12	1	0	701	0	
	2006	13	1	1	1330	0.0007518797	
	2006	14	1	2	1531	0.001306336	
	2006	15	1	2	1747	0.00114482	
	2006	16	1	2	1593	0.001255493	
	2006	17	1	6	1173	0.00511509	
	2006	17	2	0	1	0	
	2006	18	1	4	491	0.00814664	
	2006	19	1	2	105	0.01904762	
	2006	20	1	0	16	0	
	2007	6	1	0	1	0	
	2007	7	1	0	1	0	
	2007	8	1	0	5	0	
	2007	9	1	0	13	0	
	2007	10	1	0	56	0	
	2007	11	1	0	246	0	
	2007	12	1	1	717	0.0013947	
	2007	13	1	0	1402	0	
	2007	14	1	1	1735	0.0005763689	
	2007	15	1	2	1854	0.001078749	
	2007	15	2	0	1	0	
	2007	16	1	5	1677	0.002981515	
	2007	17	1	6	1200	0.005	
	2007	18	1	5	529	0.009451796	
	2007	19	1	1	109	0.009174312	
	2007	20	1	0	10	0	
	2008	5	1	0	1	0	
	2008	6	1	0	1	0	
	2008	7	1	0	2	0	
	2008	8	1	0	11	0	
	2008	9	1	0	15	0	
	2008	10	1	0	78	0	
	2008	11	1	0	245	0	
	2008	11	2	0	1	0	
	2008	12	1	0	707	0	
	2008	13	1	3	1406	0.002133713	
	2008	14	1	2	1712	0.001168224	
	2008	15	1	0	1707	0	
	2008	16	1	1	1616	0.0006188119	
	2008	17	1	7	1142	0.006129597	
	2008	18	1	4	558	0.007168459	
	2008	19	1	4	116	0.03448276	
	2008	20	1	0	16	0	
	2009	4	1	0	2	0	
	2009	6	1	0	1	0	
	2009	7	1	0	1	0	
	2009	8	1	0	2	0	
	2009	9	1	0	22	0	
	2009	10	1	0	75	0	
	2009	10	2	0	1	0	
	2009	11	1	0	267	0	
	2009	12	1	0	688	0	
	2009	13	1	0	1397	0	
	2009	14	1	1	1753	0.0005704507	
	2009	15	1	2	1656	0.001207729	
	2009	16	1	7	1569	0.00446144	
	2009	17	1	6	1143	0.005249344	
	2009	18	1	6	566	0.01060071	
	2009	19	1	1	117	0.008547009	
	2009	20	1	0	13	0	
	2010	4	1	0	1	0	
	2010	6	1	0	1	0	
	2010	7	1	0	3	0	
	2010	8	1	0	5	0	
	2010	9	1	0	26	0	
	2010	10	1	0	88	0	
	2010	11	1	0	298	0	
	2010	12	1	1	663	0.001508296	
	2010	13	1	0	1288	0	
	2010	14	1	2	1694	0.001180638	
	2010	15	1	1	1733	0.000577034	
	2010	16	1	1	1603	0.0006238303	
	2010	17	1	4	1139	0.003511853	
	2010	18	1	4	516	0.007751938	
	2010	19	1	1	115	0.008695652	
	2010	20	1	0	6	0	
	2011	7	1	0	2	0	
	2011	8	1	0	5	0	
	2011	9	1	0	21	0	
	2011	10	1	0	77	0	
	2011	11	1	0	267	0	
	2011	11	2	0	1	0	
	2011	12	1	1	639	0.001564945	
	2011	12	2	0	1	0	
	2011	13	1	0	1230	0	
	2011	14	1	2	1779	0.001124227	
	2011	14	2	0	1	0	
	2011	15	1	3	1584	0.001893939	
	2011	15	2	0	2	0	
	2011	16	1	2	1572	0.001272265	
	2011	17	1	4	1122	0.003565062	
	2011	18	1	2	517	0.003868472	
	2011	19	1	0	121	0	
	2011	19	2	0	1	0	
	2011	20	1	0	8	0	
	2012	8	1	0	5	0	
	2012	9	1	0	21	0	
	2012	10	1	0	81	0	
	2012	11	1	0	268	0	
	2012	12	1	0	616	0	
	2012	13	1	1	1233	0.00081103	
	2012	14	1	2	1729	0.001156738	
	2012	15	1	4	1655	0.002416918	
	2012	16	1	4	1533	0.002609263	
	2012	17	1	8	1141	0.007011394	
	2012	18	1	1	554	0.001805054	
	2012	19	1	0	121	0	
	2012	20	1	0	12	0	
	2013	6	1	0	3	0	
	2013	7	1	0	3	0	
	2013	8	1	0	7	0	
	2013	9	1	0	17	0	
	2013	10	1	0	84	0	
	2013	11	1	0	254	0	
	2013	12	1	0	689	0	
	2013	13	1	1	1268	0.0007886435	
	2013	14	1	1	1731	0.0005777008	
	2013	15	1	3	1812	0.001655629	
	2013	15	2	0	1	0	
	2013	16	1	2	1530	0.00130719	
	2013	17	1	1	1198	0.0008347245	
	2013	18	1	2	553	0.003616637	
	2013	19	1	5	145	0.03448276	
	2013	20	1	1	9	0.1111111	

