
	H.4.1.M Prostata­TUR, Mortalität // RTU de prostate, mortalité // TUR della prostata, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	DeathCH	CasesCH	pCH	
	1998	15	5528	0.2713459	
	1999	13	6626	0.1961968	
	2000	13	6568	0.1979294	
	2001	15	7059	0.2124947	
	2002	14	7475	0.187291	
	2003	17	7710	0.2204929	
	2004	11	7736	0.1421923	
	2005	16	8736	0.1831502	
	2006	19	9040	0.210177	
	2007	21	9556	0.2197572	
	2008	21	9334	0.2249839	
	2009	23	9273	0.2480319	
	2010	14	9179	0.1525221	
	2011	14	8950	0.1564246	
	2012	20	8969	0.2229903	
	2013	16	9304	0.171969	

