
	H.5.2.M Radikale Prostatovesikulektomie, Mortalität // Prostatovésiculectomie radicale, mortalité // Prostatovescicolectomia radicale, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	9	1	0	1	0	
	1998	10	1	0	5	0	
	1998	11	1	0	38	0	
	1998	12	1	0	92	0	
	1998	13	1	0	160	0	
	1998	14	1	0	213	0	
	1998	15	1	0	97	0	
	1998	15	2	0	1	0	
	1998	16	1	0	9	0	
	1998	17	1	0	4	0	
	1999	1	1	0	1	0	
	1999	10	1	0	7	0	
	1999	11	1	0	41	0	
	1999	12	1	0	146	0	
	1999	13	1	0	244	0	
	1999	13	2	0	1	0	
	1999	14	1	0	330	0	
	1999	15	1	0	146	0	
	1999	16	1	0	16	0	
	1999	17	1	0	4	0	
	2000	2	1	0	1	0	
	2000	5	1	0	2	0	
	2000	9	1	0	3	0	
	2000	10	1	0	14	0	
	2000	11	1	0	69	0	
	2000	11	2	0	1	0	
	2000	12	1	0	216	0	
	2000	12	2	0	2	0	
	2000	13	1	0	298	0	
	2000	13	2	0	2	0	
	2000	14	1	0	360	0	
	2000	15	1	0	202	0	
	2000	16	1	0	28	0	
	2000	17	1	0	1	0	
	2000	18	1	0	1	0	
	2001	4	1	0	1	0	
	2001	9	1	0	2	0	
	2001	10	1	0	17	0	
	2001	11	1	0	101	0	
	2001	11	2	0	1	0	
	2001	12	1	0	262	0	
	2001	13	1	0	448	0	
	2001	14	1	0	537	0	
	2001	14	2	0	2	0	
	2001	15	1	0	271	0	
	2001	16	1	0	39	0	
	2001	17	1	0	9	0	
	2001	18	1	0	5	0	
	2001	19	1	0	4	0	
	2002	9	1	0	5	0	
	2002	10	1	0	24	0	
	2002	11	1	0	126	0	
	2002	11	2	0	2	0	
	2002	12	1	2	332	0.006024096	
	2002	12	2	0	1	0	
	2002	13	1	0	506	0	
	2002	14	1	0	517	0	
	2002	15	1	0	262	0	
	2002	16	1	1	19	0.05263158	
	2002	17	1	1	6	0.1666667	
	2002	18	1	0	1	0	
	2002	19	1	1	1	1	
	2002	20	1	0	1	0	
	2003	4	1	0	2	0	
	2003	6	1	0	1	0	
	2003	8	1	0	3	0	
