
	I.1.1.M Hüft­Endoprothese­Erstimplantation (nicht bei Frakturen), Mortalität // Première implantation d’endoprothèse de hanche (pas en cas de fracture), mortalité // Prima applicazione dell’endoprotesi dell’anca (non per fratture), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	5	1	0	4	0	
	1998	5	2	0	4	0	
	1998	6	1	0	9	0	
	1998	6	2	0	8	0	
	1998	7	1	0	13	0	
	1998	7	2	0	12	0	
	1998	8	1	0	44	0	
	1998	8	2	0	21	0	
	1998	9	1	0	69	0	
	1998	9	2	1	35	0.02857143	
	1998	10	1	0	133	0	
	1998	10	2	0	72	0	
	1998	11	1	2	315	0.006349206	
	1998	11	2	1	164	0.006097561	
	1998	12	1	0	374	0	
	1998	12	2	1	248	0.004032258	
	1998	13	1	1	495	0.002020202	
	1998	13	2	0	396	0	
	1998	14	1	1	595	0.001680672	
	1998	14	2	2	542	0.003690037	
	1998	15	1	0	542	0	
	1998	15	2	0	649	0	
	1998	16	1	4	446	0.00896861	
	1998	16	2	6	607	0.009884679	
	1998	17	1	1	228	0.004385965	
	1998	17	2	4	395	0.01012658	
	1998	18	1	3	77	0.03896104	
	1998	18	2	6	215	0.02790698	
	1998	19	1	3	16	0.1875	
	1998	19	2	2	46	0.04347826	
	1998	20	2	0	4	0	
	1999	5	1	0	4	0	
	1999	5	2	0	4	0	
	1999	6	1	0	13	0	
	1999	6	2	0	6	0	
	1999	7	1	0	26	0	
	1999	7	2	0	21	0	
	1999	8	1	0	44	0	
	1999	8	2	0	40	0	
	1999	9	1	0	78	0	
	1999	9	2	0	54	0	
	1999	10	1	0	175	0	
	1999	10	2	0	73	0	
	1999	11	1	0	416	0	
	1999	11	2	0	222	0	
	1999	12	1	0	516	0	
	1999	12	2	0	346	0	
	1999	13	1	0	660	0	
	1999	13	2	0	515	0	
	1999	14	1	0	778	0	
	1999	14	2	2	779	0.002567394	
	1999	15	1	3	767	0.003911343	
	1999	15	2	1	804	0.001243781	
	1999	16	1	8	585	0.01367521	
	1999	16	2	0	767	0	
	1999	17	1	1	245	0.004081633	
	1999	17	2	2	477	0.004192872	
	1999	18	1	3	98	0.03061224	
	1999	18	2	3	207	0.01449275	
	1999	19	1	1	15	0.06666667	
	1999	19	2	2	38	0.05263158	
	1999	20	1	0	1	0	
	1999	20	2	0	4	0	
	2000	5	1	0	3	0	
	2000	5	2	0	8	0	
	2000	6	1	0	7	0	
	2000	6	2	0	15	0	
	2000	7	1	0	16	0	
	2000	7	2	0	22	0	
	2000	8	1	0	54	0	
	2000	8	2	0	39	0	
	2000	9	1	0	113	0	
	2000	9	2	0	51	0	
	2000	10	1	1	165	0.006060606	
	2000	10	2	0	127	0	
	2000	11	1	0	380	0	
	2000	11	2	1	253	0.003952569	
	2000	12	1	0	579	0	
	2000	12	2	0	436	0	
	2000	13	1	1	680	0.001470588	
	2000	13	2	1	583	0.001715266	
	2000	14	1	0	834	0	
	2000	14	2	0	845	0	
	2000	15	1	0	742	0	
	2000	15	2	0	882	0	
	2000	16	1	2	608	0.003289474	
	2000	16	2	2	868	0.002304147	
	2000	17	1	1	332	0.003012048	
	2000	17	2	1	492	0.00203252	
	2000	18	1	3	129	0.02325581	
	2000	18	2	4	263	0.01520913	
	2000	19	1	3	22	0.1363636	
	2000	19	2	4	65	0.06153846	
	2000	20	2	0	2	0	
	2001	5	1	0	4	0	
	2001	5	2	0	8	0	
	2001	6	1	0	10	0	
	2001	6	2	0	12	0	
	2001	7	1	0	25	0	
	2001	7	2	0	21	0	
	2001	8	1	0	51	0	
	2001	8	2	0	44	0	
	2001	9	1	0	116	0	
	2001	9	2	0	66	0	
	2001	10	1	0	224	0	
	2001	10	2	0	135	0	
	2001	11	1	0	400	0	
	2001	11	2	0	268	0	
	2001	12	1	0	729	0	
	2001	12	2	0	465	0	
	2001	13	1	1	811	0.001233046	
	2001	13	2	1	634	0.001577287	
	2001	14	1	1	866	0.001154734	
	2001	14	2	1	941	0.001062699	
	2001	15	1	1	851	0.001175088	
	2001	15	2	3	1034	0.002901354	
	2001	16	1	4	732	0.005464481	
	2001	16	2	4	985	0.004060914	
	2001	17	1	2	371	0.005390836	
	2001	17	2	3	660	0.004545455	
	2001	18	1	1	98	0.01020408	
	2001	18	2	1	288	0.003472222	
	2001	19	1	1	21	0.04761905	
	2001	19	2	2	70	0.02857143	
	2001	20	1	1	1	1	
	2001	20	2	1	10	0.1	
	2002	5	1	0	4	0	
	2002	5	2	0	4	0	
	2002	6	1	0	13	0	
	2002	6	2	0	14	0	
	2002	7	1	0	33	0	
	2002	7	2	0	25	0	
	2002	8	1	0	68	0	
	2002	8	2	0	41	0	
	2002	9	1	0	147	0	
	2002	9	2	0	85	0	
	2002	10	1	0	236	0	
	2002	10	2	0	137	0	
	2002	11	1	0	426	0	
	2002	11	2	1	282	0.003546099	
	2002	12	1	0	766	0	
	2002	12	2	0	540	0	
	2002	13	1	1	809	0.001236094	
	2002	13	2	0	713	0	
	2002	14	1	2	939	0.002129925	
	2002	14	2	0	967	0	
	2002	15	1	1	907	0.001102536	
	2002	15	2	1	1065	0.0009389671	
	2002	16	1	4	764	0.005235602	
	2002	16	2	5	1136	0.004401408	
	2002	17	1	4	420	0.00952381	
	2002	17	2	6	740	0.008108108	
	2002	18	1	1	143	0.006993007	
	2002	18	2	1	296	0.003378378	
	2002	19	1	1	17	0.05882353	
	2002	19	2	3	66	0.04545455	
	2002	20	1	0	3	0	
	2002	20	2	0	2	0	
	2003	5	1	0	6	0	
	2003	5	2	0	5	0	
	2003	6	1	0	17	0	
	2003	6	2	0	18	0	
	2003	7	1	0	36	0	
	2003	7	2	0	18	0	
	2003	8	1	0	69	0	
	2003	8	2	0	47	0	
	2003	9	1	0	135	0	
	2003	9	2	0	88	0	
	2003	10	1	0	283	0	
	2003	10	2	0	147	0	
	2003	11	1	0	465	0	
	2003	11	2	0	312	0	
	2003	12	1	0	736	0	
	2003	12	2	0	578	0	
	2003	13	1	0	945	0	
	2003	13	2	2	774	0.002583979	
	2003	14	1	5	1047	0.004775549	
	2003	14	2	0	1106	0	
	2003	15	1	0	982	0	
	2003	15	2	0	1280	0	
	2003	16	1	0	757	0	
	2003	16	2	0	1123	0	
	2003	17	1	4	467	0.00856531	
	2003	17	2	5	762	0.00656168	
	2003	18	1	0	131	0	
	2003	18	2	4	319	0.01253918	
	2003	19	1	1	26	0.03846154	
	2003	19	2	2	72	0.02777778	
	2003	20	1	0	4	0	
	2003	20	2	0	8	0	
	2004	5	1	0	10	0	
	2004	5	2	0	7	0	
	2004	6	1	0	17	0	
	2004	6	2	0	16	0	
	2004	7	1	0	42	0	
	2004	7	2	0	27	0	
	2004	8	1	0	74	0	
	2004	8	2	1	52	0.01923077	
	2004	9	1	0	151	0	
	2004	9	2	1	105	0.00952381	
	2004	10	1	0	296	0	
	2004	10	2	0	179	0	
	2004	11	1	0	516	0	
	2004	11	2	0	305	0	
	2004	12	1	0	876	0	
	2004	12	2	0	602	0	
	2004	13	1	0	1091	0	
	2004	13	2	0	856	0	
	2004	14	1	1	940	0.00106383	
	2004	14	2	0	1046	0	
	2004	15	1	0	1165	0	
	2004	15	2	0	1330	0	
	2004	16	1	4	848	0.004716981	
	2004	16	2	1	1218	0.0008210181	
	2004	17	1	7	490	0.01428571	
	2004	17	2	1	804	0.001243781	
	2004	18	1	6	142	0.04225352	
	2004	18	2	3	302	0.009933775	
	2004	19	1	0	29	0	
	2004	19	2	2	94	0.0212766	
	2004	20	1	0	2	0	
	2004	20	2	0	9	0	
	2005	5	1	0	8	0	
	2005	5	2	0	9	0	
	2005	6	1	0	11	0	
	2005	6	2	0	12	0	
	2005	7	1	0	26	0	
	2005	7	2	0	33	0	
	2005	8	1	0	88	0	
	2005	8	2	0	47	0	
	2005	9	1	0	175	0	
	2005	9	2	0	84	0	
	2005	10	1	0	288	0	
