
	I.1.2.M Hüft­TEP­Wechsel und Komponentenwechsel, Mortalität // Changement d’EPT de hanche et changement de composants, mortalité // Sostituzione dell’endoprotesi totale dell’anca e sostituzione dei componenti, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2004	5	1	0	2	0	
	2004	5	2	0	1	0	
	2004	6	1	0	2	0	
	2004	6	2	0	4	0	
	2004	7	1	0	3	0	
	2004	7	2	0	6	0	
	2004	8	1	0	12	0	
	2004	8	2	0	11	0	
	2004	9	1	0	9	0	
	2004	9	2	0	9	0	
	2004	10	1	0	10	0	
	2004	10	2	0	26	0	
	2004	11	1	0	47	0	
	2004	11	2	0	26	0	
	2004	12	1	0	69	0	
	2004	12	2	0	62	0	
	2004	13	1	0	94	0	
	2004	13	2	0	73	0	
	2004	14	1	1	128	0.0078125	
	2004	14	2	0	134	0	
	2004	15	1	1	185	0.005405405	
	2004	15	2	1	169	0.00591716	
	2004	16	1	3	161	0.01863354	
	2004	16	2	0	177	0	
	2004	17	1	0	105	0	
	2004	17	2	1	184	0.005434783	
	2004	18	1	1	55	0.01818182	
	2004	18	2	0	57	0	
	2004	19	1	0	7	0	
	2004	19	2	0	18	0	
	2004	20	1	0	1	0	
	2004	20	2	0	3	0	
	2005	5	1	0	3	0	
	2005	6	2	0	1	0	
	2005	7	1	0	3	0	
	2005	7	2	0	3	0	
	2005	8	1	0	9	0	
	2005	8	2	0	6	0	
	2005	9	1	0	13	0	
	2005	9	2	0	11	0	
	2005	10	1	0	15	0	
	2005	10	2	0	25	0	
	2005	11	1	0	47	0	
	2005	11	2	0	23	0	
	2005	12	1	0	75	0	
	2005	12	2	0	66	0	
	2005	13	1	0	103	0	
	2005	13	2	0	67	0	
	2005	14	1	0	131	0	
	2005	14	2	0	133	0	
	2005	15	1	0	184	0	
	2005	15	2	1	178	0.005617978	
	2005	16	1	4	164	0.02439024	
	2005	16	2	0	194	0	
	2005	17	1	0	113	0	
	2005	17	2	1	142	0.007042254	
	2005	18	1	3	51	0.05882353	
	2005	18	2	1	79	0.01265823	
	2005	19	1	0	14	0	
	2005	19	2	3	17	0.1764706	
	2005	20	2	0	3	0	
	2006	5	1	0	2	0	
	2006	5	2	0	1	0	
	2006	6	1	0	1	0	
	2006	6	2	0	1	0	
	2006	7	1	0	6	0	
	2006	7	2	0	3	0	
	2006	8	1	0	7	0	
	2006	8	2	0	8	0	
	2006	9	1	0	18	0	
	2006	9	2	0	19	0	
	2006	10	1	0	29	0	
	2006	10	2	0	24	0	
	2006	11	1	0	36	0	
	2006	11	2	0	26	0	
	2006	12	1	0	96	0	
	2006	12	2	1	54	0.01851852	
	2006	13	1	0	110	0	
	2006	13	2	0	94	0	
	2006	14	1	1	124	0.008064516	
	2006	14	2	0	112	0	
	2006	15	1	0	161	0	
	2006	15	2	1	168	0.005952381	
	2006	16	1	0	193	0	
	2006	16	2	2	189	0.01058201	
	2006	17	1	0	112	0	
	2006	17	2	3	143	0.02097902	
	2006	18	1	2	51	0.03921569	
	2006	18	2	3	63	0.04761905	
	2006	19	1	2	12	0.1666667	
	2006	19	2	2	29	0.06896552	
	2006	20	1	0	1	0	
	2006	20	2	1	5	0.2	
	2007	5	1	0	2	0	
	2007	6	1	0	1	0	
	2007	6	2	0	6	0	
	2007	7	1	0	3	0	
	2007	7	2	0	3	0	
	2007	8	1	0	8	0	
	2007	8	2	0	7	0	
	2007	9	1	0	11	0	
	2007	9	2	0	11	0	
	2007	10	1	0	15	0	
	2007	10	2	0	21	0	
	2007	11	1	0	31	0	
	2007	11	2	0	41	0	
	2007	12	1	0	72	0	
	2007	12	2	1	77	0.01298701	
	2007	13	1	1	126	0.007936508	
	2007	13	2	0	110	0	
	2007	14	1	1	127	0.007874016	
	2007	14	2	0	102	0	
	2007	15	1	0	148	0	
	2007	15	2	0	173	0	
	2007	16	1	1	168	0.005952381	
	2007	16	2	1	204	0.004901961	
	2007	17	1	0	125	0	
	2007	17	2	2	160	0.0125	
	2007	18	1	1	54	0.01851852	
	2007	18	2	2	87	0.02298851	
	2007	19	1	0	14	0	
	2007	19	2	1	23	0.04347826	
	2008	5	2	0	1	0	
	2008	6	2	0	3	0	
	2008	7	1	0	5	0	
	2008	7	2	0	5	0	
	2008	8	1	0	9	0	
	2008	8	2	0	8	0	
	2008	9	1	0	22	0	
	2008	9	2	0	13	0	
	2008	10	1	0	36	0	
	2008	10	2	0	30	0	
	2008	11	1	0	50	0	
	2008	11	2	0	47	0	
	2008	12	1	0	103	0	
	2008	12	2	0	66	0	
	2008	13	1	1	145	0.006896552	
	2008	13	2	0	133	0	
	2008	14	1	1	141	0.007092199	
	2008	14	2	2	139	0.01438849	
	2008	15	1	1	189	0.005291005	
	2008	15	2	0	177	0	
	2008	16	1	0	179	0	
