
	I.1.3.M Knie­TEP­Erstimplantation, Mortalität // Première implantation d’EPT de genou, mortalité // Prima applicazione dell’endoprotesi totale del ginocchio, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2011	5	1	0	2	0	
	2011	5	2	0	1	0	
	2011	6	1	0	1	0	
	2011	7	1	0	3	0	
	2011	7	2	0	5	0	
	2011	8	1	0	12	0	
	2011	8	2	0	15	0	
	2011	9	1	0	49	0	
	2011	9	2	0	67	0	
	2011	10	1	0	145	0	
	2011	10	2	0	207	0	
	2011	11	1	0	329	0	
	2011	11	2	0	462	0	
	2011	12	1	0	615	0	
	2011	12	2	1	850	0.001176471	
	2011	13	1	0	1077	0	
	2011	13	2	1	1298	0.000770416	
	2011	14	1	0	1085	0	
	2011	14	2	2	1571	0.001273074	
	2011	15	1	2	1076	0.001858736	
	2011	15	2	1	1684	0.0005938242	
	2011	16	1	1	864	0.001157407	
	2011	16	2	2	1703	0.001174398	
	2011	17	1	0	465	0	
	2011	17	2	0	1083	0	
	2011	18	1	0	137	0	
	2011	18	2	3	322	0.00931677	
	2011	19	1	0	18	0	
	2011	19	2	0	44	0	
	2011	20	2	0	2	0	
	2012	5	1	0	2	0	
	2012	5	2	0	1	0	
	2012	6	1	0	1	0	
	2012	6	2	0	3	0	
	2012	7	1	0	4	0	
	2012	7	2	0	2	0	
	2012	8	1	0	13	0	
	2012	8	2	0	16	0	
	2012	9	1	0	56	0	
	2012	9	2	0	57	0	
	2012	10	1	0	150	0	
	2012	10	2	0	212	0	
	2012	11	1	0	369	0	
	2012	11	2	0	504	0	
	2012	12	1	0	742	0	
	2012	12	2	0	871	0	
	2012	13	1	0	1227	0	
	2012	13	2	0	1327	0	
	2012	14	1	1	1268	0.0007886435	
	2012	14	2	1	1630	0.0006134969	
	2012	15	1	1	1122	0.0008912656	
	2012	15	2	2	1728	0.001157407	
	2012	16	1	1	848	0.001179245	
	2012	16	2	0	1667	0	
	2012	17	1	1	516	0.001937984	
	2012	17	2	3	1128	0.002659574	
	2012	18	1	2	151	0.01324503	
	2012	18	2	0	361	0	
	2012	19	1	0	17	0	
	2012	19	2	1	34	0.02941176	
	2012	20	2	0	3	0	
	2013	6	1	0	3	0	
	2013	7	1	0	1	0	
	2013	7	2	0	3	0	
	2013	8	1	0	10	0	
	2013	8	2	0	15	0	
	2013	9	1	0	55	0	
	2013	9	2	0	53	0	
	2013	10	1	0	164	0	
	2013	10	2	0	218	0	
	2013	11	1	0	403	0	
	2013	11	2	0	514	0	
	2013	12	1	0	781	0	
	2013	12	2	0	887	0	
	2013	13	1	0	1203	0	
	2013	13	2	1	1400	0.0007142857	
	2013	14	1	1	1267	0.000789266	
	2013	14	2	1	1733	0.000577034	
	2013	15	1	0	1153	0	
	2013	15	2	2	1809	0.001105583	
	2013	16	1	1	871	0.001148106	
	2013	16	2	3	1708	0.00175644	
	2013	17	1	1	527	0.001897533	
	2013	17	2	0	1137	0	
	2013	18	1	1	161	0.00621118	
	2013	18	2	0	378	0	
	2013	19	1	0	21	0	
	2013	19	2	0	43	0	
	2013	20	2	0	1	0	

