
	I.1.4.M Knie­TEP­Wechsel und Komponentenwechsel, Mortalität // Changement d’EPT de genou et changement de composants, mortalité // Sostituzione dell’endoprotesi totale del ginocchio e sostituzione dei componenti, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2007	7	1	0	1	0	
	2007	9	2	0	1	0	
	2007	10	1	0	3	0	
	2007	10	2	0	1	0	
	2007	11	1	0	6	0	
	2007	11	2	0	10	0	
	2007	12	1	0	16	0	
	2007	12	2	0	13	0	
	2007	13	1	0	27	0	
	2007	13	2	0	34	0	
	2007	14	1	0	30	0	
	2007	14	2	0	23	0	
	2007	15	1	0	26	0	
	2007	15	2	0	49	0	
	2007	16	1	0	19	0	
	2007	16	2	0	49	0	
	2007	17	1	0	12	0	
	2007	17	2	0	30	0	
	2007	18	1	0	2	0	
	2007	18	2	0	10	0	
	2007	19	1	0	1	0	
	2008	6	1	0	1	0	
	2008	8	1	0	1	0	
	2008	8	2	0	3	0	
	2008	9	1	0	8	0	
	2008	9	2	0	7	0	
	2008	10	1	0	8	0	
	2008	10	2	0	10	0	
	2008	11	1	0	15	0	
	2008	11	2	0	24	0	
	2008	12	1	0	41	0	
	2008	12	2	0	49	0	
	2008	13	1	0	58	0	
	2008	13	2	0	71	0	
	2008	14	1	1	46	0.02173913	
	2008	14	2	0	97	0	
	2008	15	1	0	53	0	
	2008	15	2	0	85	0	
	2008	16	1	0	40	0	
	2008	16	2	0	91	0	
	2008	17	1	0	29	0	
	2008	17	2	0	63	0	
	2008	18	1	0	4	0	
	2008	18	2	1	19	0.05263158	
	2008	19	1	0	1	0	
	2008	19	2	0	3	0	
	2008	20	1	0	1	0	
	2009	6	2	0	1	0	
	2009	7	2	0	1	0	
	2009	8	1	0	2	0	
	2009	8	2	0	4	0	
	2009	9	1	0	4	0	
	2009	9	2	0	9	0	
	2009	10	1	0	17	0	
	2009	10	2	0	16	0	
	2009	11	1	0	20	0	
	2009	11	2	0	34	0	
	2009	12	1	0	44	0	
	2009	12	2	0	61	0	
	2009	13	1	0	59	0	
	2009	13	2	0	96	0	
	2009	14	1	0	44	0	
	2009	14	2	0	100	0	
	2009	15	1	1	48	0.02083333	
	2009	15	2	0	86	0	
	2009	16	1	0	44	0	
	2009	16	2	0	103	0	
	2009	17	1	1	27	0.03703704	
	2009	17	2	0	62	0	
	2009	18	1	0	10	0	
	2009	18	2	1	25	0.04	
	2009	19	2	0	4	0	
	2010	5	2	0	1	0	
	2010	6	2	0	1	0	
	2010	7	2	0	1	0	
	2010	8	1	0	1	0	
	2010	8	2	0	1	0	
	2010	9	1	0	7	0	
	2010	9	2	0	6	0	
	2010	10	1	0	14	0	
	2010	10	2	0	12	0	
	2010	11	1	0	20	0	
	2010	11	2	0	33	0	
	2010	12	1	0	51	0	
	2010	12	2	0	63	0	
	2010	13	1	0	84	0	
	2010	13	2	0	88	0	
	2010	14	1	0	74	0	
	2010	14	2	0	109	0	
	2010	15	1	0	73	0	
	2010	15	2	1	116	0.00862069	
	2010	16	1	0	66	0	
	2010	16	2	0	111	0	
	2010	17	1	0	43	0	
	2010	17	2	0	85	0	
	2010	18	1	0	14	0	
	2010	18	2	0	32	0	
	2010	19	1	0	1	0	
	2010	19	2	1	6	0.1666667	
	2011	5	2	0	1	0	
	2011	6	1	0	1	0	
	2011	7	1	0	2	0	
	2011	7	2	0	3	0	
	2011	8	1	0	3	0	
	2011	8	2	0	5	0	
	2011	9	1	0	3	0	
	2011	9	2	0	13	0	
	2011	10	1	0	14	0	
	2011	10	2	0	17	0	
	2011	11	1	0	27	0	
	2011	11	2	0	54	0	
	2011	12	1	0	67	0	
	2011	12	2	0	75	0	
	2011	13	1	0	117	0	
	2011	13	2	0	139	0	
	2011	14	1	0	100	0	
	2011	14	2	0	160	0	
	2011	15	1	0	94	0	
	2011	15	2	0	158	0	
	2011	16	1	0	70	0	
	2011	16	2	0	155	0	
	2011	17	1	1	45	0.02222222	
	2011	17	2	1	112	0.008928571	
	2011	18	1	0	10	0	
	2011	18	2	0	39	0	
	2011	19	1	0	1	0	
	2011	19	2	0	7	0	
	2012	7	2	0	1	0	
	2012	8	1	0	1	0	
	2012	8	2	0	5	0	
	2012	9	1	0	9	0	
	2012	9	2	0	9	0	
	2012	10	1	0	13	0	
	2012	10	2	0	22	0	
	2012	11	1	0	46	0	
	2012	11	2	0	45	0	
	2012	12	1	0	62	0	
	2012	12	2	0	95	0	
	2012	13	1	0	109	0	
	2012	13	2	0	122	0	
	2012	14	1	0	113	0	
	2012	14	2	0	177	0	
	2012	15	1	1	94	0.0106383	
	2012	15	2	0	145	0	
	2012	16	1	1	52	0.01923077	
	2012	16	2	0	177	0	
	2012	17	1	2	40	0.05	
	2012	17	2	1	119	0.008403361	
	2012	18	1	0	18	0	
	2012	18	2	0	39	0	
	2012	19	2	0	11	0	
	2012	20	1	0	2	0	
	2012	20	2	0	2	0	
	2013	5	1	0	1	0	
	2013	7	2	0	1	0	
	2013	8	1	0	2	0	
	2013	8	2	0	2	0	
	2013	9	1	0	7	0	
	2013	9	2	0	13	0	
