
	I.1.5.M Hüft­ oder Knie­TEP mit Tumorendoprothese, Mortalität // EPT de hanche ou de genou après chirurgie tumorale, mortalité // Endoprotesi totale tumorale dell’anca o del ginocchio, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2004	8	2	0	1	0	
	2004	10	1	1	1	1	
	2004	10	2	0	2	0	
	2004	11	1	0	2	0	
	2004	11	2	1	2	0.5	
	2004	12	1	0	3	0	
	2004	12	2	0	4	0	
	2004	13	1	0	4	0	
	2004	13	2	1	7	0.1428571	
	2004	14	1	0	3	0	
	2004	14	2	1	6	0.1666667	
	2004	15	1	0	4	0	
	2004	15	2	0	7	0	
	2004	16	1	0	4	0	
	2004	16	2	1	6	0.1666667	
	2004	17	1	0	8	0	
	2004	17	2	0	2	0	
	2004	18	1	0	5	0	
	2004	18	2	1	2	0.5	
	2004	19	1	0	1	0	
	2004	19	2	0	1	0	
	2005	7	2	1	1	1	
	2005	8	2	0	1	0	
	2005	9	1	0	1	0	
	2005	10	1	0	3	0	
	2005	10	2	0	1	0	
	2005	11	2	0	1	0	
	2005	12	1	0	2	0	
	2005	12	2	0	4	0	
	2005	13	1	0	3	0	
	2005	13	2	0	5	0	
	2005	14	2	0	6	0	
	2005	15	1	0	5	0	
	2005	15	2	0	7	0	
	2005	16	1	0	4	0	
	2005	16	2	0	5	0	
	2005	17	1	0	7	0	
	2005	17	2	0	7	0	
	2005	18	1	0	5	0	
	2005	18	2	0	2	0	
	2006	5	2	0	1	0	
	2006	8	1	0	1	0	
	2006	8	2	0	1	0	
	2006	9	1	0	1	0	
	2006	9	2	0	2	0	
	2006	10	1	0	3	0	
	2006	10	2	0	4	0	
	2006	11	1	0	3	0	
	2006	11	2	1	1	1	
	2006	12	1	0	3	0	
	2006	12	2	1	2	0.5	
	2006	13	1	1	5	0.2	
	2006	13	2	0	5	0	
	2006	14	1	1	6	0.1666667	
	2006	14	2	1	8	0.125	
	2006	15	1	1	3	0.3333333	
	2006	15	2	0	9	0	
	2006	16	1	0	4	0	
	2006	16	2	0	9	0	
	2006	17	1	0	9	0	
	2006	17	2	0	1	0	
	2006	18	1	0	3	0	
	2006	18	2	0	3	0	
	2007	8	1	0	1	0	
	2007	9	1	1	1	1	
	2007	9	2	0	3	0	
	2007	11	1	0	1	0	
	2007	11	2	2	9	0.2222222	
	2007	12	1	0	2	0	
	2007	12	2	0	3	0	
	2007	13	1	2	8	0.25	
	2007	13	2	0	5	0	
	2007	14	1	2	4	0.5	
	2007	14	2	1	8	0.125	
	2007	15	1	0	7	0	
	2007	15	2	3	14	0.2142857	
	2007	16	1	1	12	0.08333333	
	2007	16	2	2	15	0.1333333	
	2007	17	1	1	14	0.07142857	
	2007	17	2	0	11	0	
	2007	18	1	0	3	0	
	2007	18	2	0	6	0	
	2007	19	1	0	2	0	
	2007	19	2	0	4	0	
	2007	20	1	0	1	0	
	2008	7	2	0	1	0	
	2008	8	2	0	1	0	
	2008	9	1	0	4	0	
	2008	9	2	1	4	0.25	
	2008	10	2	0	4	0	
	2008	11	1	1	2	0.5	
	2008	11	2	0	7	0	
	2008	12	1	0	3	0	
	2008	12	2	0	11	0	
	2008	13	1	1	6	0.1666667	
	2008	13	2	1	8	0.125	
	2008	14	1	1	7	0.1428571	
	2008	14	2	1	14	0.07142857	
	2008	15	1	0	6	0	
	2008	15	2	1	9	0.1111111	
	2008	16	1	2	17	0.1176471	
	2008	16	2	2	17	0.1176471	
	2008	17	1	1	11	0.09090909	
	2008	17	2	3	16	0.1875	
	2008	18	1	1	8	0.125	
	2008	18	2	1	6	0.1666667	
	2008	19	1	0	1	0	
	2008	19	2	0	5	0	
	2008	20	1	0	2	0	
	2008	20	2	0	1	0	
	2009	7	1	0	2	0	
	2009	7	2	0	1	0	
	2009	9	2	0	3	0	
	2009	10	1	0	1	0	
	2009	10	2	0	4	0	
	2009	11	2	1	3	0.3333333	
	2009	12	1	0	5	0	
	2009	12	2	2	9	0.2222222	
	2009	13	1	0	1	0	
	2009	13	2	0	8	0	
	2009	14	1	2	6	0.3333333	
	2009	14	2	0	15	0	
	2009	15	1	1	10	0.1	
	2009	15	2	0	11	0	
	2009	16	1	0	17	0	
	2009	16	2	0	12	0	
	2009	17	1	3	23	0.1304348	
	2009	17	2	1	10	0.1	
	2009	18	1	1	9	0.1111111	
	2009	18	2	0	5	0	
	2009	19	1	0	1	0	
	2009	19	2	0	2	0	
	2009	20	2	0	1	0	
	2010	7	2	0	1	0	
	2010	8	1	0	1	0	
	2010	9	1	0	1	0	
	2010	9	2	0	1	0	
	2010	10	1	0	1	0	
	2010	10	2	0	5	0	
	2010	11	1	0	4	0	
	2010	11	2	0	8	0	
	2010	12	1	0	7	0	
	2010	12	2	0	9	0	
	2010	13	1	0	10	0	
	2010	13	2	1	10	0.1	
	2010	14	1	1	17	0.05882353	
	2010	14	2	0	12	0	
	2010	15	1	0	12	0	
	2010	15	2	1	13	0.07692308	
	2010	16	1	0	15	0	
	2010	16	2	0	15	0	
	2010	17	1	0	7	0	
	2010	17	2	0	10	0	
	2010	18	1	0	8	0	
	2010	18	2	0	7	0	
	2010	19	1	1	3	0.3333333	
	2010	19	2	2	3	0.6666667	
	2010	20	2	0	3	0	
	2011	5	1	0	1	0	
	2011	6	1	0	2	0	
	2011	6	2	0	1	0	
	2011	7	1	0	1	0	
	2011	8	2	0	1	0	
	2011	9	1	0	4	0	
	2011	9	2	0	3	0	
	2011	10	1	0	3	0	
	2011	10	2	0	2	0	
	2011	11	1	0	5	0	
	2011	11	2	0	6	0	
	2011	12	1	0	7	0	
	2011	12	2	0	10	0	
	2011	13	1	0	11	0	
	2011	13	2	0	10	0	
	2011	14	1	1	19	0.05263158	
	2011	14	2	2	14	0.1428571	
	2011	15	1	1	17	0.05882353	
	2011	15	2	1	16	0.0625	
	2011	16	1	0	12	0	
	2011	16	2	2	21	0.0952381	
	2011	17	1	1	10	0.1	
	2011	17	2	0	15	0	
	2011	18	1	1	11	0.09090909	
	2011	18	2	0	6	0	
	2011	19	1	1	5	0.2	
	2011	19	2	0	1	0	
	2011	20	1	1	2	0.5	
	2012	5	1	0	1	0	
	2012	5	2	0	1	0	
	2012	6	2	0	1	0	
	2012	7	1	0	1	0	
	2012	7	2	0	2	0	
	2012	8	1	0	1	0	
	2012	8	2	0	1	0	
	2012	9	2	0	1	0	
	2012	10	1	0	2	0	
	2012	10	2	0	6	0	
	2012	11	2	0	7	0	
	2012	12	1	1	3	0.3333333	
	2012	12	2	0	12	0	
	2012	13	1	0	8	0	
	2012	13	2	0	11	0	
	2012	14	1	0	13	0	
	2012	14	2	0	14	0	
	2012	15	1	0	11	0	
	2012	15	2	1	19	0.05263158	
	2012	16	1	1	20	0.05	
	2012	16	2	1	18	0.05555556	
	2012	17	1	2	10	0.2	
	2012	17	2	0	16	0	
	2012	18	1	4	14	0.2857143	
	2012	18	2	1	10	0.1	
	2012	19	1	0	3	0	
	2012	19	2	0	3	0	
	2013	5	1	0	1	0	
	2013	5	2	0	1	0	
	2013	6	2	0	1	0	
	2013	7	2	0	1	0	
	2013	8	1	0	1	0	
	2013	8	2	0	1	0	
	2013	9	1	0	1	0	
	2013	9	2	0	7	0	
	2013	10	1	0	1	0	
	2013	10	2	0	5	0	
	2013	11	1	0	4	0	
	2013	11	2	0	5	0	
	2013	12	1	0	8	0	
	2013	12	2	0	12	0	
	2013	13	1	1	12	0.08333333	
	2013	13	2	0	13	0	
	2013	14	1	1	12	0.08333333	
	2013	14	2	0	19	0	
	2013	15	1	1	14	0.07142857	
	2013	15	2	2	20	0.1	
	2013	16	1	0	12	0	
	2013	16	2	1	22	0.04545455	
	2013	17	1	0	14	0	
	2013	17	2	1	10	0.1	
	2013	18	1	1	15	0.06666667	
	2013	18	2	1	8	0.125	
	2013	19	1	0	2	0	
	2013	19	2	0	2	0	
	2013	20	2	0	2	0	

