
	I.1.6.M Unikondyläre Schlittenprothese des Kniegelenks, Mortalität // Prothèse unicondylaire (unicompartimentale) de genou, mortalité // Protesi a slitta unicondilare del ginocchio, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2011	7	1	0	1	0	
	2011	7	2	0	1	0	
	2011	8	1	0	4	0	
	2011	8	2	0	4	0	
	2011	9	1	0	10	0	
	2011	9	2	0	15	0	
	2011	10	1	0	41	0	
	2011	10	2	0	52	0	
	2011	11	1	0	68	0	
	2011	11	2	0	102	0	
	2011	12	1	0	124	0	
	2011	12	2	0	171	0	
	2011	13	1	0	192	0	
	2011	13	2	1	196	0.005102041	
	2011	14	1	0	155	0	
	2011	14	2	0	178	0	
	2011	15	1	0	141	0	
	2011	15	2	0	160	0	
	2011	16	1	0	90	0	
	2011	16	2	0	126	0	
	2011	17	1	0	46	0	
	2011	17	2	0	83	0	
	2011	18	1	0	10	0	
	2011	18	2	0	24	0	
	2011	19	1	0	3	0	
	2011	19	2	0	6	0	
	2011	20	2	0	1	0	
	2012	5	1	0	1	0	
	2012	6	2	0	1	0	
	2012	7	1	0	1	0	
	2012	8	1	0	4	0	
	2012	8	2	0	6	0	
	2012	9	1	0	12	0	
	2012	9	2	0	15	0	
	2012	10	1	0	43	0	
	2012	10	2	0	59	0	
	2012	11	1	0	94	0	
	2012	11	2	0	129	0	
	2012	12	1	0	158	0	
	2012	12	2	0	191	0	
	2012	13	1	0	282	0	
	2012	13	2	0	219	0	
	2012	14	1	0	224	0	
	2012	14	2	0	209	0	
	2012	15	1	0	199	0	
	2012	15	2	0	172	0	
	2012	16	1	0	95	0	
	2012	16	2	0	158	0	
	2012	17	1	0	63	0	
	2012	17	2	0	89	0	
	2012	18	1	1	17	0.05882353	
	2012	18	2	0	26	0	
	2012	19	2	0	5	0	
	2013	8	1	0	3	0	
	2013	8	2	0	4	0	
	2013	9	1	0	20	0	
	2013	9	2	0	13	0	
	2013	10	1	0	55	0	
	2013	10	2	0	55	0	
	2013	11	1	0	119	0	
	2013	11	2	0	119	0	
	2013	12	1	0	195	0	
	2013	12	2	0	191	0	
	2013	13	1	0	259	0	
	2013	13	2	0	224	0	
	2013	14	1	0	225	0	
	2013	14	2	0	235	0	
	2013	15	1	0	158	0	
	2013	15	2	0	192	0	
	2013	16	1	0	112	0	
	2013	16	2	0	142	0	
	2013	17	1	0	56	0	
	2013	17	2	0	80	0	
	2013	18	1	0	19	0	
	2013	18	2	0	30	0	
	2013	19	1	0	1	0	
	2013	19	2	0	3	0	

