
	I.1.7.M Hüft­ oder Knie­TEP bei anderer Indikation oder Alter < 20, Mortalität // EPT de hanche ou de genou pour autre indication ou âge < 20, mortalité // Endoprotesi totale dell’anca o del ginocchio per altra indicazione o età < 20, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2004	1	1	0	10	0	
	2004	1	2	1	20	0.05	
	2004	2	1	1	21	0.04761905	
	2004	2	2	1	23	0.04347826	
	2004	3	1	0	28	0	
	2004	3	2	0	17	0	
	2004	4	1	1	42	0.02380952	
	2004	4	2	0	13	0	
	2004	6	1	0	1	0	
	2004	8	1	0	1	0	
	2004	9	1	0	6	0	
	2004	9	2	0	4	0	
	2004	10	1	1	4	0.25	
	2004	10	2	0	6	0	
	2004	11	1	0	10	0	
	2004	11	2	0	16	0	
	2004	12	1	0	17	0	
	2004	12	2	1	33	0.03030303	
	2004	13	1	1	35	0.02857143	
	2004	13	2	0	76	0	
	2004	14	1	1	62	0.01612903	
	2004	14	2	3	102	0.02941176	
	2004	15	1	4	87	0.04597701	
	2004	15	2	3	220	0.01363636	
	2004	16	1	11	143	0.07692308	
	2004	16	2	11	430	0.0255814	
	2004	17	1	11	178	0.06179775	
	2004	17	2	27	628	0.04299363	
	2004	18	1	14	161	0.08695652	
	2004	18	2	26	596	0.04362416	
	2004	19	1	10	97	0.1030928	
	2004	19	2	24	415	0.05783133	
	2004	20	1	3	25	0.12	
	2004	20	2	15	102	0.1470588	
	2005	1	1	0	19	0	
	2005	1	2	0	7	0	
	2005	2	1	0	33	0	
	2005	2	2	0	3	0	
	2005	3	1	1	23	0.04347826	
	2005	3	2	0	21	0	
	2005	4	1	0	55	0	
	2005	4	2	0	20	0	
	2005	6	2	0	1	0	
	2005	7	1	0	1	0	
	2005	8	1	0	1	0	
	2005	8	2	0	1	0	
	2005	9	1	0	3	0	
	2005	10	1	0	3	0	
	2005	10	2	0	3	0	
	2005	11	1	0	9	0	
	2005	11	2	0	14	0	
	2005	12	1	1	26	0.03846154	
	2005	12	2	0	35	0	
	2005	13	1	0	37	0	
	2005	13	2	0	61	0	
	2005	14	1	0	42	0	
	2005	14	2	1	122	0.008196721	
	2005	15	1	3	78	0.03846154	
	2005	15	2	4	231	0.01731602	
	2005	16	1	5	128	0.0390625	
	2005	16	2	8	409	0.0195599	
	2005	17	1	14	176	0.07954545	
	2005	17	2	26	690	0.03768116	
	2005	18	1	21	148	0.1418919	
	2005	18	2	24	575	0.04173913	
	2005	19	1	15	99	0.1515152	
	2005	19	2	24	400	0.06	
	2005	20	1	3	21	0.1428571	
	2005	20	2	8	109	0.0733945	
	2006	1	1	1	32	0.03125	
	2006	1	2	0	2	0	
	2006	2	1	0	16	0	
	2006	2	2	0	31	0	
	2006	3	1	0	54	0	
	2006	3	2	0	24	0	
	2006	4	1	1	60	0.01666667	
	2006	4	2	0	35	0	
	2006	8	1	0	4	0	
	2006	9	1	0	3	0	
	2006	9	2	0	3	0	
	2006	10	1	0	4	0	
	2006	10	2	0	1	0	
	2006	11	1	0	13	0	
	2006	11	2	0	13	0	
	2006	12	1	0	22	0	
	2006	12	2	0	51	0	
	2006	13	1	0	41	0	
	2006	13	2	0	62	0	
	2006	14	1	0	55	0	
	2006	14	2	0	114	0	
	2006	15	1	2	91	0.02197802	
	2006	15	2	3	215	0.01395349	
