
	I.2.2.M Exzision von Bandscheibengewebe (ohne Unfall, Tumor, komplexe OP an Wirbelsäule), Mortalität // Discectomie (sans accident, tumeur, OP complexe de la colonne vertébrale), mortalité // Escissione dei tessuti intervertebrali (senza infortunio, tumore, OP complessa alla colonna vertrebrale), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	1	1	0	1	0	
	1998	3	2	0	1	0	
	1998	4	1	0	6	0	
	1998	4	2	0	5	0	
	1998	5	1	0	21	0	
	1998	5	2	0	11	0	
	1998	6	1	0	85	0	
	1998	6	2	0	57	0	
	1998	7	1	0	158	0	
	1998	7	2	0	111	0	
	1998	8	1	0	215	0	
	1998	8	2	0	147	0	
	1998	9	1	0	216	0	
	1998	9	2	0	153	0	
	1998	10	1	0	217	0	
	1998	10	2	0	157	0	
	1998	11	1	0	194	0	
	1998	11	2	0	137	0	
	1998	12	1	0	177	0	
	1998	12	2	0	99	0	
	1998	13	1	0	128	0	
	1998	13	2	0	82	0	
	1998	14	1	0	88	0	
	1998	14	2	0	96	0	
	1998	15	1	0	63	0	
	1998	15	2	0	77	0	
	1998	16	1	0	47	0	
	1998	16	2	0	57	0	
	1998	17	1	0	13	0	
	1998	17	2	0	21	0	
	1998	18	1	0	2	0	
	1998	18	2	0	7	0	
	1999	1	2	0	1	0	
	1999	4	1	0	8	0	
	1999	4	2	0	12	0	
	1999	5	1	0	31	0	
	1999	5	2	0	29	0	
	1999	6	1	0	87	0	
	1999	6	2	0	62	0	
	1999	7	1	0	214	0	
	1999	7	2	0	134	0	
	1999	8	1	0	281	0	
	1999	8	2	0	164	0	
	1999	9	1	0	273	0	
	1999	9	2	0	204	0	
	1999	10	1	0	254	0	
	1999	10	2	0	206	0	
	1999	11	1	0	246	0	
	1999	11	2	0	166	0	
	1999	12	1	0	209	0	
	1999	12	2	0	156	0	
	1999	13	1	0	160	0	
	1999	13	2	0	147	0	
	1999	14	1	0	106	0	
	1999	14	2	0	113	0	
	1999	15	1	0	85	0	
	1999	15	2	0	96	0	
	1999	16	1	0	62	0	
	1999	16	2	0	73	0	
	1999	17	1	0	20	0	
	1999	17	2	0	36	0	
	1999	18	1	0	10	0	
	1999	18	2	0	12	0	
	1999	19	1	0	1	0	
	1999	19	2	0	2	0	
	1999	20	2	0	1	0	
	2000	4	1	0	10	0	
	2000	4	2	0	8	0	
	2000	5	1	0	38	0	
	2000	5	2	0	23	0	
	2000	6	1	0	110	0	
	2000	6	2	0	73	0	
	2000	7	1	0	210	0	
	2000	7	2	0	169	0	
	2000	8	1	1	307	0.003257329	
	2000	8	2	0	216	0	
	2000	9	1	0	314	0	
	2000	9	2	0	237	0	
	2000	10	1	0	309	0	
	2000	10	2	0	214	0	
	2000	11	1	0	292	0	
	2000	11	2	0	206	0	
	2000	12	1	1	268	0.003731343	
	2000	12	2	0	191	0	
	2000	13	1	1	180	0.005555556	
	2000	13	2	0	146	0	
	2000	14	1	0	119	0	
	2000	14	2	0	148	0	
	2000	15	1	0	125	0	
	2000	15	2	0	106	0	
	2000	16	1	0	66	0	
	2000	16	2	0	80	0	
	2000	17	1	0	28	0	
	2000	17	2	0	44	0	
	2000	18	1	0	10	0	
	2000	18	2	0	13	0	
	2000	19	1	0	2	0	
