
	I.3.1.M Schenkelhalsfraktur (Alter >19), Mortalität // Fractures du col du fémur (âge >19), mortalité // Frattura del collo del femore (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	5	1	0	1	0	
	1998	6	1	0	5	0	
	1998	6	2	0	2	0	
	1998	7	1	0	17	0	
	1998	7	2	0	10	0	
	1998	8	1	0	16	0	
	1998	8	2	0	3	0	
	1998	9	1	1	24	0.04166667	
	1998	9	2	0	6	0	
	1998	10	1	0	32	0	
	1998	10	2	0	22	0	
	1998	11	1	0	48	0	
	1998	11	2	0	36	0	
	1998	12	1	0	38	0	
	1998	12	2	1	55	0.01818182	
	1998	13	1	0	37	0	
	1998	13	2	0	56	0	
	1998	14	1	1	63	0.01587302	
	1998	14	2	1	107	0.009345794	
	1998	15	1	2	61	0.03278689	
	1998	15	2	0	232	0	
	1998	16	1	6	110	0.05454545	
	1998	16	2	8	354	0.02259887	
	1998	17	1	11	128	0.0859375	
	1998	17	2	8	470	0.01702128	
	1998	18	1	10	126	0.07936508	
	1998	18	2	26	557	0.04667864	
	1998	19	1	8	79	0.1012658	
	1998	19	2	20	295	0.06779661	
	1998	20	1	1	15	0.06666667	
	1998	20	2	6	66	0.09090909	
	1999	5	1	0	7	0	
	1999	6	1	0	7	0	
	1999	6	2	0	1	0	
	1999	7	1	0	13	0	
	1999	7	2	0	1	0	
	1999	8	1	0	20	0	
	1999	8	2	0	6	0	
	1999	9	1	0	26	0	
	1999	9	2	0	14	0	
	1999	10	1	0	32	0	
	1999	10	2	0	14	0	
	1999	11	1	0	47	0	
	1999	11	2	1	45	0.02222222	
	1999	12	1	1	31	0.03225806	
	1999	12	2	0	50	0	
	1999	13	1	0	64	0	
	1999	13	2	1	69	0.01449275	
	1999	14	1	0	69	0	
	1999	14	2	1	151	0.006622517	
	1999	15	1	3	106	0.02830189	
	1999	15	2	7	281	0.02491103	
	1999	16	1	5	142	0.03521127	
	1999	16	2	16	540	0.02962963	
	1999	17	1	11	138	0.07971014	
	1999	17	2	13	614	0.02117264	
	1999	18	1	18	193	0.09326425	
	1999	18	2	36	707	0.05091938	
	1999	19	1	6	80	0.075	
	1999	19	2	28	377	0.07427056	
	1999	20	1	4	19	0.2105263	
	1999	20	2	3	92	0.0326087	
	2000	5	1	0	5	0	
	2000	5	2	0	2	0	
	2000	6	1	0	6	0	
	2000	6	2	0	3	0	
	2000	7	1	0	17	0	
	2000	7	2	0	7	0	
	2000	8	1	1	32	0.03125	
	2000	8	2	0	8	0	
	2000	9	1	0	35	0	
	2000	9	2	0	12	0	
	2000	10	1	0	40	0	
	2000	10	2	0	18	0	
	2000	11	1	0	37	0	
	2000	11	2	0	39	0	
	2000	12	1	1	71	0.01408451	
	2000	12	2	0	74	0	
	2000	13	1	0	59	0	
	2000	13	2	1	90	0.01111111	
	2000	14	1	3	86	0.03488372	
	2000	14	2	0	163	0	
	2000	15	1	4	85	0.04705882	
	2000	15	2	3	270	0.01111111	
	2000	16	1	10	144	0.06944444	
	2000	16	2	5	483	0.01035197	
	2000	17	1	8	162	0.04938272	
	2000	17	2	17	603	0.02819237	
	2000	18	1	12	183	0.06557377	
	2000	18	2	30	711	0.04219409	
	2000	19	1	17	84	0.202381	
	2000	19	2	23	391	0.05882353	
	2000	20	1	5	27	0.1851852	
	2000	20	2	10	108	0.09259259	
	2001	5	1	0	13	0	
	2001	5	2	0	1	0	
	2001	6	1	0	8	0	
	2001	6	2	0	2	0	
	2001	7	1	0	15	0	
	2001	7	2	0	6	0	
	2001	8	1	0	25	0	
	2001	8	2	0	9	0	
	2001	9	1	0	33	0	
	2001	9	2	0	17	0	
	2001	10	1	1	45	0.02222222	
	2001	10	2	0	22	0	
