
	I.3.1.M Schenkelhalsfraktur (Alter >19), Mortalität // Fractures du col du fémur (âge >19), mortalité // Frattura del collo del femore (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	DeathCH	CasesCH	pCH	
	1998	110	3071	3.581895	
	1999	154	3956	3.892821	
	2000	150	4055	3.699137	
	2001	167	4585	3.642312	
	2002	224	4850	4.618557	
	2003	240	5007	4.793289	
	2004	212	4900	4.326531	
	2005	196	4762	4.115918	
	2006	226	4814	4.694641	
	2007	240	4892	4.905969	
	2008	227	4945	4.590495	
	2009	221	5093	4.339289	
	2010	263	6142	4.281993	
	2011	198	6156	3.216374	
	2012	287	6114	4.694145	
	2013	261	5959	4.37993	

