
	I.3.4.M Schenkelhalsfraktur, Alter 70-79, Mortalität // Fractures du col du fémur, âge 70-79, mortalité // Frattura del collo del femore, età 70-79, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	15	1	2	61	0.03278689	
	1998	15	2	0	232	0	
	1998	16	1	6	110	0.05454545	
	1998	16	2	8	354	0.02259887	
	1999	15	1	3	106	0.02830189	
	1999	15	2	7	281	0.02491103	
	1999	16	1	5	142	0.03521127	
	1999	16	2	16	540	0.02962963	
	2000	15	1	4	85	0.04705882	
	2000	15	2	3	270	0.01111111	
	2000	16	1	10	144	0.06944444	
	2000	16	2	5	483	0.01035197	
	2001	15	1	6	109	0.05504587	
	2001	15	2	2	349	0.005730659	
	2001	16	1	4	178	0.02247191	
	2001	16	2	8	514	0.0155642	
	2002	15	1	7	118	0.05932203	
	2002	15	2	5	291	0.01718213	
	2002	16	1	9	203	0.04433498	
	2002	16	2	10	491	0.0203666	
	2003	15	1	5	107	0.04672897	
	2003	15	2	6	301	0.01993355	
	2003	16	1	9	193	0.04663212	
	2003	16	2	8	575	0.01391304	
	2004	15	1	4	120	0.03333333	
	2004	15	2	6	311	0.0192926	
	2004	16	1	9	183	0.04918033	
	2004	16	2	15	554	0.02707581	
	2005	15	1	5	108	0.0462963	
	2005	15	2	5	305	0.01639344	
	2005	16	1	6	172	0.03488372	
	2005	16	2	11	528	0.02083333	
	2006	15	1	3	118	0.02542373	
	2006	15	2	6	267	0.02247191	
	2006	16	1	13	185	0.07027027	
	2006	16	2	11	487	0.02258727	
	2007	15	1	2	122	0.01639344	
	2007	15	2	5	280	0.01785714	
	2007	16	1	7	170	0.04117647	
	2007	16	2	15	488	0.0307377	
	2008	15	1	4	111	0.03603604	
	2008	15	2	2	250	0.008	
	2008	16	1	13	177	0.07344633	
	2008	16	2	8	515	0.01553398	
	2009	15	1	8	125	0.064	
	2009	15	2	2	289	0.006920415	
	2009	16	1	7	190	0.03684211	
	2009	16	2	7	452	0.01548673	
	2010	15	1	1	145	0.006896552	
	2010	15	2	7	353	0.01983003	
	2010	16	1	9	239	0.0376569	
	2010	16	2	14	583	0.02401372	
	2011	15	1	1	145	0.006896552	
	2011	15	2	1	322	0.00310559	
	2011	16	1	9	213	0.04225352	
	2011	16	2	9	611	0.01472995	
	2012	15	1	5	156	0.03205128	
	2012	15	2	6	321	0.01869159	
	2012	16	1	15	219	0.06849315	
	2012	16	2	18	593	0.03035413	
	2013	15	1	0	152	0	
	2013	15	2	7	335	0.02089552	
	2013	16	1	8	199	0.04020101	
	2013	16	2	7	534	0.01310861	

