
	I.3.5.M Schenkelhalsfraktur, Alter 80-84, Mortalität // Fractures du col du fémur, âge 80-84, mortalité // Frattura del collo del femore, età 80-84, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	17	1	11	128	0.0859375	
	1998	17	2	8	470	0.01702128	
	1999	17	1	11	138	0.07971014	
	1999	17	2	13	614	0.02117264	
	2000	17	1	8	162	0.04938272	
	2000	17	2	17	603	0.02819237	
	2001	17	1	12	215	0.05581395	
	2001	17	2	12	682	0.01759531	
	2002	17	1	16	217	0.07373272	
	2002	17	2	23	784	0.02933673	
	2003	17	1	24	238	0.1008403	
	2003	17	2	29	863	0.03360371	
	2004	17	1	13	230	0.05652174	
	2004	17	2	27	824	0.03276699	
	2005	17	1	21	227	0.09251101	
	2005	17	2	25	839	0.02979738	
	2006	17	1	15	224	0.06696429	
	2006	17	2	22	808	0.02722772	
	2007	17	1	18	241	0.0746888	
	2007	17	2	29	816	0.03553922	
	2008	17	1	19	248	0.0766129	
	2008	17	2	24	827	0.02902056	
	2009	17	1	23	286	0.08041958	
	2009	17	2	17	751	0.02263648	
	2010	17	1	22	320	0.06875	
	2010	17	2	29	981	0.02956167	
	2011	17	1	19	320	0.059375	
	2011	17	2	21	928	0.02262931	
	2012	17	1	15	297	0.05050505	
	2012	17	2	24	879	0.02730375	
	2013	17	1	20	322	0.0621118	
	2013	17	2	31	889	0.03487064	

