
	I.3.5.M Schenkelhalsfraktur, Alter 80-84, Mortalität // Fractures du col du fémur, âge 80-84, mortalité // Frattura del collo del femore, età 80-84, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	DeathCH	CasesCH	pCH	
	1998	19	598	3.177258	
	1999	24	752	3.191489	
	2000	25	765	3.267974	
	2001	24	897	2.675585	
	2002	39	1001	3.896104	
	2003	53	1101	4.813806	
	2004	40	1054	3.795066	
	2005	46	1066	4.315197	
	2006	37	1032	3.585271	
	2007	47	1057	4.446547	
	2008	43	1075	4	
	2009	40	1037	3.857281	
	2010	51	1301	3.920061	
	2011	40	1248	3.205128	
	2012	39	1176	3.316327	
	2013	51	1211	4.211396	

