
	I.3.7.M Schenkelhalsfraktur, Alter >89, Mortalität // Fractures du col du fémur, âge >89, mortalité // Frattura del collo del femore, età >89, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	19	1	8	79	0.1012658	
	1998	19	2	20	295	0.06779661	
	1998	20	1	1	15	0.06666667	
	1998	20	2	6	66	0.09090909	
	1999	19	1	6	80	0.075	
	1999	19	2	28	377	0.07427056	
	1999	20	1	4	19	0.2105263	
	1999	20	2	3	92	0.0326087	
	2000	19	1	17	84	0.202381	
	2000	19	2	23	391	0.05882353	
	2000	20	1	5	27	0.1851852	
	2000	20	2	10	108	0.09259259	
	2001	19	1	11	85	0.1294118	
	2001	19	2	31	476	0.06512605	
	2001	20	1	7	30	0.2333333	
	2001	20	2	15	135	0.1111111	
	2002	19	1	20	129	0.1550388	
	2002	19	2	40	546	0.07326007	
	2002	20	1	3	28	0.1071429	
	2002	20	2	18	127	0.1417323	
	2003	19	1	13	103	0.1262136	
	2003	19	2	44	524	0.08396947	
	2003	20	1	2	38	0.05263158	
	2003	20	2	22	163	0.1349693	
	2004	19	1	14	121	0.1157025	
	2004	19	2	34	534	0.06367041	
	2004	20	1	8	32	0.25	
	2004	20	2	18	127	0.1417323	
	2005	19	1	17	133	0.1278195	
	2005	19	2	31	504	0.06150794	
	2005	20	1	5	30	0.1666667	
	2005	20	2	13	152	0.08552632	
	2006	19	1	18	142	0.1267606	
	2006	19	2	45	482	0.093361	
	2006	20	1	7	33	0.2121212	
	2006	20	2	22	169	0.1301775	
	2007	19	1	15	130	0.1153846	
	2007	19	2	37	519	0.07129094	
	2007	20	1	12	49	0.244898	
	2007	20	2	14	161	0.08695652	
	2008	19	1	20	150	0.1333333	
	2008	19	2	45	482	0.093361	
	2008	20	1	7	50	0.14	
	2008	20	2	10	167	0.05988024	
	2009	19	1	17	135	0.1259259	
	2009	19	2	36	486	0.07407407	
	2009	20	1	6	38	0.1578947	
	2009	20	2	19	192	0.09895833	
	2010	19	1	22	176	0.125	
	2010	19	2	43	547	0.0786106	
	2010	20	1	7	53	0.1320755	
	2010	20	2	16	155	0.1032258	
	2011	19	1	15	158	0.09493671	
	2011	19	2	31	577	0.05372617	
	2011	20	1	9	54	0.1666667	
	2011	20	2	11	173	0.06358382	
	2012	19	1	22	190	0.1157895	
	2012	19	2	55	648	0.08487654	
	2012	20	1	7	57	0.122807	
	2012	20	2	29	188	0.1542553	
	2013	19	1	27	198	0.1363636	
	2013	19	2	50	619	0.08077544	
	2013	20	1	12	55	0.2181818	
	2013	20	2	17	183	0.09289617	

