
	I.3.7.M Schenkelhalsfraktur, Alter >89, Mortalität // Fractures du col du fémur, âge >89, mortalité // Frattura del collo del femore, età >89, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	DeathCH	CasesCH	pCH	
	1998	35	455	7.692308	
	1999	41	568	7.21831	
	2000	55	610	9.016393	
	2001	64	726	8.815427	
	2002	81	830	9.759036	
	2003	81	828	9.782609	
	2004	74	814	9.090909	
	2005	66	819	8.058608	
	2006	92	826	11.13801	
	2007	78	859	9.080326	
	2008	82	849	9.658422	
	2009	78	851	9.165687	
	2010	88	931	9.452202	
	2011	66	962	6.860707	
	2012	113	1083	10.43398	
	2013	106	1055	10.04739	

