
	I.3.8.M Pertrochantäre Fraktur (Alter >19), Mortalität // Fracture du trochanter (âge >19), mortalité // Frattura pertrocanterica (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	5	2	0	1	0	
	1998	6	1	0	7	0	
	1998	6	2	0	3	0	
	1998	7	1	0	9	0	
	1998	7	2	0	1	0	
	1998	8	1	0	11	0	
	1998	8	2	0	7	0	
	1998	9	1	0	17	0	
	1998	9	2	0	6	0	
	1998	10	1	0	30	0	
	1998	10	2	0	9	0	
	1998	11	1	0	40	0	
	1998	11	2	1	21	0.04761905	
	1998	12	1	0	32	0	
	1998	12	2	0	19	0	
	1998	13	1	2	52	0.03846154	
	1998	13	2	0	37	0	
	1998	14	1	0	36	0	
	1998	14	2	0	69	0	
	1998	15	1	2	62	0.03225806	
	1998	15	2	1	131	0.007633588	
	1998	16	1	4	75	0.05333333	
	1998	16	2	3	235	0.01276596	
	1998	17	1	7	113	0.0619469	
	1998	17	2	11	362	0.03038674	
	1998	18	1	10	85	0.1176471	
	1998	18	2	15	478	0.03138075	
	1998	19	1	3	37	0.08108108	
	1998	19	2	17	276	0.0615942	
	1998	20	1	2	16	0.125	
	1998	20	2	7	58	0.1206897	
	1999	5	1	0	5	0	
	1999	6	1	0	17	0	
	1999	7	1	0	11	0	
	1999	7	2	0	2	0	
	1999	8	1	0	20	0	
	1999	8	2	1	3	0.3333333	
	1999	9	1	0	17	0	
	1999	9	2	0	4	0	
	1999	10	1	0	32	0	
	1999	10	2	0	5	0	
	1999	11	1	1	32	0.03125	
	1999	11	2	0	18	0	
	1999	12	1	0	44	0	
	1999	12	2	0	27	0	
	1999	13	1	0	50	0	
	1999	13	2	0	54	0	
	1999	14	1	2	67	0.02985075	
	1999	14	2	1	67	0.01492537	
	1999	15	1	3	80	0.0375	
	1999	15	2	4	181	0.02209945	
	1999	16	1	1	93	0.01075269	
	1999	16	2	8	330	0.02424242	
	1999	17	1	6	109	0.05504587	
	1999	17	2	14	505	0.02772277	
	1999	18	1	13	122	0.1065574	
	1999	18	2	24	653	0.03675345	
	1999	19	1	6	74	0.08108108	
	1999	19	2	17	379	0.04485488	
	1999	20	1	3	21	0.1428571	
