
	I.3.8.M Pertrochantäre Fraktur (Alter >19), Mortalität // Fracture du trochanter (âge >19), mortalité // Frattura pertrocanterica (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	DeathCH	CasesCH	pCH	
	1998	85	2335	3.640257	
	1999	112	3130	3.578275	
	2000	134	3139	4.268875	
	2001	132	3629	3.637366	
	2002	153	3973	3.850994	
	2003	188	4073	4.615762	
	2004	156	3977	3.922555	
	2005	150	3981	3.767898	
	2006	166	4128	4.021318	
	2007	183	4180	4.37799	
	2008	170	4373	3.887491	
	2009	180	4461	4.03497	
	2010	221	5581	3.959864	
	2011	199	5797	3.43281	
	2012	220	5697	3.861682	
	2013	221	5720	3.863636	

