
	J.2.1.M HD Sepsis, Mortalität // DP états septiques, mortalité // DP sepsi, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	1	1	1	33	0.03030303	
	1998	1	2	0	15	0	
	1998	2	1	0	5	0	
	1998	2	2	0	2	0	
	1998	3	2	0	1	0	
	1998	4	1	0	2	0	
	1998	4	2	0	3	0	
	1998	5	1	0	5	0	
	1998	5	2	0	8	0	
	1998	6	1	0	10	0	
	1998	6	2	0	8	0	
	1998	7	1	1	19	0.05263158	
	1998	7	2	0	8	0	
	1998	8	1	3	19	0.1578947	
	1998	8	2	2	13	0.1538462	
	1998	9	1	4	23	0.173913	
	1998	9	2	2	13	0.1538462	
	1998	10	1	3	20	0.15	
	1998	10	2	2	18	0.1111111	
	1998	11	1	6	32	0.1875	
	1998	11	2	1	17	0.05882353	
	1998	12	1	8	36	0.2222222	
	1998	12	2	4	36	0.1111111	
	1998	13	1	12	62	0.1935484	
	1998	13	2	6	39	0.1538462	
	1998	14	1	13	65	0.2	
	1998	14	2	9	60	0.15	
	1998	15	1	22	81	0.2716049	
	1998	15	2	14	79	0.1772152	
	1998	16	1	30	93	0.3225806	
	1998	16	2	15	73	0.2054795	
	1998	17	1	13	47	0.2765957	
	1998	17	2	21	71	0.2957746	
	1998	18	1	19	55	0.3454545	
	1998	18	2	18	60	0.3	
	1998	19	1	5	19	0.2631579	
	1998	19	2	4	23	0.173913	
	1998	20	1	1	2	0.5	
	1998	20	2	0	4	0	
	1999	1	1	0	20	0	
	1999	1	2	1	20	0.05	
	1999	2	1	1	6	0.1666667	
	1999	2	2	0	2	0	
	1999	3	1	0	5	0	
	1999	3	2	0	3	0	
	1999	4	1	0	6	0	
	1999	4	2	0	10	0	
	1999	5	1	0	9	0	
	1999	5	2	1	9	0.1111111	
	1999	6	1	1	13	0.07692308	
	1999	6	2	1	13	0.07692308	
	1999	7	1	1	23	0.04347826	
	1999	7	2	1	14	0.07142857	
	1999	8	1	6	25	0.24	
	1999	8	2	2	21	0.0952381	
	1999	9	1	4	24	0.1666667	
	1999	9	2	3	13	0.2307692	
	1999	10	1	2	35	0.05714286	
	1999	10	2	1	17	0.05882353	
	1999	11	1	9	40	0.225	
	1999	11	2	5	26	0.1923077	
