
	J.2.1.M HD Sepsis, Mortalität // DP états septiques, mortalité // DP sepsi, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	DeathCH	CasesCH	pCH	
	1998	239	1179	20.27142	
	1999	351	1587	22.1172	
	2000	465	1824	25.49342	
	2001	563	2317	24.29866	
	2002	661	2663	24.82163	
	2003	770	2978	25.85628	
	2004	675	3029	22.28458	
	2005	760	3483	21.82027	
	2006	898	4217	21.29476	
	2007	1027	4623	22.21501	
	2008	1131	6263	18.05844	
	2009	1380	7618	18.11499	
	2010	1594	8975	17.76045	
	2011	1499	10029	14.94665	
	2012	1690	12061	14.01211	
	2013	1942	14482	13.40975	

